review_type,report_id,file_id,tw_ticker,broker,report_date,severity,action,source
missing_broker,d7ae43544da11d894a9f,482e52f26cf4,6933,,,MEDIUM,manual_or_alias_review,C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VRN\DATABASE\StockReportBasicInfo.parquet
missing_broker,8e477756039cf9b6e5e3,e6270450a0cb,6533,,2025-12-06,MEDIUM,manual_or_alias_review,C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VRN\DATABASE\StockReportBasicInfo.parquet
missing_broker,17778516170236867f72,d7fc40eba962,1560,,2026-05-20,MEDIUM,manual_or_alias_review,C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VRN\DATABASE\StockReportBasicInfo.parquet
missing_broker,acea2ffed52b2ffed6ac,4c4bcf631547,3014,,2023-10-05,MEDIUM,manual_or_alias_review,C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VRN\DATABASE\StockReportBasicInfo.parquet
missing_broker,10a0b597281ccb20a62e,482e52f26cf4,6933,,2026-05-25,MEDIUM,manual_or_alias_review,C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VRN\DATABASE\StockReportBasicInfo.parquet
missing_broker,ca4c6c16969a6674dfa3,482e52f26cf4,6933,,2026-05-25,MEDIUM,manual_or_alias_review,C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VRN\DATABASE\StockReportBasicInfo.parquet
missing_broker,4449d3b1b7548ba08463,e6270450a0cb,6533,,2025-12-06,MEDIUM,manual_or_alias_review,C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VRN\DATABASE\StockReportBasicInfo.parquet
missing_broker,e55efb18e93a4139cb1e,4c4bcf631547,3014,,2023-10-05,MEDIUM,manual_or_alias_review,C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VRN\DATABASE\StockReportBasicInfo.parquet
missing_broker,835fbe5841d304414705,e6270450a0cb,6533,,2025-12-06,MEDIUM,manual_or_alias_review,C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VRN\DATABASE\StockReportBasicInfo.parquet
missing_broker,d9145c5341c54a618cd4,482e52f26cf4,6933,,2026-05-25,MEDIUM,manual_or_alias_review,C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VRN\DATABASE\StockReportBasicInfo.parquet
missing_broker,dd17581d273242f6edde,d7fc40eba962,1560,,2026-05-20,MEDIUM,manual_or_alias_review,C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VRN\DATABASE\StockReportBasicInfo.parquet
missing_broker,98e2ff5b4fb9fc65e199,4c4bcf631547,3014,,2023-10-05,MEDIUM,manual_or_alias_review,C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VRN\DATABASE\StockReportBasicInfo.parquet
missing_broker,6e0f2b3d5ac5554276c1,099ded919098,6669,,2025-10-01,MEDIUM,manual_or_alias_review,C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VRN\DATABASE\StockReportBasicInfo.parquet
missing_broker,99ffa3f0e04531044160,c1254c68f553,2330,,2025-07-18,MEDIUM,manual_or_alias_review,C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VRN\DATABASE\StockReportBasicInfo.parquet
missing_broker,8721b44a8e0c389a3124,6453e5de5809,3653,,2025-10-03,MEDIUM,manual_or_alias_review,C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VRN\DATABASE\StockReportBasicInfo.parquet
missing_broker,3586ecc2f1b6c12b2d2b,e6270450a0cb,6533,,2025-12-06,MEDIUM,manual_or_alias_review,C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VRN\DATABASE\StockReportBasicInfo.parquet
missing_broker,f52c85d925eee2b49712,482e52f26cf4,6933,,2026-05-10,MEDIUM,manual_or_alias_review,C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VRN\DATABASE\StockReportBasicInfo.parquet
