"def_layer","def_test","def_status","def_risk","def_message","def_path"
"UPSTREAM","v0114J allow v0114K","PASS","LOW","Gate=READY_FOR_v0114K_FINAL_APPLY_EXECUTION_CANDIDATE_REVIEW_ONLY",""
"UPSTREAM","v0114J approval YES","PASS","LOW","Approval=YES",""
"UPSTREAM","v0114J validation fail zero","PASS","LOW","UpstreamFail=0",""
"PLAN","apply plan rows 19","PASS","LOW","ApplyPlanRows=19",""
"EXECUTION_REVIEW","execution candidate rows 19","PASS","LOW","ExecutionRows=19",""
"EXECUTION_REVIEW","execution disabled on all rows","PASS","LOW","ExecutionEnabledRows=0",""
"EXECUTION_REVIEW","next dryrun gate required","PASS","LOW","FutureGateMissing=0",""
"SAFETY","no unsafe flags in execution review","PASS","LOW","UnsafeFlags=0",""
"SAFETY","apply disabled","PASS","LOW","apply_enabled=false",""
"SAFETY","source mutation false","PASS","LOW","source_mutation=false",""
"SAFETY","canonical merge false","PASS","LOW","canonical_merge=false",""
"SAFETY","db write false","PASS","LOW","db_write=false",""
"APPLY_BOUNDARY","disabled executor AST clean","PASS","LOW","AST clean","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VDF\_integration_v0114K_execution_candidate_review_only\RUN_20260622_233415_VIA_v0114K_EXECUTION_CANDIDATE_REVIEW_ONLY\_execution_candidate_review_only\Invoke-VIA-v0114K-DISABLED-ExecutorBoundary.ps1"
