"Time","Round","Project","Lane","Stage","Name","Status","Risk","FixClass","Priority","Metric","Value","Message","Path"
"2026-06-11T21:13:12.437+08:00","Round0","VIA","CONTROL","POLICY","No DB Write","OK_POLICY_LOCKED","LOW","PARALLEL_SAFE","P0","db_write","false","Smoke test is read-only.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\DATABASE"
"2026-06-11T21:13:12.438+08:00","Round0","VIA","CONTROL","POLICY","No Source Repair","OK_POLICY_LOCKED","LOW","PARALLEL_SAFE","P0","source_repair","false","No source file modification.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics"
"2026-06-11T21:13:12.439+08:00","Round0","VIA","CONTROL","POLICY","No Stop-Process","OK_POLICY_LOCKED","LOW","SEQUENTIAL_GATED","P0","stop_process","false","Timeout records PID only; no kill.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VIA_READONLY_LANE_EXECUTION_SMOKE_TEST_v02874_20260611_211312"
"2026-06-11T21:13:12.440+08:00","Round0","VIA","CONTROL","POLICY","No Extraction / No DB / No Network","OK_POLICY_LOCKED","LOW","SEQUENTIAL_GATED","P0","runtime_actions","false","Smoke user-test commands only.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VIA_READONLY_LANE_EXECUTION_SMOKE_TEST_v02874_20260611_211312"
"2026-06-11T21:13:12.533+08:00","Round0","VIA","ANCHOR","CONSOLE_RUNTIME","OK_VERIFIED","LOW","PARALLEL_SAFE","P0","status","DUAL_PROJECT_USER_TEST_CONSOLE_READY","v028731 console runtime verified.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VIA_DUAL_PROJECT_USERTEST_CONSOLE_HOTFIX_v028731_20260611_210904\runtime\VIA_DualProjectUserTestConsoleHotfix_Runtime_v028731.json",""
"2026-06-11T21:13:12.562+08:00","Round0","VIA","ANCHOR","COMMANDS","OK_VERIFIED","LOW","PARALLEL_SAFE","P0","commands","6","Six user-test commands found.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VIA_DUAL_PROJECT_USERTEST_CONSOLE_v02873_20260611_205808\commands",""
"2026-06-11T21:13:12.569+08:00","Round1","VIA","PRECHECK","COMMAND_PARSE","OK_ALL_PARSE","LOW","PARALLEL_SAFE","P0","parse_fail","0","All smoke commands parse cleanly.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VIA_DUAL_PROJECT_USERTEST_CONSOLE_v02873_20260611_205808\commands",""
"2026-06-11T21:13:13.542+08:00","Round1","VDF","VDF-Lane1-FinalSealHealth","SMOKE","Read-Only Command Smoke","OK_SMOKE_EXIT_0","LOW","PARALLEL_SAFE","P3","exit","0","Read-only command completed.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VIA_DUAL_PROJECT_USERTEST_CONSOLE_v02873_20260611_205808\commands\UserTest-Start-VDF-Lane1-FinalSealHealth.ps1"
"2026-06-11T21:13:14.513+08:00","Round1","VDF","VDF-Lane2-ReadOnlyInventory","SMOKE","Read-Only Command Smoke","OK_SMOKE_EXIT_0","LOW","PARALLEL_SAFE","P3","exit","0","Read-only command completed.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VIA_DUAL_PROJECT_USERTEST_CONSOLE_v02873_20260611_205808\commands\UserTest-Start-VDF-Lane2-ReadOnlyInventory.ps1"
"2026-06-11T21:13:15.357+08:00","Round1","VDF","VDF-Lane3-EnvSupportiveHardGate","SMOKE","Read-Only Command Smoke","OK_SMOKE_EXIT_0","LOW","PARALLEL_SAFE","P3","exit","0","Read-only command completed.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VIA_DUAL_PROJECT_USERTEST_CONSOLE_v02873_20260611_205808\commands\UserTest-Start-VDF-Lane3-EnvSupportiveHardGate.ps1"
