"def_severity","def_normalized_key","def_occurrences","def_distinct_values","def_groups","def_sample_values","def_sample_files"
"P3_UI_OR_NOISE","Name","8515","3064","GENERAL;VISUAL_LOCK;DATA_SOURCE;MACRO_SENTIMENT;ENGINE;SCHEMA_FIELD;VERSION_RELEASE;PATH_IO","Name     = $Name || ""project_management_wbs_element"" || ""project_management_project_id"" || ""project_management_task_id"" || ""project_management_milestone"" || ""project_management_activity_code""","Invoke-VIA-UltimateEngineForge-AIO-v060.ps1; Invoke-VIA-UltimateEngineForge-AIO-v061-BoolParamHotfix.ps1; Invoke-VIA-UltimateEngineForge-AIO-v062-NullSafeStepSafe.ps1; Invoke-VIA-UltimateEngineForge-AIO-v063-10xCrossNoHangProgress.ps1; regex_registry (1).json; regex_registry (2).json; regex_registry.json; SSOT_VIA_VisualDesignOps_20260617 (1).json"
"P3_UI_OR_NOISE","Sha256","2303","671","GENERAL;PATH_IO;ENGINE;DATA_SOURCE;MACRO_SENTIMENT","Sha256 = $hash || ""str"" || ""e17a9d1312f6b730094c4d868156681cf7b7d49c53fa1b2226ab5c859f6b79f2"" || ""d8741599a121f33a31a57c372ba86aa328d74f1c9be5817aeb7682c1fffc267c"" || ""47d9a19a11091517efc576d9dd113f7f4e1b463ca7d0ca57e35490707eeda4bf"" || ""a12c44d4b92c7b4d929e2cd3fdc3ec115afcd04b3dec1d0966afafad92c1e31a""","Invoke-VIA-UltimateEngineForge-AIO-v060.ps1; Invoke-VIA-UltimateEngineForge-AIO-v061-BoolParamHotfix.ps1; Invoke-VIA-UltimateEngineForge-AIO-v062-NullSafeStepSafe.ps1; Invoke-VIA-UltimateEngineForge-AIO-v063-10xCrossNoHangProgress.ps1; UnifiedSpec.json; VIA_UnifiedInput_SSOT.json; VDF_AkShare_BackupRollbackStagingPlan_Hotfix_Transcript_v02831_20260611_031152.txt; VDF_AkShare_BackupRollbackStagingPlan_Transcript_v0283_20260611_024903.txt"
"P3_UI_OR_NOISE","sizeBytes","1216","507","GENERAL","212063 || 337897 || 218854 || 9279 || 5549 || 6195","VDF_VRN_IntegrationInventory_Hotfix_v02801.json; VDF_VRN_HtmlUiAudit_Hotfix_v02801.json; VDF_VRN_IntegrationInventory_v0280.json; VDF_VRN_HtmlUiAudit_v0280.json; VDF_VRN_Sync5_Transcript_v0280_20260611_000806.txt; VDF_Audit_FileInventory.json; VRN_Audit_FileInventory.json; VRN_Verified_Module_Registry.json"
"P3_UI_OR_NOISE","bytes","945","496","PATH_IO;GENERAL","$bytes = [System.IO.File]::ReadAllBytes($file) || $bytes = 0 || Bytes = $bytes || bytes = $f.Length || 97834 || 202537","Invoke-VeritasCodexNexus.ps1; Invoke-VIA-UltimateEngineForge-AIO-v060.ps1; Invoke-VIA-UltimateEngineForge-AIO-v061-BoolParamHotfix.ps1; Invoke-VIA-UltimateEngineForge-AIO-v062-NullSafeStepSafe.ps1; Invoke-VIA-UltimateEngineForge-AIO-v063-10xCrossNoHangProgress.ps1; VDF_AkShare_BackupRollbackStagingPlan_Hotfix_Transcript_v02831_20260611_031152.txt; VDF_AkShare_BackupRollbackStagingPlan_Transcript_v0283_20260611_024903.txt; VDF_AkShare_v0280_FreezeSeal.json"
"P3_UI_OR_NOISE","Layer","2930","467","GENERAL;PATH_IO;ENGINE;DATA_SOURCE;SCHEMA_FIELD;GOVERNANCE_POLICY;VERSION_RELEASE;VISUAL_LOCK","Layer    = $Layer || 1 || 2 || ""SSOT"" || ""HEADER_REGISTRY"" || ""HEADER_MATRIX""","Invoke-VIA-UltimateEngineForge-AIO-v060.ps1; Invoke-VIA-UltimateEngineForge-AIO-v061-BoolParamHotfix.ps1; Invoke-VIA-UltimateEngineForge-AIO-v062-NullSafeStepSafe.ps1; Invoke-VIA-UltimateEngineForge-AIO-v063-10xCrossNoHangProgress.ps1; SSOT_VIA_VisualDesignOps_20260617 (1).json; SSOT_VIA_VisualDesignOps_20260617.json; VDF_ActiveReader_UserTest_AuditMatrix_v014.json; VDF_AkShare_BackupRollbackStagingPlan_Hotfix_Matrix_v02831.json"
"P3_UI_OR_NOISE","id","671","460","GENERAL;MACRO_SENTIMENT;VISUAL_LOCK;VERSION_RELEASE;DATA_SOURCE;PATH_IO;ENGINE;MARKET_UNIVERSE","""A1"" || ""B1"" || ""B2"" || ""C3"" || ""C2"" || ""D3""","engine_data (1).json; engine_data (2).json; engine_data.json; macro_indicator_registry.json; VDF_VRN_SourceFallback_AllDataRegistry_v0100.json; via_data_detail_registry.json; VIA_data_manifest (1).json; VIA_data_manifest (2).json"
"P3_UI_OR_NOISE","html","559","328","VISUAL_LOCK;PATH_IO;SCHEMA_FIELD","html = """" || html = f""""""<!doctype html><html lang=zh-TW><head><meta charset=utf-8> || ""—"" || ""VVX_FixReport"" || ""report"" || $html = @()","engine (1).py; engine (2).py; engine.py; GovernanceRegistry.json; Invoke-VIA-UltimateEngineForge-AIO-v060.ps1; Invoke-VIA-UltimateEngineForge-AIO-v061-BoolParamHotfix.ps1; Invoke-VIA-UltimateEngineForge-AIO-v062-NullSafeStepSafe.ps1; Invoke-VIA-UltimateEngineForge-AIO-v063-10xCrossNoHangProgress.ps1"
"P3_UI_OR_NOISE","category","2208","273","SCHEMA_FIELD;GENERAL;MACRO_SENTIMENT;DATA_SOURCE;MARKET_UNIVERSE;VISUAL_LOCK;PATH_IO;VERSION_RELEASE","cat, ""source_field"": col, ""source_value"": val}) || ""schedule_bottleneck"", ""trigger"": ""停留時間 > 基準"" || ""成長 Growth"" || ""勞動 Labor"" || ""通膨 Inflation"" || ""消費\/投資\/房市""","engine (1).py; engine (2).py; engine.py; macro_indicator_registry.json; SSOT_VIA_VisualDesignOps_20260617 (1).json; SSOT_VIA_VisualDesignOps_20260617.json; VDF_VRN_SourceFallback_AllDataRegistry_v0100.json; via_data_detail_registry.json"
"P3_UI_OR_NOISE","source_id","291","268","DATA_SOURCE;SCHEMA_FIELD","""b4c3632b8a20"" || ""f2a03d54a0e0"" || ""bac3cd986b98"" || ""570e36ea1699"" || ""eb0573199c96"" || ""c16f199f4965""","VRN_SSOT_SourceInventory_v029SSOT1B.json; vrn_unified_ssot_builder_v029ssot1b.py; vap_warehouse_v5_next3_builder.py; vap_warehouse_v5_next3_payload.json; VDF_MDL104_RegistryLoader.py; VDF_MDL201_GenerateFullRegistry.py; VDF_MDL401_RegistrySchema.json; VDF_MDL402_RegistrySample.json"
"P3_UI_OR_NOISE","last_write_time","659","257","GENERAL","""2025-08-26 00:03:31"" || ""2025-08-26 00:06:08"" || ""2025-12-05 23:10:14"" || ""2025-12-05 23:05:59"" || ""2025-12-05 23:05:29"" || ""2025-12-05 23:05:33""","VRN-2_StockReportInputSpeedPrecheck.json; VRN_StockReport_Dataflow_v029SSOT1D.json; extra_ssot_inventory.json; VRN_SSOT_SourceInventory_v029SSOT1B.json; source_inventory.json; vrn_unified_ssot_builder_v029ssot1b.py"
