"tool","found","path"
"python","True","C:\Python313\python.exe"
"pwsh","True","C:\Program Files\PowerShell\7\pwsh.exe"
"git","True","C:\Program Files\Git\cmd\git.exe"
"node","True","C:\Program Files\nodejs\node.exe"
"npm","True","C:\Program Files\nodejs\npm.ps1"
"pnpm","True","C:\Users\tonyk\AppData\Roaming\npm\pnpm.ps1"
"uv","True","C:\Users\tonyk\.local\bin\uv.exe"
"ruff","True","C:\Python313\Scripts\ruff.exe"
"pytest","True","C:\Python313\Scripts\pytest.exe"
"playwright","True","C:\Python313\Scripts\playwright.exe"
"dotnet","True","C:\Program Files\dotnet\dotnet.exe"
