"asset_id","file_name","path","ext","original_kind","taxonomy","header_count","headers","row_count_estimate","original_template","best_template","template_score","status","detail","optimized_status","warning_reason","axes","supports_stack","supports_event_matrix","supports_heatmap","supports_candle","supports_watchlist","visual_lock","plotly_present"
"VAP_DATA_00001_VAP_MultiCompare","VAP_MultiCompare.html","C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VAP\VAP_MultiCompare.html",".html","html_template_or_report","HTML_PLOT_HEATMAP","5","title | ids | classes | plotly_present | script_count","1","VAP_TPL_IMPORTED_HTML","VAP_TPL_HEATMAP_006","98","OK","html_meta","OK","","2","True","False","True","False","True","True","True"
"VAP_DATA_00002_VAP_NVDA_VDF","VAP_NVDA_VDF.html","C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VAP\VAP_NVDA_VDF.html",".html","html_template_or_report","HTML_PLOT_CANDLE_TA","5","title | ids | classes | plotly_present | script_count","1","VAP_TPL_IMPORTED_HTML","VAP_TPL_CANDLE_TA_007","98","OK","html_meta","OK","","2","True","True","True","True","True","True","True"
"VAP_DATA_00003_VAP_SMH_Flow","VAP_SMH_Flow.html","C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VAP\VAP_SMH_Flow.html",".html","html_template_or_report","HTML_PLOT_HEATMAP","5","title | ids | classes | plotly_present | script_count","1","VAP_TPL_IMPORTED_HTML","VAP_TPL_HEATMAP_006","98","OK","html_meta","OK","","2","True","False","True","False","True","True","True"
"VAP_DATA_00004_VAP_VDF_Panoramic","VAP_VDF_Panoramic.html","C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VAP\VAP_VDF_Panoramic.html",".html","html_template_or_report","HTML_PLOT_STACK_TIMELINE","5","title | ids | classes | plotly_present | script_count","1","VAP_TPL_IMPORTED_HTML","VAP_TPL_STACK_TIMELINE_004","98","OK","html_meta","OK","","1","True","False","False","False","True","True","True"
"VAP_DATA_00005_VEGN_v32_TEST","VEGN_v32_TEST.html","C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VAP\VEGN_v32_TEST.html",".html","html_template_or_report","HTML_PLOT_STACK_TIMELINE","5","title | ids | classes | plotly_present | script_count","1","VAP_TPL_IMPORTED_HTML","VAP_TPL_STACK_TIMELINE_004","83","OK","html_meta","OK","","1","True","False","False","False","True","False","False"
"VAP_DATA_00006_VAP_MultiCompare","VAP_MultiCompare.html","C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VAP\core\VAP_MultiCompare.html",".html","html_template_or_report","HTML_PLOT_HEATMAP","5","title | ids | classes | plotly_present | script_count","1","VAP_TPL_IMPORTED_HTML","VAP_TPL_HEATMAP_006","98","OK","html_meta","OK","","2","True","False","True","False","True","True","True"
"VAP_DATA_00007_VAP_NVDA_VDF","VAP_NVDA_VDF.html","C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VAP\core\VAP_NVDA_VDF.html",".html","html_template_or_report","HTML_PLOT_CANDLE_TA","5","title | ids | classes | plotly_present | script_count","1","VAP_TPL_IMPORTED_HTML","VAP_TPL_CANDLE_TA_007","98","OK","html_meta","OK","","2","True","True","True","True","True","True","True"
"VAP_DATA_00008_VAP_SMH_Flow","VAP_SMH_Flow.html","C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VAP\core\VAP_SMH_Flow.html",".html","html_template_or_report","HTML_PLOT_HEATMAP","5","title | ids | classes | plotly_present | script_count","1","VAP_TPL_IMPORTED_HTML","VAP_TPL_HEATMAP_006","98","OK","html_meta","OK","","2","True","False","True","False","True","True","True"
"VAP_DATA_00009_VAP_VDF_Panoramic","VAP_VDF_Panoramic.html","C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VAP\core\VAP_VDF_Panoramic.html",".html","html_template_or_report","HTML_PLOT_STACK_TIMELINE","5","title | ids | classes | plotly_present | script_count","1","VAP_TPL_IMPORTED_HTML","VAP_TPL_STACK_TIMELINE_004","98","OK","html_meta","OK","","1","True","False","False","False","True","True","True"
"VAP_DATA_00010_05567652_0bbf_41fe_afbb_268e193f8b05","05567652-0bbf-41fe-afbb-268e193f8b05.html","C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VAP\VeritasAutoPlot\05567652-0bbf-41fe-afbb-268e193f8b05.html",".html","html_template_or_report","HTML_PLOT_CANDLE_TA","5","title | ids | classes | plotly_present | script_count","1","VAP_TPL_IMPORTED_HTML","VAP_TPL_CANDLE_TA_007","91","OK","html_meta","OK","","1","True","False","False","True","True","False","True"
"VAP_DATA_00011_350d677a_c89e_46e2_a1ae_665273d93d18","350d677a-c89e-46e2-a1ae-665273d93d18.html","C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VAP\VeritasAutoPlot\350d677a-c89e-46e2-a1ae-665273d93d18.html",".html","html_template_or_report","HTML_PLOT_CANDLE_TA","5","title | ids | classes | plotly_present | script_count","1","VAP_TPL_IMPORTED_HTML","VAP_TPL_CANDLE_TA_007","91","OK","html_meta","OK","","1","True","False","False","True","True","False","True"
"VAP_DATA_00012_AutoPlot_vs_ProTools_GapReport","AutoPlot_vs_ProTools_GapReport.html","C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VAP\VeritasAutoPlot\AutoPlot_vs_ProTools_GapReport.html",".html","html_template_or_report","HTML_PLOT_CANDLE_TA","5","title | ids | classes | plotly_present | script_count","1","VAP_TPL_IMPORTED_HTML","VAP_TPL_CANDLE_TA_007","83","OK","html_meta","OK","","1","True","False","True","True","True","False","False"
"VAP_DATA_00013_f723c3ba_887b_4d40_aca3_1d9f62c1b31e","f723c3ba-887b-4d40-aca3-1d9f62c1b31e.html","C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VAP\VeritasAutoPlot\f723c3ba-887b-4d40-aca3-1d9f62c1b31e.html",".html","html_template_or_report","HTML_PLOT_STACK_TIMELINE","5","title | ids | classes | plotly_present | script_count","1","VAP_TPL_IMPORTED_HTML","VAP_TPL_STACK_TIMELINE_004","83","OK","html_meta","OK","","1","True","False","False","False","True","False","False"
"VAP_DATA_00014_NEXUS_Dashboard_Demo","NEXUS_Dashboard_Demo.html","C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VAP\VeritasAutoPlot\NEXUS_Dashboard_Demo.html",".html","html_template_or_report","HTML_PLOT_STACK_TIMELINE","5","title | ids | classes | plotly_present | script_count","1","VAP_TPL_IMPORTED_HTML","VAP_TPL_STACK_TIMELINE_004","91","OK","html_meta","OK","","1","True","False","False","False","True","False","True"
"VAP_DATA_00015_T01_Preview","T01_Preview.html","C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VAP\VeritasAutoPlot\T01_Preview.html",".html","html_template_or_report","HTML_PLOT_STACK_TIMELINE","5","title | ids | classes | plotly_present | script_count","1","VAP_TPL_IMPORTED_HTML","VAP_TPL_STACK_TIMELINE_004","91","OK","html_meta","OK","","1","True","False","False","False","True","False","True"
"VAP_DATA_00016_T01_SingleAxis","T01_SingleAxis.html","C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VAP\VeritasAutoPlot\T01_SingleAxis.html",".html","html_template_or_report","HTML_PLOT_STACK_TIMELINE","5","title | ids | classes | plotly_present | script_count","1","VAP_TPL_IMPORTED_HTML","VAP_TPL_STACK_TIMELINE_004","91","OK","html_meta","OK","","1","True","False","False","False","True","False","True"
"VAP_DATA_00017_T02_DualAxis","T02_DualAxis.html","C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VAP\VeritasAutoPlot\T02_DualAxis.html",".html","html_template_or_report","HTML_PLOT_DUAL_AXIS","5","title | ids | classes | plotly_present | script_count","1","VAP_TPL_IMPORTED_HTML","VAP_TPL_DUAL_AXIS_003","91","OK","html_meta","OK","","2","True","True","False","False","True","False","True"
"VAP_DATA_00018_T02_Preview","T02_Preview.html","C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VAP\VeritasAutoPlot\T02_Preview.html",".html","html_template_or_report","HTML_PLOT_DUAL_AXIS","5","title | ids | classes | plotly_present | script_count","1","VAP_TPL_IMPORTED_HTML","VAP_TPL_DUAL_AXIS_003","91","OK","html_meta","OK","","2","True","True","False","False","True","False","True"
"VAP_DATA_00019_T03_Candlestick_MA_BB_Vol","T03_Candlestick_MA_BB_Vol.html","C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VAP\VeritasAutoPlot\T03_Candlestick_MA_BB_Vol.html",".html","html_template_or_report","HTML_PLOT_CANDLE_TA","5","title | ids | classes | plotly_present | script_count","1","VAP_TPL_IMPORTED_HTML","VAP_TPL_CANDLE_TA_007","91","OK","html_meta","OK","","2","True","True","False","True","True","False","True"
"VAP_DATA_00020_T03_Preview","T03_Preview.html","C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VAP\VeritasAutoPlot\T03_Preview.html",".html","html_template_or_report","HTML_PLOT_CANDLE_TA","5","title | ids | classes | plotly_present | script_count","1","VAP_TPL_IMPORTED_HTML","VAP_TPL_CANDLE_TA_007","91","OK","html_meta","OK","","2","True","False","False","True","True","False","True"
"VAP_DATA_00021_T04_Heatmap","T04_Heatmap.html","C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VAP\VeritasAutoPlot\T04_Heatmap.html",".html","html_template_or_report","HTML_PLOT_HEATMAP","5","title | ids | classes | plotly_present | script_count","1","VAP_TPL_IMPORTED_HTML","VAP_TPL_HEATMAP_006","91","OK","html_meta","OK","","1","False","False","True","False","True","False","True"
