file_id,old_report_id,new_report_id,ticker,report_date,broker,path
144913c917d9,650b2d77cd95cd86,cceb3df2d6c7c6527e0d,6873,2025-08-19,兆豐,C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\input\20250819兆豐個股報告-泓德能源(6873).pdf
e337b0a2e05d,c3b657104541af37,a24afc5f1a6ad01f354e,3706,2025-08-22,國泰,C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\input\【國泰證期研究部】神達(3706 TT)-初次評等買進(+30.4_)-大顯神威，營運騰達-20250822.pdf
fc9e9d1ffdf9,3dac424a61e86cfe,a130c5195b6ffeb9f7a6,3706,2025-11-28,兆豐,C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\input\20251128兆豐訪談速報-神達(3706).pdf
dc367a89b6fb,f6122b1c603b9188,28b0fda0a7e21a1da7b6,4771,2026-05-19,兆豐,C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\input\20260519兆豐個股報告-望隼(4771).pdf
482e52f26cf4,20e610218fae9c70,d7ae43544da11d894a9f,6933,,,C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\input\6933_AMAX-KY_個股介紹報告.pdf
8578b17590da,8d2bd5a5c8b87d14,92b9363d406e864b48e7,3665,2026-05-19,凱基,C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\input\凱基投顧_3665 貿聯-KY_李承泰_20260519.pdf
a647dd1af7a3,2cf78d2783736269,30e480b70e348daa9432,6768,2025-12-04,兆豐,C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\input\20251204兆豐個股報告-志強-KY(6768).pdf
b94683a9c9e6,3ffaefe3e51bf439,a6e27b3a18751aea1bdd,3014,2023-10-05,國泰,C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\input\3014TT-20231005.pdf
2ffbf03c7485,9a9d42d20071aef6,9894813599507dd241d5,6147,2026-05-19,凱基,C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\input\凱基投顧_6147 頎邦_劉宇程_20260519.pdf
9db99ee86da3,6ccc261ef835def2,1daa5fcefc40b182d816,2026,2025-12-01,華南,C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\input\第一場 2026年投資大趨勢 - 華南投顧 -1141201.pdf
aaf37d8b44ad,b49c22e4ac8a2438,777c5e910776a7e490fd,1476,2026-05-19,凱基,C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\input\凱基投顧_1476 儒鴻_劉昃恩_20260519.pdf
513089807e2e,63599359bfd4ec19,a10dee2c19e76baa8a74,2891,2026-05-19,凱基,C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\input\凱基投顧_2891 中信金_施志鴻_20260519.pdf
d04a4946c88f,c15bda4dd19ee51e,554ea65c566949dfdada,1319,2023-10-11,GS,C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\input\Daiwa-1319 20231011.pdf
a9762ff02efe,ede46dd062be6786,d64d76afb0323552e819,4171,2025-12-08,GS,"C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\input\瑞基(4171,NR_未評等)-CTBC251208.pdf"
bec2e8821841,a3394c0f7f4d9226,89b80fd0fa8e87320071,2606,2025-09-12,華南,C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\input\華南投顧-2606-裕民-1141202.pdf
7f6338fb959d,7ac7606fd4866328,1f2211a1125e1b5657f4,3017,2025-11-13,華南,C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\input\華南投顧-3017-奇鋐-1141202.pdf
e6270450a0cb,3d74d4a63b622a51,8e477756039cf9b6e5e3,6533,2025-12-06,,"C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\input\晶心科(6533,N,中立)-CTBC251208.pdf"
0e3a7ffea317,f7dffa467cb93ad0,ccb00640a6a53d9fb8b1,3231,2025-06-04,Citi,C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\input\Citi-3231 20250604.pdf
cd1804f88763,d170e4b7e87097fd,06550af2955f9f8bc75c,2637,2025-08-14,華南,C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\input\華南投顧-2637-慧洋-KY-1141202.pdf
c8bcf1de430d,793fe61ac7f49533,3355259cd171f7c7047a,1590,2023-10-12,Goldman,C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\input\GS-1590 20231012.pdf
9015d064e179,6d6f973872095581,f8ccd1853d7838afaebb,3706,2025-11-30,Goldman,C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\input\GS-3706 20251130.pdf
8bc5fab0f44d,a4d2f2b9ae3493b6,6b189a8a6b7a9e17d7fd,1590,2025-12-03,Goldman,C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\input\GS-1590 20251203.pdf
1ce8f7a19d5b,e24e1a849b0bf2f4,130ca4a306c5f1db41c0,6143,2025-09-09,華南,C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\input\華南投顧-6143-振曜-1141128.pdf
73c0ed880dcd,a40792e841722321,fd275d0ab739c69c004e,3653,2025-10-02,GS,C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\input\Daiwa-3653 20251002.pdf
002075ad1390,e9f290c4edbc253d,6a9cf41a8d056e156886,2317,2025-12-05,Goldman,C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\input\GS-2317 20251205.pdf
6ad043d05d31,2f6ecc09c8c0e5d2,798dcbafef5cabe10920,2383,2026-05-19,Goldman,C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\input\GS-2383 20260519.pdf
c0e1841bbcfd,1d489cab23abc675,3794cb576cc583cadcc8,6278,2026-05-21,Daiwa,C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\input\Daiwa-6278 20260521.pdf
