"Round","Category","Severity","RiskRank","FixMode","Target","Issue","Optimization","RecommendedAction","HydraRisk","CreatedAt"
"1","ACTIVE_ENTRY","INFO","4","FINALIZE","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\Invoke-VAP.ps1","Invoke-VAP.ps1 exists","Keep as single active entry","PASS_ACTIVE_ENTRY","LOW","2026-06-09T13:02:36+08:00"
"1","ICON_BASE","INFO","4","PARALLEL","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\ICON_BASE_MANAGED","Managed displayable icons: 1059","Use as SSOT visual asset base","PASS_ICON_BASE","LOW","2026-06-09T13:02:36+08:00"
"1","OLD_SOURCE","INFO","4","FINALIZE","old icon base","Old icon base absent","Expected after guarded delete","PASS_OLD_SOURCE_ABSENT","LOW","2026-06-09T13:02:36+08:00"
"1","GALLERY","INFO","4","PARALLEL","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\COCKPIT\VAP_Gallery_Cockpit.html","Gallery cockpit exists","Upgrade to master cockpit + project galleries","PASS_GALLERY_EXISTS","LOW","2026-06-09T13:02:36+08:00"
"1","GROUPING","INFO","4","PARALLEL","SameSource","Same source icons: 524","Mark, do not merge/delete automatically","MARK_SAME_SOURCE","LOW","2026-06-09T13:02:36+08:00"
"1","GROUPING","LOW","3","PARALLEL","SameSize","Same size icons: 59","Manual visual check only","MARK_SAME_SIZE_REVIEW","LOW","2026-06-09T13:02:36+08:00"
"1","PROJECT_LINK","INFO","4","PARALLEL","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP","Project root exists: VAP","Can link project icon gallery","PASS_PROJECT_LINK","LOW","2026-06-09T13:02:36+08:00"
"1","PROJECT_LINK","INFO","4","PARALLEL","C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN","Project root exists: VRN","Can link project icon gallery","PASS_PROJECT_LINK","LOW","2026-06-09T13:02:36+08:00"
"1","PROJECT_LINK","INFO","4","PARALLEL","C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VDF","Project root exists: VDF","Can link project icon gallery","PASS_PROJECT_LINK","LOW","2026-06-09T13:02:36+08:00"
"1","PROJECT_LINK","LOW","3","PARALLEL","C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VETF","Project root not found yet: VETF","Keep virtual project gallery under VAP","VIRTUAL_PROJECT_LINK","LOW","2026-06-09T13:02:36+08:00"
"1","PROJECT_LINK","INFO","4","PARALLEL","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics","Project root exists: VIA-Core","Can link project icon gallery","PASS_PROJECT_LINK","LOW","2026-06-09T13:02:36+08:00"
"1","PROJECT_LINK","INFO","4","PARALLEL","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics","Project root exists: Risk-Control","Can link project icon gallery","PASS_PROJECT_LINK","LOW","2026-06-09T13:02:36+08:00"
"1","PROJECT_LINK","INFO","4","PARALLEL","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP","Project root exists: Shared","Can link project icon gallery","PASS_PROJECT_LINK","LOW","2026-06-09T13:02:36+08:00"
"2","ACTIVE_ENTRY","INFO","4","FINALIZE","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\Invoke-VAP.ps1","Invoke-VAP.ps1 exists","Keep as single active entry","PASS_ACTIVE_ENTRY","LOW","2026-06-09T13:02:36+08:00"
"2","ICON_BASE","INFO","4","PARALLEL","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\ICON_BASE_MANAGED","Managed displayable icons: 1059","Use as SSOT visual asset base","PASS_ICON_BASE","LOW","2026-06-09T13:02:36+08:00"
"2","OLD_SOURCE","INFO","4","FINALIZE","old icon base","Old icon base absent","Expected after guarded delete","PASS_OLD_SOURCE_ABSENT","LOW","2026-06-09T13:02:36+08:00"
"2","GALLERY","INFO","4","PARALLEL","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\COCKPIT\VAP_Gallery_Cockpit.html","Gallery cockpit exists","Upgrade to master cockpit + project galleries","PASS_GALLERY_EXISTS","LOW","2026-06-09T13:02:36+08:00"
"2","GROUPING","INFO","4","PARALLEL","SameSource","Same source icons: 524","Mark, do not merge/delete automatically","MARK_SAME_SOURCE","LOW","2026-06-09T13:02:36+08:00"
"2","GROUPING","LOW","3","PARALLEL","SameSize","Same size icons: 59","Manual visual check only","MARK_SAME_SIZE_REVIEW","LOW","2026-06-09T13:02:36+08:00"
"2","PROJECT_LINK","INFO","4","PARALLEL","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP","Project root exists: VAP","Can link project icon gallery","PASS_PROJECT_LINK","LOW","2026-06-09T13:02:36+08:00"
"2","PROJECT_LINK","INFO","4","PARALLEL","C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN","Project root exists: VRN","Can link project icon gallery","PASS_PROJECT_LINK","LOW","2026-06-09T13:02:36+08:00"
"2","PROJECT_LINK","INFO","4","PARALLEL","C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VDF","Project root exists: VDF","Can link project icon gallery","PASS_PROJECT_LINK","LOW","2026-06-09T13:02:36+08:00"
"2","PROJECT_LINK","LOW","3","PARALLEL","C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VETF","Project root not found yet: VETF","Keep virtual project gallery under VAP","VIRTUAL_PROJECT_LINK","LOW","2026-06-09T13:02:36+08:00"
"2","PROJECT_LINK","INFO","4","PARALLEL","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics","Project root exists: VIA-Core","Can link project icon gallery","PASS_PROJECT_LINK","LOW","2026-06-09T13:02:36+08:00"
