"Time","Round","Flow","Layer","Name","Status","Risk","FixClass","Metric","Value","Message","Path"
"2026-06-09 22:40:56","Round1","CORE","ACTIVE_POINTER","VDF_ACTIVE_POINTER.json","OK","LOW","PARALLEL_SAFE","json_parse","ok","JSON parse OK.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_ACTIVE_POINTER.json"
"2026-06-09 22:40:56","Round1","CORE","SSOT","VDF_Extraction_Params_SSOT.json","OK","LOW","PARALLEL_SAFE","json_parse","ok","JSON parse OK.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_ssot\VDF_Extraction_Params_SSOT.json"
"2026-06-09 22:40:56","Round1","CORE","HEADER_REGISTRY","VDF_DataScope_HeaderRegistry_SSOT.json","OK","LOW","PARALLEL_SAFE","json_parse","ok","JSON parse OK.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_ssot\VDF_DataScope_HeaderRegistry_SSOT.json"
"2026-06-09 22:40:56","Round1","CORE","SUPPORTIVE_MANIFEST","VDF_SupportiveTools_ImportManifest.json","OK","LOW","PARALLEL_SAFE","json_parse","ok","JSON parse OK.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_ssot\VDF_SupportiveTools_ImportManifest.json"
"2026-06-09 22:40:56","Round1","CORE","LATEST_FINAL_SEAL","VDF_LATEST_FINAL_SEAL_POINTER.json","OK","LOW","PARALLEL_SAFE","json_parse","ok","JSON parse OK.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_freeze\VDF_LATEST_FINAL_SEAL_POINTER.json"
"2026-06-09 22:40:56","Round1","FLOW_A_YFINANCE","LATEST_SEED_SEAL","VDF_LATEST_YFINANCE_SEED_SEAL_POINTER.json","OK","LOW","PARALLEL_SAFE","json_parse","ok","JSON parse OK.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_freeze\VDF_LATEST_YFINANCE_SEED_SEAL_POINTER.json"
"2026-06-09 22:40:56","Round1","CORE","ACTIVE_ENTRY","Invoke-VDF.ps1","OK","LOW","PARALLEL_SAFE","exists_sha256","DC72773B64F027CC8699199F3E315586AFB2BF0DEAF7D0B7B3430CF57A3A73FD","File exists.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VDF\Invoke-VDF.ps1"
"2026-06-09 22:40:56","Round1","CORE","ACTIVE_ENTRY_AST","Invoke-VDF.ps1","OK","LOW","PARALLEL_SAFE","ast_parse","ok","PowerShell AST parse OK.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VDF\Invoke-VDF.ps1"
"2026-06-09 22:40:56","Round1","CORE","FETCH_ENTRY","Invoke-VDF-Fetch.ps1","OK","LOW","PARALLEL_SAFE","exists_sha256","C625DA53435FBC27CDE102F634D8BC9BF4BD22DEA728E2B6499F0077305F7364","File exists.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VDF\Invoke-VDF-Fetch.ps1"
"2026-06-09 22:40:56","Round1","CORE","FETCH_ENTRY_AST","Invoke-VDF-Fetch.ps1","OK","LOW","PARALLEL_SAFE","ast_parse","ok","PowerShell AST parse OK.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VDF\Invoke-VDF-Fetch.ps1"
