"def_layer","def_test","def_status","def_risk","def_message","def_path"
"UPSTREAM","v0114F1 allow v0114G","PASS","LOW","Gate=READY_FOR_v0114G_RELEASE_CANDIDATE_PACKAGE_VALIDATION",""
"UPSTREAM","v0114F1 validation pass","PASS","LOW","UpstreamFail=0",""
"PACKAGE","package directory exists","PASS","LOW","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VDF\_integration_v0114F1_hotfix_release_candidate_package\RUN_20260622_213423_VIA_v0114F1_HOTFIX_RELEASE_CANDIDATE_PACKAGE\_release_candidate_package_only","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VDF\_integration_v0114F1_hotfix_release_candidate_package\RUN_20260622_213423_VIA_v0114F1_HOTFIX_RELEASE_CANDIDATE_PACKAGE\_release_candidate_package_only"
"PACKAGE","package index rows","PASS","LOW","PackageIndexRows=18",""
"PACKAGE","package hash audit pass","PASS","LOW","HashFail=0",""
"PACKAGE","zip exists","PASS","LOW","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VDF\_integration_v0114F1_hotfix_release_candidate_package\RUN_20260622_213423_VIA_v0114F1_HOTFIX_RELEASE_CANDIDATE_PACKAGE\output\VIA_v0114F1_HotfixReleaseCandidatePackageOnly_RUN_20260622_213423_VIA_v0114F1_HOTFIX_RELEASE_CANDIDATE_PACKAGE.zip","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VDF\_integration_v0114F1_hotfix_release_candidate_package\RUN_20260622_213423_VIA_v0114F1_HOTFIX_RELEASE_CANDIDATE_PACKAGE\output\VIA_v0114F1_HotfixReleaseCandidatePackageOnly_RUN_20260622_213423_VIA_v0114F1_HOTFIX_RELEASE_CANDIDATE_PACKAGE.zip"
"PACKAGE","zip non-empty","PASS","LOW","ZipLength=19897","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VDF\_integration_v0114F1_hotfix_release_candidate_package\RUN_20260622_213423_VIA_v0114F1_HOTFIX_RELEASE_CANDIDATE_PACKAGE\output\VIA_v0114F1_HotfixReleaseCandidatePackageOnly_RUN_20260622_213423_VIA_v0114F1_HOTFIX_RELEASE_CANDIDATE_PACKAGE.zip"
"PACKAGE","zip entry count","PASS","LOW","ZipEntries=21",""
"COUNT","policy candidate count","PASS","LOW","Policy=12",""
"COUNT","alias candidate count","PASS","LOW","Alias=5",""
"COUNT","row patch count","PASS","LOW","Rows=149",""
"SAFETY","no unsafe flags","PASS","LOW","UnsafeFlags=0",""
"SAFETY","MACRO_CHINA excluded","PASS","LOW","MACRO_CHINA rows=0",""
"SECRET","no raw secret pattern","PASS","LOW","No raw secret pattern detected",""
"APPLY_BOUNDARY","disabled apply AST clean","PASS","LOW","AST clean","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VDF\_integration_v0114F1_hotfix_release_candidate_package\RUN_20260622_213423_VIA_v0114F1_HOTFIX_RELEASE_CANDIDATE_PACKAGE\_release_candidate_package_only\disabled_apply_boundary\Invoke-VIA-v0114F1-DISABLED-ApplyBoundary.ps1"
"APPLY_BOUNDARY","disabled apply no dangerous command","PASS","LOW","No dangerous command pattern detected","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VDF\_integration_v0114F1_hotfix_release_candidate_package\RUN_20260622_213423_VIA_v0114F1_HOTFIX_RELEASE_CANDIDATE_PACKAGE\_release_candidate_package_only\disabled_apply_boundary\Invoke-VIA-v0114F1-DISABLED-ApplyBoundary.ps1"
