"Time","Round","Flow","Layer","Name","Status","Risk","FixClass","Priority","Metric","Value","Message","Path"
"2026-06-09 22:56:43","Round1","CORE","ACTIVE_POINTER","VDF_ACTIVE_POINTER.json","OK","LOW","PARALLEL_SAFE","P0","json_parse","ok","JSON parse OK.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_ACTIVE_POINTER.json"
"2026-06-09 22:56:43","Round1","CORE","CORE_TRIFLOW_POINTER","VDF_ACTIVE_TRIFLOW_POINTER.json","OK","LOW","PARALLEL_SAFE","P0","json_parse","ok","JSON parse OK.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_ACTIVE_TRIFLOW_POINTER.json"
"2026-06-09 22:56:43","Round1","PENDING_SYNC","PENDING_TRIFLOW_POINTER","VDF_PENDING_TRIFLOW_POINTER.json","OK","LOW","PARALLEL_SAFE","P0","json_parse","ok","JSON parse OK.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_PENDING_TRIFLOW_POINTER.json"
"2026-06-09 22:56:43","Round1","CORE","SSOT","VDF_Extraction_Params_SSOT.json","OK","LOW","PARALLEL_SAFE","P0","json_parse","ok","JSON parse OK.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_ssot\VDF_Extraction_Params_SSOT.json"
"2026-06-09 22:56:43","Round1","CORE","HEADER_REGISTRY","VDF_DataScope_HeaderRegistry_SSOT.json","OK","LOW","PARALLEL_SAFE","P0","json_parse","ok","JSON parse OK.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_ssot\VDF_DataScope_HeaderRegistry_SSOT.json"
"2026-06-09 22:56:43","Round1","CORE","SUPPORTIVE_MANIFEST","VDF_SupportiveTools_ImportManifest.json","OK","LOW","PARALLEL_SAFE","P0","json_parse","ok","JSON parse OK.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_ssot\VDF_SupportiveTools_ImportManifest.json"
"2026-06-09 22:56:43","Round1","CORE","ACTIVE_ENTRY","Invoke-VDF.ps1","OK","LOW","PARALLEL_SAFE","P0","exists_sha256","DC72773B64F027CC8699199F3E315586AFB2BF0DEAF7D0B7B3430CF57A3A73FD","File exists.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VDF\Invoke-VDF.ps1"
"2026-06-09 22:56:43","Round1","CORE","ACTIVE_ENTRY_AST","Invoke-VDF.ps1","OK","LOW","PARALLEL_SAFE","P0","ast_parse","ok","PowerShell AST parse OK.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VDF\Invoke-VDF.ps1"
"2026-06-09 22:56:43","Round1","CORE","FETCH_ENTRY","Invoke-VDF-Fetch.ps1","OK","LOW","PARALLEL_SAFE","P0","exists_sha256","C625DA53435FBC27CDE102F634D8BC9BF4BD22DEA728E2B6499F0077305F7364","File exists.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VDF\Invoke-VDF-Fetch.ps1"
"2026-06-09 22:56:43","Round1","CORE","FETCH_ENTRY_AST","Invoke-VDF-Fetch.ps1","OK","LOW","PARALLEL_SAFE","P0","ast_parse","ok","PowerShell AST parse OK.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VDF\Invoke-VDF-Fetch.ps1"
"2026-06-09 22:56:43","Round2","FLOW_D_TPEX_OFFICIAL","TRACKED_PENDING","TRACKED_PENDING_SEQUENTIAL","OK_TRACKED_PENDING","MEDIUM","SEQUENTIAL_GATED","P1","next_step","v020.3 TPEX Swagger Path Selector; v021 TPEX small-scope seed.","TPEX swagger capability already probed; endpoint selection must be sequential.",""
"2026-06-09 22:56:43","Round2","FLOW_E_MOPS_FINANCIAL","TRACKED_PENDING","TRACKED_PENDING_SEQUENTIAL","OK_TRACKED_PENDING","HIGH","SEQUENTIAL_GATED","P1","next_step","v022 MOPS MonthlyRevenue seed; v023 CompanyProfile; later financial statements.","MOPS financial data has higher schema and frequency risk; must start from MonthlyRevenue only.",""
"2026-06-09 22:56:43","Round2","FLOW_F_FRED_AKSHARE_GLOBAL","TRACKED_PENDING","TRACKED_PENDING_AFTER_CONFIG","OK_TRACKED_PENDING","MEDIUM","SEQUENTIAL_GATED","P2","next_step","v024 FRED/AkShare capability probe; v025 small-scope seed.","Global macro/commodity/freight requires API key/package/symbol-map check first.",""
"2026-06-09 22:56:43","Round2","PENDING_SCHEMA_SYNC","SCHEMA_READY","VDF_TW_EquityUniverse","OK_SCHEMA_READY","LOW","PARALLEL_SAFE","P2","files","csv/json/parquet","Schema files exist for pending-flow table.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\DATABASE\VDF_TW_EquityUniverse.csv"
"2026-06-09 22:56:43","Round2","PENDING_SCHEMA_SYNC","SCHEMA_READY","VDF_TW_TradingStats","OK_SCHEMA_READY","LOW","PARALLEL_SAFE","P2","files","csv/json/parquet","Schema files exist for pending-flow table.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\DATABASE\VDF_TW_TradingStats.csv"
