"def_layer","def_test","def_status","def_risk","def_message","def_path"
"ARTIFACT","exists: VIA_v0114A_POLICY_REGISTRY_CANDIDATE.csv","PASS","LOW","Artifact path check.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VDF\_integration_v0114A_hotfix_sandbox_patch_candidate\RUN_20260622_205752_VIA_v0114A_HOTFIX_SANDBOX_CANDIDATE\_sandbox_patch_candidate\VIA_v0114A_POLICY_REGISTRY_CANDIDATE.csv"
"ARTIFACT","exists: VIA_v0114A_ALIAS_REGISTRY_CANDIDATE.csv","PASS","LOW","Artifact path check.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VDF\_integration_v0114A_hotfix_sandbox_patch_candidate\RUN_20260622_205752_VIA_v0114A_HOTFIX_SANDBOX_CANDIDATE\_sandbox_patch_candidate\VIA_v0114A_ALIAS_REGISTRY_CANDIDATE.csv"
"ARTIFACT","exists: VIA_v0114A_ROW_PATCH_PLAN_CANDIDATE.csv","PASS","LOW","Artifact path check.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VDF\_integration_v0114A_hotfix_sandbox_patch_candidate\RUN_20260622_205752_VIA_v0114A_HOTFIX_SANDBOX_CANDIDATE\_sandbox_patch_candidate\VIA_v0114A_ROW_PATCH_PLAN_CANDIDATE.csv"
"ARTIFACT","exists: VIA_v0114A_SandboxPatchCandidate_Manifest.json","PASS","LOW","Artifact path check.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VDF\_integration_v0114A_hotfix_sandbox_patch_candidate\RUN_20260622_205752_VIA_v0114A_HOTFIX_SANDBOX_CANDIDATE\_sandbox_patch_candidate\VIA_v0114A_SandboxPatchCandidate_Manifest.json"
"ARTIFACT","exists: VIA_v0114A_DIFF_PREVIEW.csv","PASS","LOW","Artifact path check.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VDF\_integration_v0114A_hotfix_sandbox_patch_candidate\RUN_20260622_205752_VIA_v0114A_HOTFIX_SANDBOX_CANDIDATE\_diff_preview\VIA_v0114A_DIFF_PREVIEW.csv"
"ARTIFACT","exists: VIA_v0114A_ReadinessGate.csv","PASS","LOW","Artifact path check.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VDF\_integration_v0114A_hotfix_sandbox_patch_candidate\RUN_20260622_205752_VIA_v0114A_HOTFIX_SANDBOX_CANDIDATE\output\VIA_v0114A_ReadinessGate.csv"
"ARTIFACT","exists: VIA_v0114A_ValidationMatrix.csv","PASS","LOW","Artifact path check.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VDF\_integration_v0114A_hotfix_sandbox_patch_candidate\RUN_20260622_205752_VIA_v0114A_HOTFIX_SANDBOX_CANDIDATE\output\VIA_v0114A_ValidationMatrix.csv"
"ARTIFACT","exists: Invoke-VIA-v0114A-DISABLED-ApplyBoundary.ps1","PASS","LOW","Artifact path check.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VDF\_integration_v0114A_hotfix_sandbox_patch_candidate\RUN_20260622_205752_VIA_v0114A_HOTFIX_SANDBOX_CANDIDATE\_disabled_apply_script\Invoke-VIA-v0114A-DISABLED-ApplyBoundary.ps1"
"COUNT","row patch plan count","PASS","LOW","Rows=149","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VDF\_integration_v0114A_hotfix_sandbox_patch_candidate\RUN_20260622_205752_VIA_v0114A_HOTFIX_SANDBOX_CANDIDATE\_sandbox_patch_candidate\VIA_v0114A_ROW_PATCH_PLAN_CANDIDATE.csv"
"COUNT","policy candidate count","PASS","LOW","Policy=12","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VDF\_integration_v0114A_hotfix_sandbox_patch_candidate\RUN_20260622_205752_VIA_v0114A_HOTFIX_SANDBOX_CANDIDATE\_sandbox_patch_candidate\VIA_v0114A_POLICY_REGISTRY_CANDIDATE.csv"
"COUNT","alias candidate count","PASS","LOW","Alias=5","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VDF\_integration_v0114A_hotfix_sandbox_patch_candidate\RUN_20260622_205752_VIA_v0114A_HOTFIX_SANDBOX_CANDIDATE\_sandbox_patch_candidate\VIA_v0114A_ALIAS_REGISTRY_CANDIDATE.csv"
"COUNT","diff preview count","PASS","LOW","Diff=4","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VDF\_integration_v0114A_hotfix_sandbox_patch_candidate\RUN_20260622_205752_VIA_v0114A_HOTFIX_SANDBOX_CANDIDATE\_diff_preview\VIA_v0114A_DIFF_PREVIEW.csv"
"ID","unique row candidate ids","PASS","LOW","Duplicate groups=0","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VDF\_integration_v0114A_hotfix_sandbox_patch_candidate\RUN_20260622_205752_VIA_v0114A_HOTFIX_SANDBOX_CANDIDATE\_sandbox_patch_candidate\VIA_v0114A_ROW_PATCH_PLAN_CANDIDATE.csv"
"ID","unique policy candidate ids","PASS","LOW","Duplicate groups=0","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VDF\_integration_v0114A_hotfix_sandbox_patch_candidate\RUN_20260622_205752_VIA_v0114A_HOTFIX_SANDBOX_CANDIDATE\_sandbox_patch_candidate\VIA_v0114A_POLICY_REGISTRY_CANDIDATE.csv"
"ID","unique alias candidate ids","PASS","LOW","Duplicate groups=0","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VDF\_integration_v0114A_hotfix_sandbox_patch_candidate\RUN_20260622_205752_VIA_v0114A_HOTFIX_SANDBOX_CANDIDATE\_sandbox_patch_candidate\VIA_v0114A_ALIAS_REGISTRY_CANDIDATE.csv"
"SAFETY","no unsafe mutation flags","PASS","LOW","UnsafeFlags=0",""
"SAFETY","MACRO_CHINA excluded","PASS","LOW","MACRO_CHINA row patch count=0","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VDF\_integration_v0114A_hotfix_sandbox_patch_candidate\RUN_20260622_205752_VIA_v0114A_HOTFIX_SANDBOX_CANDIDATE\_sandbox_patch_candidate\VIA_v0114A_ROW_PATCH_PLAN_CANDIDATE.csv"
"SAFETY","alias path safety","PASS","LOW","Bad alias paths=0","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VDF\_integration_v0114A_hotfix_sandbox_patch_candidate\RUN_20260622_205752_VIA_v0114A_HOTFIX_SANDBOX_CANDIDATE\_sandbox_patch_candidate\VIA_v0114A_ALIAS_REGISTRY_CANDIDATE.csv"
"SECRET","no raw FRED key pattern","PASS","LOW","No raw FRED key pattern detected",""
"APPLY_BOUNDARY","disabled apply AST clean","PASS","LOW","AST clean","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VDF\_integration_v0114A_hotfix_sandbox_patch_candidate\RUN_20260622_205752_VIA_v0114A_HOTFIX_SANDBOX_CANDIDATE\_disabled_apply_script\Invoke-VIA-v0114A-DISABLED-ApplyBoundary.ps1"
"APPLY_BOUNDARY","disabled apply no dangerous token","PASS","LOW","No forbidden token","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VDF\_integration_v0114A_hotfix_sandbox_patch_candidate\RUN_20260622_205752_VIA_v0114A_HOTFIX_SANDBOX_CANDIDATE\_disabled_apply_script\Invoke-VIA-v0114A-DISABLED-ApplyBoundary.ps1"
"APPLY_BOUNDARY","disabled apply exists","PASS","LOW","Apply boundary is disabled and present.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VDF\_integration_v0114A_hotfix_sandbox_patch_candidate\RUN_20260622_205752_VIA_v0114A_HOTFIX_SANDBOX_CANDIDATE\_disabled_apply_script\Invoke-VIA-v0114A-DISABLED-ApplyBoundary.ps1"
"UPSTREAM","v0114A allow v0114B","PASS","LOW","Gate=READY_FOR_v0114B_SANDBOX_CANDIDATE_VALIDATION","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VDF\_integration_v0114A_hotfix_sandbox_patch_candidate\RUN_20260622_205752_VIA_v0114A_HOTFIX_SANDBOX_CANDIDATE\output\VIA_v0114A_ReadinessGate.csv"
"UPSTREAM","v0114A validation pass","PASS","LOW","Upstream fail=0","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VDF\_integration_v0114A_hotfix_sandbox_patch_candidate\RUN_20260622_205752_VIA_v0114A_HOTFIX_SANDBOX_CANDIDATE\output\VIA_v0114A_ValidationMatrix.csv"
