"def_project","def_flow_id","def_flow_name","def_scope","def_status","def_count","def_risk","def_parallel_policy","def_next_action"
"VDF","FLOW01","Inventory Panorama","Base 檔案全景盤點 / role / size / static metric","READY","1102","HIGH_REVIEW","READ_ONLY_PARALLEL_SAFE","保留來源，先只看矩陣，不直接修"
"VDF","FLOW02","Registry / SSOT Alignment","UnifiedSpec / Governance / Layout / Visual / module registry","READY","28","LOW","INDEPENDENT","每個子系統建立自己的 registry pointer，再由 VIA 統合"
"VDF","FLOW03","Engine / Entry Bridge","Engine modules + Invoke entry scripts + Supportive bridges","READY","33","LOW","BRIDGE_ONLY_NO_CHILD_RUN","先做 static bridge；child execution 預設鎖住"
"VDF","FLOW04","Sandbox Test / Debug / Optimize","test debug upgrade / optimize / consolidate / user-test","READY","30","HIGH_REVIEW_BEFORE_FIX","SANDBOX_ONLY","三輪：分析 → 分類 → 沙盒修正；不超過三輪"
"VDF","FLOW05","One UI / Report / Final Seal","HTML Matrix Report + Active Pointer + Closeout","READY","17","LOW","OUTPUT_ONLY","一頁式多矩陣報告，小字體、不卡版、同高卡片"
"VEF","FLOW01","Inventory Panorama","Base 檔案全景盤點 / role / size / static metric","READY","8","HIGH_REVIEW","READ_ONLY_PARALLEL_SAFE","保留來源，先只看矩陣，不直接修"
"VEF","FLOW02","Registry / SSOT Alignment","UnifiedSpec / Governance / Layout / Visual / module registry","REGISTRY_GAP","0","MEDIUM","INDEPENDENT","每個子系統建立自己的 registry pointer，再由 VIA 統合"
"VEF","FLOW03","Engine / Entry Bridge","Engine modules + Invoke entry scripts + Supportive bridges","READY","5","LOW","BRIDGE_ONLY_NO_CHILD_RUN","先做 static bridge；child execution 預設鎖住"
"VEF","FLOW04","Sandbox Test / Debug / Optimize","test debug upgrade / optimize / consolidate / user-test","TEST_GAP","0","HIGH_REVIEW_BEFORE_FIX","SANDBOX_ONLY","三輪：分析 → 分類 → 沙盒修正；不超過三輪"
"VEF","FLOW05","One UI / Report / Final Seal","HTML Matrix Report + Active Pointer + Closeout","UI_GAP","0","LOW","OUTPUT_ONLY","一頁式多矩陣報告，小字體、不卡版、同高卡片"
"VIA","FLOW01","Inventory Panorama","Base 檔案全景盤點 / role / size / static metric","READY","15284","HIGH_REVIEW","READ_ONLY_PARALLEL_SAFE","保留來源，先只看矩陣，不直接修"
"VIA","FLOW02","Registry / SSOT Alignment","UnifiedSpec / Governance / Layout / Visual / module registry","READY","118","LOW","INDEPENDENT","每個子系統建立自己的 registry pointer，再由 VIA 統合"
"VIA","FLOW03","Engine / Entry Bridge","Engine modules + Invoke entry scripts + Supportive bridges","READY","91","LOW","BRIDGE_ONLY_NO_CHILD_RUN","先做 static bridge；child execution 預設鎖住"
"VIA","FLOW04","Sandbox Test / Debug / Optimize","test debug upgrade / optimize / consolidate / user-test","READY","40","HIGH_REVIEW_BEFORE_FIX","SANDBOX_ONLY","三輪：分析 → 分類 → 沙盒修正；不超過三輪"
"VIA","FLOW05","One UI / Report / Final Seal","HTML Matrix Report + Active Pointer + Closeout","READY","243","LOW","OUTPUT_ONLY","一頁式多矩陣報告，小字體、不卡版、同高卡片"
"VIS","FLOW01","Inventory Panorama","Base 檔案全景盤點 / role / size / static metric","READY","90","HIGH_REVIEW","READ_ONLY_PARALLEL_SAFE","保留來源，先只看矩陣，不直接修"
"VIS","FLOW02","Registry / SSOT Alignment","UnifiedSpec / Governance / Layout / Visual / module registry","READY","16","LOW","INDEPENDENT","每個子系統建立自己的 registry pointer，再由 VIA 統合"
"VIS","FLOW03","Engine / Entry Bridge","Engine modules + Invoke entry scripts + Supportive bridges","ENGINE_GAP","0","MEDIUM","BRIDGE_ONLY_NO_CHILD_RUN","先做 static bridge；child execution 預設鎖住"
"VIS","FLOW04","Sandbox Test / Debug / Optimize","test debug upgrade / optimize / consolidate / user-test","TEST_GAP","0","HIGH_REVIEW_BEFORE_FIX","SANDBOX_ONLY","三輪：分析 → 分類 → 沙盒修正；不超過三輪"
"VIS","FLOW05","One UI / Report / Final Seal","HTML Matrix Report + Active Pointer + Closeout","READY","3","LOW","OUTPUT_ONLY","一頁式多矩陣報告，小字體、不卡版、同高卡片"
"VRN","FLOW01","Inventory Panorama","Base 檔案全景盤點 / role / size / static metric","READY","825","HIGH_REVIEW","READ_ONLY_PARALLEL_SAFE","保留來源，先只看矩陣，不直接修"
"VRN","FLOW02","Registry / SSOT Alignment","UnifiedSpec / Governance / Layout / Visual / module registry","READY","86","LOW","INDEPENDENT","每個子系統建立自己的 registry pointer，再由 VIA 統合"
"VRN","FLOW03","Engine / Entry Bridge","Engine modules + Invoke entry scripts + Supportive bridges","READY","76","LOW","BRIDGE_ONLY_NO_CHILD_RUN","先做 static bridge；child execution 預設鎖住"
"VRN","FLOW04","Sandbox Test / Debug / Optimize","test debug upgrade / optimize / consolidate / user-test","READY","20","HIGH_REVIEW_BEFORE_FIX","SANDBOX_ONLY","三輪：分析 → 分類 → 沙盒修正；不超過三輪"
"VRN","FLOW05","One UI / Report / Final Seal","HTML Matrix Report + Active Pointer + Closeout","READY","3","LOW","OUTPUT_ONLY","一頁式多矩陣報告，小字體、不卡版、同高卡片"
