"def_layer","def_test","def_status","def_risk","def_message","def_path"
"EVIDENCE","exists: VIA_v0114C_SandboxDryRunSimulation_Summary.json","PASS","LOW","Evidence path check.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VDF\_integration_v0114C_sandbox_dryrun_simulation\RUN_20260622_211537_VIA_v0114C_SANDBOX_DRYRUN_SIMULATION\output\VIA_v0114C_SandboxDryRunSimulation_Summary.json"
"EVIDENCE","exists: VIA_v0114C_ReadinessGate.csv","PASS","LOW","Evidence path check.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VDF\_integration_v0114C_sandbox_dryrun_simulation\RUN_20260622_211537_VIA_v0114C_SANDBOX_DRYRUN_SIMULATION\output\VIA_v0114C_ReadinessGate.csv"
"EVIDENCE","exists: VIA_v0114C_ValidationMatrix.csv","PASS","LOW","Evidence path check.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VDF\_integration_v0114C_sandbox_dryrun_simulation\RUN_20260622_211537_VIA_v0114C_SANDBOX_DRYRUN_SIMULATION\output\VIA_v0114C_ValidationMatrix.csv"
"EVIDENCE","exists: VIA_v0114C_SIMULATED_POLICY_REGISTRY.csv","PASS","LOW","Evidence path check.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VDF\_integration_v0114C_sandbox_dryrun_simulation\RUN_20260622_211537_VIA_v0114C_SANDBOX_DRYRUN_SIMULATION\_dryrun_sandbox_only\VIA_v0114C_SIMULATED_POLICY_REGISTRY.csv"
"EVIDENCE","exists: VIA_v0114C_SIMULATED_ALIAS_REGISTRY.csv","PASS","LOW","Evidence path check.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VDF\_integration_v0114C_sandbox_dryrun_simulation\RUN_20260622_211537_VIA_v0114C_SANDBOX_DRYRUN_SIMULATION\_dryrun_sandbox_only\VIA_v0114C_SIMULATED_ALIAS_REGISTRY.csv"
"EVIDENCE","exists: VIA_v0114C_SIMULATED_ROW_MAPPING.csv","PASS","LOW","Evidence path check.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VDF\_integration_v0114C_sandbox_dryrun_simulation\RUN_20260622_211537_VIA_v0114C_SANDBOX_DRYRUN_SIMULATION\_dryrun_sandbox_only\VIA_v0114C_SIMULATED_ROW_MAPPING.csv"
"EVIDENCE","exists: VIA_v0114C_DRYRUN_ACTION_PLAN.csv","PASS","LOW","Evidence path check.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VDF\_integration_v0114C_sandbox_dryrun_simulation\RUN_20260622_211537_VIA_v0114C_SANDBOX_DRYRUN_SIMULATION\_dryrun_sandbox_only\VIA_v0114C_DRYRUN_ACTION_PLAN.csv"
"UPSTREAM","v0114C allow v0114D","PASS","LOW","Gate=READY_FOR_v0114D_SANDBOX_REVIEW_SEAL","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VDF\_integration_v0114C_sandbox_dryrun_simulation\RUN_20260622_211537_VIA_v0114C_SANDBOX_DRYRUN_SIMULATION\output\VIA_v0114C_ReadinessGate.csv"
"UPSTREAM","v0114C validation pass","PASS","LOW","Upstream fail=0","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VDF\_integration_v0114C_sandbox_dryrun_simulation\RUN_20260622_211537_VIA_v0114C_SANDBOX_DRYRUN_SIMULATION\output\VIA_v0114C_ValidationMatrix.csv"
"COUNT","sim policy rows","PASS","LOW","Policy=12","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VDF\_integration_v0114C_sandbox_dryrun_simulation\RUN_20260622_211537_VIA_v0114C_SANDBOX_DRYRUN_SIMULATION\_dryrun_sandbox_only\VIA_v0114C_SIMULATED_POLICY_REGISTRY.csv"
