"path","bytes","has_main","has_pandas","has_polars","has_duckdb","has_pyarrow","has_pdf","has_ocr"
"C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VDF\VDF_MDL001_TWEquityEngine.py","108742","True","False","False","False","False","False","False"
"C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VDF\VDF_MDL001_TWUniverseVerify.py","26227","True","True","False","False","True","False","False"
"C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VDF\VDF_MDL002_YFinanceFetchingEngine.py","85299","True","True","False","False","True","False","False"
"C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VDF\VDF_MDL003_SentimentMacroEngine.py","73800","True","True","False","True","True","False","False"
"C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VDF\VDF_MDL004_TWFullMarketEngine.py","47065","True","True","False","True","True","False","False"
"C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VDF\VDF_MDL005_TWStockFilter.py","45762","True","True","False","True","True","False","False"
"C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VDF\VDF_MDL006_FinancialModel.py","67390","True","True","False","True","True","False","False"
"C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VDF\VDF_MDL007_SSOTResolver.py","54262","True","True","False","False","False","False","False"
"C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VDF\VDF_MDL101_OutputManager.py","14620","True","True","False","True","True","False","False"
"C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VDF\VDF_MDL102_FormatUpgrader.py","15595","True","True","False","False","False","False","False"
"C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VDF\VDF_MDL103_MasterRegistry.py","38755","True","True","False","True","True","False","False"
"C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VDF\VDF_MDL104_RegistryLoader.py","18249","True","True","False","False","False","False","False"
"C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VDF\VDF_MDL105_CrossValidator.py","19486","True","True","False","False","False","False","False"
"C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VDF\VDF_MDL201_GenerateFullRegistry.py","22332","True","False","False","False","False","False","False"
"C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VDF\VDF_MDL301_SystemTest.py","21501","True","True","False","False","False","False","False"
"C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VDF\VDF_MDL302_FinalActivation.py","49291","True","True","False","True","True","False","False"
"C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VDF\VDF_MDL303_RegistryActivation.py","17116","True","True","False","False","False","False","False"
"C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VRN\VRN_MDL001_Converter.py","42780","True","False","False","False","False","True","False"
"C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VRN\VRN_MDL002_LayoutExtractor.py","49783","True","False","False","False","False","True","False"
"C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VRN\VRN_MDL003_TableRestorer.py","52317","True","False","False","False","False","True","True"
"C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VRN\VRN_MDL004_OCR_FetchingPDFTable_v1.py","95829","True","False","False","False","False","True","True"
"C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VRN\VRN_MDL005_OCRFetchingPDFText_v1.py","81748","True","False","False","False","False","True","True"
"C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VRN\VRN_MDL006_ConsolidatorAndPhaseValidator.py","37354","False","False","False","False","False","False","True"
"C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VRN\VRN_MDL007_APIDataFetcher.py","38493","True","False","False","False","False","False","False"
"C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VRN\VRN_MDL008_CrossValidator.py","42984","True","False","False","False","False","False","True"
"C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\10_Core_Runtime\VIA_RuntimeImportFirewall.py","9658","False","False","False","False","False","False","False"
"C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\10_Core_Runtime\VIA_Runtime_Bridge_All_in_One.py","29537","True","False","False","False","False","False","False"
"C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\10_Core_Runtime\VIA_Supportive_Runtime_HardGate_Bridge.py","14829","True","False","False","False","False","False","False"
"C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\20_Registry_SSOT\VIA_RegistryCore_v1.py","49130","True","False","False","False","False","False","False"
"C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\20_Registry_SSOT\VIA_SSOT_Unified.py","306724","True","True","True","False","False","True","False"
"C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\30_HardGate_Governance\VIA_HardGate_SealEngine.py","4582","True","False","False","False","False","False","False"
"C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\30_HardGate_Governance\VIA_Panorama_AST_RuntimeInjector.py","13403","True","False","False","False","False","False","False"
"C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\40_Environment_Health\VIA_EnvManager.py","68497","True","False","False","False","False","True","True"
"C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\40_Environment_Health\VIS_InstallHealthRegistry.py","5107","True","False","False","False","False","False","False"
"C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\50_Protection_Acceleration\VeritasAegisNexus.py","208495","True","False","False","False","False","False","False"
"C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\50_Protection_Acceleration\VeritasCeleritas.py","242127","False","True","True","True","False","False","True"
"C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\70_VRN_Rules\VIS_VRN_BrokerAlias_Compatibility_v0222.py","4922","True","False","False","False","False","False","True"
"C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\70_VRN_Rules\VIS_VRN_BrokerAlias_Extension_v0224.py","4801","True","False","False","False","False","False","False"
"C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\70_VRN_Rules\VIS_VRN_BrokerAnalystAdapters_v06146.py","14701","False","False","False","False","False","False","True"
"C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\70_VRN_Rules\VIS_VRN_FinancialRescueRules_v06126.py","9644","False","False","False","False","False","False","False"
"C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\70_VRN_Rules\VIS_VRN_FinancialSSOT_v05910.py","18265","False","False","False","False","False","False","False"
"C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\70_VRN_Rules\VIS_VRN_FinancialSSOT_v05911.py","26447","False","False","False","False","False","False","False"
"C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\70_VRN_Rules\VIS_VRN_FinancialSSOT_v05912.py","26597","False","False","False","False","False","False","False"
"C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\70_VRN_Rules\VIS_VRN_FinancialSSOT_v0599.py","15529","False","False","False","False","False","False","False"
"C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\70_VRN_Rules\VIS_VRN_FinancialSSOT_v0600.py","26861","False","False","False","False","False","False","False"
"C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\70_VRN_Rules\VIS_VRN_FinancialSSOT_v0608.py","17050","False","False","False","False","False","False","False"
"C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\70_VRN_Rules\VIS_VRN_HistoricalValidationPolicy_v0100.py","8849","True","False","False","False","False","False","False"
"C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\70_VRN_Rules\VIS_VRN_InputRoutePolicy_v0224.py","5859","True","False","False","False","False","False","True"
"C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\70_VRN_Rules\VIS_VRN_NewReportCompatibilityGate_v01.py","12017","True","False","False","False","False","False","True"
