"Time","Round","Project","Lane","Layer","Name","Status","Risk","Class","Priority","Metric","Value","Message","Path"
"2026-06-15T15:35:39.969+08:00","Round0","VIA","ALL","POLICY","Read Only","OK_POLICY_LOCKED","LOW","PARALLEL_SAFE","P0","write","false","Only inspect and classify. No repair, no rerun.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VIA_DUALPROJECT_SIXLANE_PANORAMA_GATE_v029DUAL1A_20260615_153539"
"2026-06-15T15:35:39.970+08:00","Round0","VIA","ALL","POLICY","No Stop-Process","OK_POLICY_LOCKED","LOW","SEQUENTIAL_GATED","P0","stop_process","false","No process kill.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VIA_DUALPROJECT_SIXLANE_PANORAMA_GATE_v029DUAL1A_20260615_153539"
"2026-06-15T15:35:39.972+08:00","Round0","VIA","ALL","POLICY","No Canonical Promotion","OK_POLICY_LOCKED","LOW","SEQUENTIAL_GATED","P0","canonical","false","Canonical remains blocked.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VIA_DUALPROJECT_SIXLANE_PANORAMA_GATE_v029DUAL1A_20260615_153539"
"2026-06-15T15:35:39.973+08:00","Round0","VIA","ALL","POLICY","Six Lanes","OK_POLICY_LOCKED","LOW","PARALLEL_SAFE","P0","lanes","6","VDF three lanes + VRN three lanes.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VIA_DUALPROJECT_SIXLANE_PANORAMA_GATE_v029DUAL1A_20260615_153539"
"2026-06-15T15:35:39.978+08:00","Round1","VIA","ALL","ENGINE","Six-Lane Probe","OK_CREATED","LOW","PARALLEL_SAFE","P0","script","created","Python probe created.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VIA_DUALPROJECT_SIXLANE_PANORAMA_GATE_v029DUAL1A_20260615_153539\work\via_dual_sixlane_probe.py"
"2026-06-15T15:35:42.824+08:00","Round1","VIA","ALL","PROBE","OK_VERIFIED","LOW","PARALLEL_SAFE","P0","exit","0","Parquet/DuckDB probe completed.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VIA_DUALPROJECT_SIXLANE_PANORAMA_GATE_v029DUAL1A_20260615_153539\runtime\VIA_DualSixLaneProbe_Runtime_v029DUAL1A.json",""
"2026-06-15T15:35:42.962+08:00","Round2","VDF","VDF-1","RUNTIME","VDF Process","WARN_NOT_RUNNING","MEDIUM","SEQUENTIAL_REQUIRED","P1","processes","0","No active VDF process detected. Need completion seal to call finished.",""
"2026-06-15T15:35:42.967+08:00","Round2","VDF","VDF-1","SEAL","Final Operations Seal v028","OK_FOUND","LOW","PARALLEL_SAFE","P1","seal","found","v028 final operations seal exists, but not proof of latest VDF data run completion.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VIA_FINAL_OPERATIONS_SEAL_v02876_20260611_230723\runtime\VIA_FinalOperationsSeal_Runtime_v02876.json"
"2026-06-15T15:35:42.967+08:00","Round2","VDF","VDF-1","RUNTIME","Latest VDF Runtime","WARN_MISSING","MEDIUM","SEQUENTIAL_REQUIRED","P1","runtime","missing","No latest VDF-specific runtime found under project root.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics"
"2026-06-15T15:35:42.971+08:00","Round2","VDF","VDF-2","DATA","VDF Parquet Inventory","OK_FOUND","LOW","PARALLEL_SAFE","P1","files","58","VDF parquet files visible.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\DATABASE"
"2026-06-15T15:35:42.972+08:00","Round2","VDF","VDF-2","DATA","VDF DuckDB Inventory","OK_FOUND","LOW","PARALLEL_SAFE","P1","files","5","VDF duckdb files visible.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\DATABASE"
"2026-06-15T15:35:42.972+08:00","Round2","VDF","VDF-2","DATA","VDF DB Inventory","OK_FOUND","LOW","PARALLEL_SAFE","P2","db/sqlite","0/0","VDF db/sqlite inventory.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\DATABASE"
"2026-06-15T15:35:42.973+08:00","Round2","VDF","VDF-3","READINESS","VDF Completion","WARN_NOT_CONFIRMED","MEDIUM","SEQUENTIAL_REQUIRED","P0","finished","false","VDF completion is not confirmed. Next gate should inspect/finish VDF only, not full rerun.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics"
"2026-06-15T15:35:42.980+08:00","Round2","VRN","VRN-1","OUTPUT","StockReportBasicInfo.parquet","OK_VERIFIED","LOW","PARALLEL_SAFE","P0","rows","400","BasicInfo output row count.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VRN\DATABASE\StockReportBasicInfo.parquet"
"2026-06-15T15:35:42.980+08:00","Round2","VRN","VRN-1","OUTPUT","StockReportFinancialData.parquet","OK_VERIFIED","LOW","PARALLEL_SAFE","P0","rows","246","FinancialData output row count.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VRN\DATABASE\StockReportFinancialData.parquet"
"2026-06-15T15:35:42.980+08:00","Round2","VRN","VRN-1","OUTPUT","VRN_StockReport.duckdb","OK_VERIFIED","LOW","PARALLEL_SAFE","P0","basic/financial","400/246","DuckDB serving count.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VRN\DATABASE\VRN_StockReport.duckdb"
"2026-06-15T15:35:42.984+08:00","Round2","VRN","VRN-2","SSOT","VRN_ACTIVE_STAGE_POINTER.json","OK_ACTIVE","LOW","PARALLEL_SAFE","P0","active","true","VRN active pointer exists.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VRN\SSOT\VRN_ACTIVE_STAGE_POINTER.json"
"2026-06-15T15:35:42.985+08:00","Round2","VRN","VRN-2","RUNTIME","Latest Financial 1D Runtime","OK_FOUND","LOW","PARALLEL_SAFE","P0","runtime","found","Latest VRN 1D runtime found.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VRN\SSOT\_runs\VRN_FINANCIALDATA_STAGING_EXTRACTION_STORE_v029VRN1D_20260615_153021\runtime\VRN_FinancialDataStagingExtractionStore_Runtime_v029VRN1D.json"
"2026-06-15T15:35:42.987+08:00","Round2","VRN","VRN-3","READINESS","VRN 1D Completed","OK_READY","LOW","PARALLEL_SAFE","P0","ready","true","VRN text-alias FinancialData staging is ready. Next is 1D.1 table-geometry extraction for coverage.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VRN\DATABASE"
"2026-06-15T15:35:42.988+08:00","Round3","VIA","PLAN","CONCURRENCY","Two-Project Safe Parallel Plan","READY_WITH_REVIEW","MEDIUM","SEQUENTIAL_GATED","P0","mode","VDF_FIX + VRN_1D1","Run VDF completion audit/finish gate and VRN table-geometry staging in parallel, 3 lanes each, but no canonical.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VIA_DUALPROJECT_SIXLANE_PANORAMA_GATE_v029DUAL1A_20260615_153539"
"2026-06-15T15:35:42.989+08:00","Round3","VIA","PLAN","VDF-Next","READY_WITH_REVIEW","MEDIUM","SEQUENTIAL_REQUIRED","P0","next","v029.VDF.1A","VDF completion audit / finalization gate needed unless latest full-run seal is found.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics",""
"2026-06-15T15:35:42.989+08:00","Round3","VIA","PLAN","VRN-Next","OK_READY","LOW","PARALLEL_SAFE","P0","next","v029.VRN.1D.1","VRN table-geometry extraction staging can start to improve FinancialData coverage.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VRN\DATABASE",""
"2026-06-15T15:35:43.004+08:00","Round3","VIA","FINAL","FINAL","Dual Project Six-Lane Gate","VIA_DUALPROJECT_SIXLANE_PANORAMA_READY_WITH_VDF_REVIEW","MEDIUM","SEQUENTIAL_GATED","P0","hard_blocks","0","Final six-lane decision.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VIA_DUALPROJECT_SIXLANE_PANORAMA_GATE_v029DUAL1A_20260615_153539"
