"Time","Round","Project","Lane","Stage","Name","Status","Risk","FixClass","Priority","Mode","Metric","Value","Message","Path"
"2026-06-11T11:51:57.978+08:00","Round0","VIA","CONTROL_PLANE","POLICY","No DB Write","OK_POLICY_LOCKED","LOW","PARALLEL_SAFE","P0","ANALYZE_ONLY","db_write","false","This run never writes DATABASE.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\DATABASE"
"2026-06-11T11:51:57.979+08:00","Round0","VIA","CONTROL_PLANE","POLICY","No Canonical Merge","OK_POLICY_LOCKED","LOW","PARALLEL_SAFE","P0","ANALYZE_ONLY","canonical_merge","false","This run never canonical-merges.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VIA_ACTIVATION_USERTEST_GATE_HOTFIX_v028651_20260611_115157"
"2026-06-11T11:51:57.979+08:00","Round0","VIA","CONTROL_PLANE","POLICY","No Delete Default","OK_POLICY_LOCKED","LOW","SEQUENTIAL_GATED","P0","PATCH_ONLY","delete_default","false","Remove-Item is replaced with guard; no file deletion.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VIA_ACTIVATION_USERTEST_GATE_HOTFIX_v028651_20260611_115157"
"2026-06-11T11:51:58.058+08:00","Round0","VIA","RESTORE","BACKUP","Restore Invoke-VIA-ALL.ps1","OK_RESTORED","LOW","SEQUENTIAL_REQUIRED","P0","RESTORE_ONLY","backup","restored","Restored target from v02865 backup before re-patching correctly.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VIA_ACTIVATION_USERTEST_GATE_v02865_20260611_114925\backup\Invoke-VIA-ALL.ps1.bak_20260611_114925"
"2026-06-11T11:51:58.154+08:00","Round0","VIA","VALIDATION","RESTORED_AST","Restored Target AST","OK_PARSE","LOW","SEQUENTIAL_REQUIRED","P0","TEST_ONLY","parse_errors","0","Restored target parses cleanly.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\60_PowerShell_Entry_Internal\Invoke-VIA-ALL.ps1"
"2026-06-11T11:51:58.322+08:00","Round1","VIA","SAFE_PATCH","AST_TOKEN_PATCH","Invoke-VIA-ALL.ps1 AST-Safe Guard Patch","OK_PATCHED_PARSE_CLEAN","LOW","SEQUENTIAL_REQUIRED","P0","PATCH_WITH_BACKUP","remaining_forbidden","0","AST-safe patch applied. Guard inserted after original param block. Remove-Item command token replaced only.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\60_PowerShell_Entry_Internal\Invoke-VIA-ALL.ps1"
"2026-06-11T11:51:58.339+08:00","Round2","VIA","VALIDATION","FINAL_AST","Final Target AST","OK_PARSE","LOW","SEQUENTIAL_REQUIRED","P0","TEST_ONLY","parse_errors","0","Final target parses cleanly.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\60_PowerShell_Entry_Internal\Invoke-VIA-ALL.ps1"
"2026-06-11T11:51:58.339+08:00","Round2","VIA","RISK","FINAL_EXEC_RISK","Final Forbidden Commands","OK_NONE_FOUND","LOW","SEQUENTIAL_REQUIRED","P0","TEST_ONLY","remaining","0","No forbidden executable command remains in target AST.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\60_PowerShell_Entry_Internal\Invoke-VIA-ALL.ps1"
"2026-06-11T11:51:58.342+08:00","Round3","VIA","USER_TEST","GATE","Activation User-Test Gate","OK_PLAN_CREATED","LOW","SEQUENTIAL_GATED","P0","PLAN_ONLY","status","ACTIVATION_USER_TEST_READY","Activation user-test gate created.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VIA_ACTIVATION_USERTEST_GATE_HOTFIX_v028651_20260611_115157"
"2026-06-11T11:51:58.378+08:00","Round3","VIA","CONSOLIDATE","HTML_REPORT","HTML UI Matrix Report","OK_CREATED","LOW","PARALLEL_SAFE","P0","REPORT_ONLY","html","created","HTML report created.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VIA_ACTIVATION_USERTEST_GATE_HOTFIX_v028651_20260611_115157\report\VIA_Hotfix_Report_v028651.html"
