"def_layer","def_test","def_status","def_risk","def_message","def_path"
"UPSTREAM","v0114M allow v0114N","PASS","LOW","Gate=READY_FOR_v0114N_FINAL_APPLY_PACKAGE_REVIEW_ONLY",""
"UPSTREAM","v0114M authorization YES","PASS","LOW","Authorization=YES",""
"UPSTREAM","v0114M validation fail zero","PASS","LOW","UpstreamFail=0",""
"UPSTREAM","execution disabled upstream","PASS","LOW","execution_enabled=false",""
"UPSTREAM","apply disabled upstream","PASS","LOW","apply_enabled=false",""
"COUNT","dryrun rows 19","PASS","LOW","DryrunRows=19",""
"COUNT","package review rows 19","PASS","LOW","PackageReviewRows=19",""
"PACKAGE_REVIEW","review-only action","PASS","LOW","BadActionRows=0",""
"PACKAGE_REVIEW","next script preview gate required","PASS","LOW","MissingNextGate=0",""
"PACKAGE_REVIEW","declared source paths exist","PASS","LOW","MissingSourceRows=0",""
"SAFETY","no unsafe flags in package review","PASS","LOW","UnsafeFlags=0",""
"SAFETY","source mutation false","PASS","LOW","source_mutation=false",""
"SAFETY","canonical merge false","PASS","LOW","canonical_merge=false",""
"SAFETY","db write false","PASS","LOW","db_write=false",""
"APPLY_BOUNDARY","disabled apply boundary AST clean","PASS","LOW","AST clean","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VDF\_integration_v0114N_final_apply_package_review_only\RUN_20260623_005019_VIA_v0114N_FINAL_APPLY_PACKAGE_REVIEW_ONLY\_final_apply_package_review_only\Invoke-VIA-v0114N-DISABLED-ApplyBoundary.ps1"
