"Time","Round","Stage","Name","Status","Risk","Metric","Value","Message","Path"
"2026-06-11T21:48:55.912+08:00","Round0","POLICY","No DB Write","OK_POLICY_LOCKED","LOW","db_write","false","No production DB write.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics"
"2026-06-11T21:48:55.912+08:00","Round0","POLICY","No Source Repair","OK_POLICY_LOCKED","LOW","source_repair","false","No VDF / VRN source repair.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics"
"2026-06-11T21:48:55.913+08:00","Round0","POLICY","No Extraction","OK_POLICY_LOCKED","LOW","extraction","false","No VRN extraction and no VDF canonical merge.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VIA_DAILY_HEALTH_MINIMAL_STABLE_v028753_20260611_214855"
"2026-06-11T21:48:55.913+08:00","Round0","POLICY","No Stop-Process","OK_POLICY_LOCKED","LOW","stop_process","false","No process kill.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VIA_DAILY_HEALTH_MINIMAL_STABLE_v028753_20260611_214855"
"2026-06-11T21:48:55.978+08:00","Round0","ANCHOR","Latest v02874 Smoke","OK_VERIFIED","LOW","smoke_ok","6","Six read-only lanes are already verified.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VIA_READONLY_LANE_EXECUTION_SMOKE_TEST_v02874_20260611_211312\runtime\VIA_ReadOnlyLaneSmoke_Runtime_v02874.json"
"2026-06-11T21:48:55.983+08:00","Round1","BACKUP","Daily Script Backup","OK_BACKED_UP","LOW","backup","true","Daily script backed up.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VIA_DAILY_HEALTH_MINIMAL_STABLE_v028753_20260611_214855\backup"
"2026-06-11T21:48:55.986+08:00","Round1","BACKUP","Manual Launcher Backup","OK_BACKED_UP","LOW","backup","true","Manual launcher backed up.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VIA_DAILY_HEALTH_MINIMAL_STABLE_v028753_20260611_214855\backup"
"2026-06-11T21:48:55.989+08:00","Round1","SCRIPT","Minimal Daily Health","PATCHED_PARSE_CLEAN","LOW","parse_fail","0","Minimal stable daily script parse clean.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\tools\VIA_DualProjectDailyHealth\Invoke-VIA-DualProjectDailyHealth.ps1"
"2026-06-11T21:48:55.995+08:00","Round1","LAUNCHER","Manual Launcher","PATCHED_PARSE_CLEAN","LOW","parse_fail","0","Manual launcher parse clean.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\tools\VIA_DualProjectDailyHealth\Start-VIA-DualProjectDailyHealth.ps1"
"2026-06-11T21:48:56.059+08:00","Round2","DIAG","Previous STDERR","OK_CAPTURED","LOW","bytes","530","Previous stderr captured for diagnosis.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VIA_DAILY_HEALTH_MINIMAL_STABLE_v028753_20260611_214855\runtime\previous_v028752_stderr.txt"
"2026-06-11T21:48:56.837+08:00","Round2","SMOKE","Minimal Daily Health","WARN_SMOKE_NONZERO_EXIT","MEDIUM","exit","1","Minimal daily health nonzero; stderr captured.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VIA_DAILY_HEALTH_MINIMAL_STABLE_v028753_20260611_214855\runtime\daily_health_minimal_smoke.stderr.txt"
"2026-06-11T21:48:57.533+08:00","Round2","SCHEDULER","Windows Task","OK_VERIFIED","LOW","state","Ready","Scheduled task exists.","VIA Dual Project Daily Health"
"2026-06-11T21:48:57.541+08:00","Round2","SHORTCUT","Desktop Shortcut","OK_CREATED","LOW","shortcut","true","Desktop shortcut refreshed.","C:\Users\tonyk\OneDrive\Desktop\VIA Dual Project Daily Health.lnk"
"2026-06-11T21:48:57.553+08:00","Round3","FINAL","Decision","DUAL_PROJECT_DAILY_HEALTH_READY_WITH_SMOKE_REVIEW","MEDIUM","hard_blocks","0","Final minimal stable daily health decision.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VIA_DAILY_HEALTH_MINIMAL_STABLE_v028753_20260611_214855"
