"def_category","def_file","def_source_path","def_staged_path","def_exists","def_status","def_size_bytes","def_modified_time","def_sha12","def_message"
"supportive_modules","Invoke-VIA-SafePolyglotOptimizer.ps1","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\Invoke-VIA-SafePolyglotOptimizer.ps1","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VDF\_vdf_integration_firststep_panorama\runs\RUN_20260619_214915_VIA_INTEGRATION_FIRSTSTEP_PANORAMA_v0105\_used_tools\supportive_modules\Invoke-VIA-SafePolyglotOptimizer.ps1","True","COPIED_READONLY_SOURCE","524","2026-06-18T15:43:02","1cc6ffe64372","Copied to run-isolated used tools folder."
"supportive_modules","Invoke-VIA-SafePolyglotOptimizer-AIO-v0102.ps1","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\Invoke-VIA-SafePolyglotOptimizer-AIO-v0102.ps1","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VDF\_vdf_integration_firststep_panorama\runs\RUN_20260619_214915_VIA_INTEGRATION_FIRSTSTEP_PANORAMA_v0105\_used_tools\supportive_modules\Invoke-VIA-SafePolyglotOptimizer-AIO-v0102.ps1","True","COPIED_READONLY_SOURCE","55970","2026-06-18T15:35:33","9b31dc0b6600","Copied to run-isolated used tools folder."
"supportive_modules","VIA_SafePolyglotOptimizer_v0102_README.md","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\VIA_SafePolyglotOptimizer_v0102_README.md","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VDF\_vdf_integration_firststep_panorama\runs\RUN_20260619_214915_VIA_INTEGRATION_FIRSTSTEP_PANORAMA_v0105\_used_tools\supportive_modules\VIA_SafePolyglotOptimizer_v0102_README.md","True","COPIED_READONLY_SOURCE","2023","2026-06-18T15:35:33","5d32588c39e0","Copied to run-isolated used tools folder."
"supportive_modules","VIA_SafePolyglotOptimizer_v0102_StaticValidation.json","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\VIA_SafePolyglotOptimizer_v0102_StaticValidation.json","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VDF\_vdf_integration_firststep_panorama\runs\RUN_20260619_214915_VIA_INTEGRATION_FIRSTSTEP_PANORAMA_v0105\_used_tools\supportive_modules\VIA_SafePolyglotOptimizer_v0102_StaticValidation.json","True","COPIED_READONLY_SOURCE","864","2026-06-18T15:35:34","883ea4839251","Copied to run-isolated used tools folder."
"functional_modules","UnifiedSpec.json","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\UnifiedSpec.json","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VDF\_vdf_integration_firststep_panorama\runs\RUN_20260619_214915_VIA_INTEGRATION_FIRSTSTEP_PANORAMA_v0105\_used_tools\functional_modules\UnifiedSpec.json","True","COPIED_READONLY_SOURCE","2577","2026-06-18T00:12:32","7e4af491c670","Copied to run-isolated used tools folder."
"functional_modules","Invoke-VeritasCodexNexus.ps1","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\Invoke-VeritasCodexNexus.ps1","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VDF\_vdf_integration_firststep_panorama\runs\RUN_20260619_214915_VIA_INTEGRATION_FIRSTSTEP_PANORAMA_v0105\_used_tools\functional_modules\Invoke-VeritasCodexNexus.ps1","True","COPIED_READONLY_SOURCE","8486","2026-06-18T00:13:08","c55d4bba4e39","Copied to run-isolated used tools folder."
"functional_modules","GovernanceRegistry.json","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\GovernanceRegistry.json","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VDF\_vdf_integration_firststep_panorama\runs\RUN_20260619_214915_VIA_INTEGRATION_FIRSTSTEP_PANORAMA_v0105\_used_tools\functional_modules\GovernanceRegistry.json","True","COPIED_READONLY_SOURCE","2348","2026-06-18T00:12:55","ea1b75bcf3d2","Copied to run-isolated used tools folder."
"functional_modules","LayoutRegistry.json","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\LayoutRegistry.json","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VDF\_vdf_integration_firststep_panorama\runs\RUN_20260619_214915_VIA_INTEGRATION_FIRSTSTEP_PANORAMA_v0105\_used_tools\functional_modules\LayoutRegistry.json","True","COPIED_READONLY_SOURCE","2520","2026-06-18T00:12:50","aa5625e15de9","Copied to run-isolated used tools folder."
"functional_modules","VisualRegistry.json","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VisualRegistry.json","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VDF\_vdf_integration_firststep_panorama\runs\RUN_20260619_214915_VIA_INTEGRATION_FIRSTSTEP_PANORAMA_v0105\_used_tools\functional_modules\VisualRegistry.json","True","COPIED_READONLY_SOURCE","5366","2026-06-18T00:12:48","6ca548d9ac87","Copied to run-isolated used tools folder."
"firststep_commands","Invoke-VIA-MultiProject-PanoramaSync-AIO-v041-HistoryLensHotfix.ps1","C:\Users\tonyk\Downloads\Invoke-VIA-MultiProject-PanoramaSync-AIO-v041-HistoryLensHotfix.ps1","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VDF\_vdf_integration_firststep_panorama\runs\RUN_20260619_214915_VIA_INTEGRATION_FIRSTSTEP_PANORAMA_v0105\_used_tools\firststep_commands\Invoke-VIA-MultiProject-PanoramaSync-AIO-v041-HistoryLensHotfix.ps1","True","COPIED_READONLY_SOURCE","59562","2026-06-17T01:36:35","e56a292ef070","Copied to run-isolated used tools folder."
