"Time","System","Layer","Name","Status","Risk","Metric","Value","Message","Path"
"2026-06-15T12:03:39.111+08:00","VIA","POLICY","No DB Write","OK_POLICY_LOCKED","LOW","db_write","false","Read-only consolidator.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VIA_DUAL_SYSTEM_PROGRESS_CONSOLIDATOR_v029DUAL0D_20260615_120339"
"2026-06-15T12:03:39.113+08:00","VIA","POLICY","No Source Repair","OK_POLICY_LOCKED","LOW","source_repair","false","No source modification.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VIA_DUAL_SYSTEM_PROGRESS_CONSOLIDATOR_v029DUAL0D_20260615_120339"
"2026-06-15T12:03:39.114+08:00","VIA","POLICY","No Stop-Process","OK_POLICY_LOCKED","LOW","stop_process","false","No process kill.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VIA_DUAL_SYSTEM_PROGRESS_CONSOLIDATOR_v029DUAL0D_20260615_120339"
"2026-06-15T12:03:39.115+08:00","VIA","POLICY","No Rerun","OK_POLICY_LOCKED","LOW","rerun","false","Only read latest records.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VIA_DUAL_SYSTEM_PROGRESS_CONSOLIDATOR_v029DUAL0D_20260615_120339"
"2026-06-15T12:03:39.873+08:00","VRN","1C_RUNTIME","Stage Runtime","OK_FOUND","MEDIUM","status","STAGING_RUNTIME_FOUND_NOT_GATE_FINAL","Python staging runtime found, but PS gate final runtime not yet found.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VRN_ALL_TURBO_QUALIFIED_STAGING_EXTRACTION_v029VRN1C_20260615_115316\runtime\VRN_StagingExtraction_Runtime_v029VRN1C.json"
"2026-06-15T12:03:40.801+08:00","VRN","STAGE_OUTPUT","BasicInfo Stage","OK_FOUND","LOW","lines_sampled","401","Stage output found.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VRN_ALL_TURBO_QUALIFIED_STAGING_EXTRACTION_v029VRN1C_20260615_115316\stage\VRN_ReportBasicInfo_Stage_v029VRN1C.csv"
"2026-06-15T12:03:42.749+08:00","VRN","STAGE_OUTPUT","ReportText Stage","OK_FOUND","LOW","lines_sampled","100000","Stage output found.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VRN_ALL_TURBO_QUALIFIED_STAGING_EXTRACTION_v029VRN1C_20260615_115316\stage\VRN_ReportText_Stage_v029VRN1C.csv"
"2026-06-15T12:03:42.825+08:00","VRN","STAGE_OUTPUT","FileRegistry Stage","OK_FOUND","LOW","lines_sampled","401","Stage output found.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VRN_ALL_TURBO_QUALIFIED_STAGING_EXTRACTION_v029VRN1C_20260615_115316\stage\VRN_FileRegistry_Stage_v029VRN1C.csv"
"2026-06-15T12:03:42.831+08:00","VRN","STAGE_OUTPUT","ExceptionQueue Stage","OK_FOUND","LOW","lines_sampled","50","Stage output found.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VRN_ALL_TURBO_QUALIFIED_STAGING_EXTRACTION_v029VRN1C_20260615_115316\stage\VRN_ExceptionQueue_Stage_v029VRN1C.csv"
"2026-06-15T12:03:43.580+08:00","VDF","RUNTIME","VIA_DailyHealthNonThrowingMonitor_Runtime_v028754.json","OK_FOUND","LOW","status","DUAL_PROJECT_DAILY_HEALTH_READY","VDF related runtime found.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VIA_DAILY_HEALTH_NONTHROWING_MONITOR_v028754_20260611_225535\runtime\VIA_DailyHealthNonThrowingMonitor_Runtime_v028754.json"
"2026-06-15T12:05:05.083+08:00","VDF","DATA","DuckDB Inventory","OK_FOUND","LOW","files","14","DuckDB/DB files visible by read-only scan.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics"
"2026-06-15T12:05:05.084+08:00","VDF","DATA","Parquet Inventory","OK_FOUND","LOW","files","50","Parquet files visible by read-only scan.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics"
"2026-06-15T12:05:05.104+08:00","VIA","FINAL","Dual System Consolidation","DUAL_SYSTEM_PROGRESS_CONSOLIDATED_READY","LOW","hard_blocks","0","Final consolidated decision.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VIA_DUAL_SYSTEM_PROGRESS_CONSOLIDATOR_v029DUAL0D_20260615_120339"
