"def_project","def_engine_file","def_file_role","def_engine_param_count","def_total_param_count","def_path"
"VIA","activate_via.py","SOURCE","5","22","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\activate_via.py"
"VIA","DecisionStudio_Registry.html","REGISTRY","106","184","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\DecisionStudio_Registry.html"
"VIA","engine (1).py","ENGINE_MODULE","85","550","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\engine (1).py"
"VIA","engine (2).py","ENGINE_MODULE","85","550","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\engine (2).py"
"VIA","engine_data (1).json","ENGINE_MODULE","0","364","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\engine_data (1).json"
"VIA","engine_data (2).json","ENGINE_MODULE","0","364","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\engine_data (2).json"
"VIA","engine_data.json","ENGINE_MODULE","0","364","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\engine_data.json"
"VIA","engine.py","ENGINE_MODULE","85","550","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\engine.py"
"VIA","Invoke-ParamManager (1).ps1","SOURCE","4","28","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\Invoke-ParamManager (1).ps1"
"VIA","Invoke-ParamManager.ps1","SOURCE","4","28","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\Invoke-ParamManager.ps1"
"VIA","Invoke-ParamPanel.ps1","SOURCE","5","24","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\Invoke-ParamPanel.ps1"
"VIA","Invoke-VeritasCodexNexus.ps1","SOURCE","5","69","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\Invoke-VeritasCodexNexus.ps1"
"VIA","Invoke-VIA-UltimateEngineForge-AIO-v060.ps1","ENGINE_MODULE","58","541","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\Invoke-VIA-UltimateEngineForge-AIO-v060.ps1"
"VIA","Invoke-VIA-UltimateEngineForge-AIO-v061-BoolParamHotfix.ps1","ENGINE_MODULE","59","552","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\Invoke-VIA-UltimateEngineForge-AIO-v061-BoolParamHotfix.ps1"
"VIA","Invoke-VIA-UltimateEngineForge-AIO-v062-NullSafeStepSafe.ps1","ENGINE_MODULE","62","553","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\Invoke-VIA-UltimateEngineForge-AIO-v062-NullSafeStepSafe.ps1"
"VIA","Invoke-VIA-UltimateEngineForge-AIO-v063-10xCrossNoHangProgress.ps1","ENGINE_MODULE","59","540","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\Invoke-VIA-UltimateEngineForge-AIO-v063-10xCrossNoHangProgress.ps1"
"VIA","Invoke-VIA.ps1","SOURCE","1","9","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\Invoke-VIA.ps1"
"VIA","test_via_system (1).py","TEST_VALIDATION","20","81","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\test_via_system (1).py"
"VIA","test_via_system.py","TEST_VALIDATION","20","81","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\test_via_system.py"
"VIA","VIA_DataTransformEngine (1).py","ENGINE_MODULE","50","227","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\VIA_DataTransformEngine (1).py"
"VIA","VIA_DataTransformEngine (2).py","ENGINE_MODULE","50","227","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\VIA_DataTransformEngine (2).py"
"VIA","via_param_manager (1).py","SOURCE","33","163","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\via_param_manager (1).py"
"VIA","via_param_manager.py","SOURCE","31","116","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\via_param_manager.py"
"VIA","via-header.js","SOURCE","4","21","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\via-header.js"
"VDF","vdf_build_database_skeleton_v014.py","SOURCE","6","69","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_ACTIVE_READER_USERTEST_v014_20260609_215513\runtime\vdf_build_database_skeleton_v014.py"
"VDF","vdf_akshare_backup_rollback_staging_plan_hotfix_v02831.py","SOURCE","6","126","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_AKSHARE_BACKUP_ROLLBACK_STAGING_PLAN_HOTFIX_v02831_20260611_031152\runtime\vdf_akshare_backup_rollback_staging_plan_hotfix_v02831.py"
"VDF","VDF_AkShare_BackupRollbackStagingPlan_Hotfix_Transcript_v02831_20260611_031152.txt","SOURCE","22","494","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_AKSHARE_BACKUP_ROLLBACK_STAGING_PLAN_HOTFIX_v02831_20260611_031152\runtime\VDF_AkShare_BackupRollbackStagingPlan_Hotfix_Transcript_v02831_20260611_031152.txt"
"VDF","vdf_akshare_backup_rollback_staging_plan_hotfix_v02832.py","SOURCE","6","120","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_AKSHARE_BACKUP_ROLLBACK_STAGING_PLAN_HOTFIX_v02832_20260611_031541\runtime\vdf_akshare_backup_rollback_staging_plan_hotfix_v02832.py"
"VDF","vdf_akshare_backup_rollback_staging_plan_v0283.py","SOURCE","5","118","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_AKSHARE_BACKUP_ROLLBACK_STAGING_PLAN_v0283_20260611_024903\runtime\vdf_akshare_backup_rollback_staging_plan_v0283.py"
"VDF","VDF_AkShare_BackupRollbackStagingPlan_Transcript_v0283_20260611_024903.txt","SOURCE","32","523","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_AKSHARE_BACKUP_ROLLBACK_STAGING_PLAN_v0283_20260611_024903\runtime\VDF_AkShare_BackupRollbackStagingPlan_Transcript_v0283_20260611_024903.txt"
"VDF","vdf_akshare_candidate_to_canonical_dryrun_v0278.py","SOURCE","6","89","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_AKSHARE_CANDIDATE_TO_CANONICAL_DRYRUN_v0278_20260610_220705\runtime\vdf_akshare_candidate_to_canonical_dryrun_v0278.py"
"VDF","vdf_akshare_candidate_to_canonical_merge_gate_review_v0276.py","SOURCE","4","130","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_AKSHARE_CANDIDATE_TO_CANONICAL_MERGE_GATE_REVIEW_v0276_20260610_215641\runtime\vdf_akshare_candidate_to_canonical_merge_gate_review_v0276.py"
"VDF","vdf_akshare_canonical_key_repair_gate_v02781.py","SOURCE","11","98","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_AKSHARE_CANONICAL_KEY_REPAIR_GATE_v02781_20260610_221005\runtime\vdf_akshare_canonical_key_repair_gate_v02781.py"
"VDF","vdf_akshare_canonical_mapping_gate_v0277.py","SOURCE","11","136","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_AKSHARE_CANONICAL_MAPPING_GATE_v0277_20260610_220358\runtime\vdf_akshare_canonical_mapping_gate_v0277.py"
"VDF","vdf_akshare_collision_resolver_gate_v027841.py","SOURCE","5","84","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_AKSHARE_COLLISION_RESOLVER_GATE_v027841_20260611_013435\runtime\vdf_akshare_collision_resolver_gate_v027841.py"
"VDF","vdf_akshare_dedup_invalid_quarantine_gate_v02783.py","SOURCE","5","96","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_AKSHARE_DEDUP_INVALID_QUARANTINE_GATE_v02783_20260611_012926\runtime\vdf_akshare_dedup_invalid_quarantine_gate_v02783.py"
"VDF","vdf_akshare_duplicate_repair_review_gate_v027842.py","SOURCE","6","84","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_AKSHARE_DUPLICATE_REPAIR_REVIEW_GATE_v027842_20260611_013908\runtime\vdf_akshare_duplicate_repair_review_gate_v027842.py"
"VDF","vdf_akshare_execution_readiness_review_v0279.py","SOURCE","6","89","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_AKSHARE_EXECUTION_READINESS_REVIEW_v0279_20260611_020210\runtime\vdf_akshare_execution_readiness_review_v0279.py"
"VDF","vdf_akshare_freeze_seal_review_v0280.py","LOCK_REGISTRY","6","81","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_AKSHARE_FREEZE_SEAL_REVIEW_v0280_20260611_020645\runtime\vdf_akshare_freeze_seal_review_v0280.py"
"VDF","VDF_AkShare_GeneratedScriptReview_Transcript_v0285_20260611_100744.txt","SOURCE","29","519","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_AKSHARE_GENERATED_SCRIPT_REVIEW_v0285_20260611_100744\runtime\VDF_AkShare_GeneratedScriptReview_Transcript_v0285_20260611_100744.txt"
"VDF","vdf_akshare_invalid_mapping_repair_gate_v02784.py","SOURCE","9","122","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_AKSHARE_INVALID_MAPPING_REPAIR_GATE_v02784_20260611_013222\runtime\vdf_akshare_invalid_mapping_repair_gate_v02784.py"
"VDF","vdf_akshare_key_repair_rootcause_smart_remap_v027811.py","SOURCE","13","123","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_AKSHARE_KEY_REPAIR_ROOTCAUSE_SMART_REMAP_v027811_20260610_221501\runtime\vdf_akshare_key_repair_rootcause_smart_remap_v027811.py"
"VDF","vdf_akshare_narrow_source_contract_dryrun_hotfix_v027821.py","SOURCE","12","184","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_AKSHARE_NARROW_SOURCE_CONTRACT_DRYRUN_HOTFIX_v027821_20260611_002618\runtime\vdf_akshare_narrow_source_contract_dryrun_hotfix_v027821.py"
"VDF","vdf_akshare_narrow_source_contract_dryrun_v02782.py","SOURCE","12","180","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_AKSHARE_NARROW_SOURCE_CONTRACT_DRYRUN_v02782_20260611_002315\runtime\vdf_akshare_narrow_source_contract_dryrun_v02782.py"
