"def_layer","def_test","def_status","def_risk","def_message","def_path"
"UPSTREAM","v0114N allow v0114O","PASS","LOW","Gate=READY_FOR_v0114O_FINAL_APPLY_SCRIPT_PREVIEW_ONLY",""
"UPSTREAM","v0114N validation fail zero","PASS","LOW","UpstreamFail=0",""
"UPSTREAM","execution disabled upstream","PASS","LOW","execution_enabled=false",""
"UPSTREAM","apply disabled upstream","PASS","LOW","apply_enabled=false",""
"COUNT","package review rows 19","PASS","LOW","PackageReviewRows=19",""
"COUNT","script preview rows 19","PASS","LOW","ScriptPreviewRows=19",""
"SCRIPT_PREVIEW","preview only statements","PASS","LOW","BadPreviewRows=0",""
"SCRIPT_PREVIEW","next preview validation gate required","PASS","LOW","MissingNextGate=0",""
"SCRIPT_PREVIEW","declared source paths exist","PASS","LOW","MissingSourceRows=0",""
"SAFETY","no unsafe flags in script preview rows","PASS","LOW","UnsafeFlags=0",""
"SAFETY","source mutation false","PASS","LOW","source_mutation=false",""
"SAFETY","canonical merge false","PASS","LOW","canonical_merge=false",""
"SAFETY","db write false","PASS","LOW","db_write=false",""
"SCRIPT_PREVIEW","preview script AST clean","PASS","LOW","AST clean","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VDF\_integration_v0114O_final_apply_script_preview_only\RUN_20260623_005334_VIA_v0114O_FINAL_APPLY_SCRIPT_PREVIEW_ONLY\_final_apply_script_preview_only\Invoke-VIA-v0114O-FINAL-APPLY-SCRIPT-PREVIEW-ONLY-DISABLED.ps1"
"SCRIPT_PREVIEW","preview script no dangerous command","PASS","LOW","No dangerous command pattern detected.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VDF\_integration_v0114O_final_apply_script_preview_only\RUN_20260623_005334_VIA_v0114O_FINAL_APPLY_SCRIPT_PREVIEW_ONLY\_final_apply_script_preview_only\Invoke-VIA-v0114O-FINAL-APPLY-SCRIPT-PREVIEW-ONLY-DISABLED.ps1"
