"def_layer","def_test","def_status","def_risk","def_message","def_path"
"UPSTREAM","v0114P allow v0114Q","PASS","LOW","Gate=READY_FOR_v0114Q_FINAL_SCRIPT_SEAL_ONLY",""
"UPSTREAM","v0114P validation fail zero","PASS","LOW","UpstreamFail=0",""
"UPSTREAM","execution disabled upstream","PASS","LOW","execution_enabled=false",""
"UPSTREAM","apply disabled upstream","PASS","LOW","apply_enabled=false",""
"COUNT","preview validation rows 19","PASS","LOW","PreviewValidationRows=19",""
"COUNT","script seal rows 19","PASS","LOW","SealRows=19",""
"SEAL","seal-only action","PASS","LOW","BadSealRows=0",""
"SEAL","next release review gate required","PASS","LOW","MissingNextGate=0",""
"HASH","hash ledger all declared items exist","PASS","LOW","MissingHashItems=0",""
"HASH","hash ledger non-directory hashes present","PASS","LOW","MissingHash=0",""
"SAFETY","no unsafe seal rows","PASS","LOW","UnsafeSealRows=0",""
"SAFETY","source mutation false","PASS","LOW","source_mutation=false",""
"SAFETY","canonical merge false","PASS","LOW","canonical_merge=false",""
"SAFETY","db write false","PASS","LOW","db_write=false",""
"SCRIPT_FILE","sealed preview script AST clean","PASS","LOW","AST clean","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VDF\_integration_v0114O_final_apply_script_preview_only\RUN_20260623_005334_VIA_v0114O_FINAL_APPLY_SCRIPT_PREVIEW_ONLY\_final_apply_script_preview_only\Invoke-VIA-v0114O-FINAL-APPLY-SCRIPT-PREVIEW-ONLY-DISABLED.ps1"
"SCRIPT_FILE","sealed preview script no dangerous command","PASS","LOW","No dangerous command pattern detected.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VDF\_integration_v0114O_final_apply_script_preview_only\RUN_20260623_005334_VIA_v0114O_FINAL_APPLY_SCRIPT_PREVIEW_ONLY\_final_apply_script_preview_only\Invoke-VIA-v0114O-FINAL-APPLY-SCRIPT-PREVIEW-ONLY-DISABLED.ps1"
"APPLY_BOUNDARY","disabled boundary AST clean","PASS","LOW","AST clean","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VDF\_integration_v0114Q_final_script_seal_only\RUN_20260623_011449_VIA_v0114Q_FINAL_SCRIPT_SEAL_ONLY\_final_script_seal_only\Invoke-VIA-v0114Q-DISABLED-FinalScriptSealBoundary.ps1"
