"def_layer","def_test","def_status","def_risk","def_message","def_path"
"UPSTREAM","v0114I allow v0114J","PASS","LOW","Gate=READY_FOR_v0114J_EXPLICIT_FINAL_USER_APPROVAL_GATE_ONLY",""
"UPSTREAM","v0114I validation fail zero","PASS","LOW","UpstreamFail=0",""
"PLAN","apply plan rows 19","PASS","LOW","PlanRows=19",""
"PLAN","no real apply action in v0114I plan","PASS","LOW","RealApplyRows=0",""
"SAFETY","no unsafe flags in plan","PASS","LOW","UnsafeRows=0",""
"NOSTALL","no Read-Host in v0114J","PASS","LOW","Approval is parameter-only; no blocking prompt.",""
"USER_APPROVAL","explicit final approval phrase matched","FAIL","HIGH","ApprovalResult=BLOCKED_EXPLICIT_APPROVAL_REQUIRED",""
"SAFETY","apply disabled in v0114J","PASS","LOW","apply_enabled=false",""
"SAFETY","source mutation false","PASS","LOW","source_mutation=false",""
"SAFETY","canonical merge false","PASS","LOW","canonical_merge=false",""
"SAFETY","db write false","PASS","LOW","db_write=false",""
