"Time","Round","Layer","Name","Status","Risk","Action","Metric","Value","Message","Path","Sha256"
"2026-06-09 03:55:11","Round0","UNIFIED_INPUT_SSOT","VIA_UnifiedInput_SSOT.json","OK","LOW","READY","load","ok","Unified input SSOT loaded.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\VIA_UnifiedInput_SSOT.json","af00671291fc9037eb95115e313b91c594060d09f64ef6535329a7c996ff434e"
"2026-06-09 03:55:11","Round1","STABLE_GATEWAY","Invoke-VIA-ActivationGateway-Stable.ps1","OK","LOW","ADD_ONLY_WRITE","write","complete","Stable gateway wrapper written.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\_activation\VIA_ACTIVATION_GATEWAY_V03_STABLE_HOTFIX_20260609_035508\gateway\Invoke-VIA-ActivationGateway-Stable.ps1","1d343b068773c8626e2b86135872c52434621d41b9411783cb936990d4ca84c3"
"2026-06-09 03:55:11","Round1","STABLE_GATEWAY_AST","Invoke-VIA-ActivationGateway-Stable.ps1","FAIL","HIGH","REVIEW_REQUIRED","ast_parse","1","The assignment expression is not valid. The input to an assignment operator must be an object that is able to accept assignments, such as a variable or a property.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\_activation\VIA_ACTIVATION_GATEWAY_V03_STABLE_HOTFIX_20260609_035508\gateway\Invoke-VIA-ActivationGateway-Stable.ps1","1d343b068773c8626e2b86135872c52434621d41b9411783cb936990d4ca84c3"
"2026-06-09 03:55:12","Round2","STABLE_GATEWAY_STATUS","Gateway status","FAIL","HIGH","REVIEW_REQUIRED","status","not_ready","Stable gateway did not print READY. Review stdout/stderr.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\_activation\VIA_ACTIVATION_GATEWAY_V03_STABLE_HOTFIX_20260609_035508\gateway\Invoke-VIA-ActivationGateway-Stable.ps1","1d343b068773c8626e2b86135872c52434621d41b9411783cb936990d4ca84c3"
"2026-06-09 03:55:12","Round2","STABLE_GATEWAY_STDERR","stderr","WARN","MEDIUM","OPTIONAL_REVIEW","stderr_length","850","stderr has content.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\_activation\VIA_ACTIVATION_GATEWAY_V03_STABLE_HOTFIX_20260609_035508\logs\StableGateway_stderr.txt","4073c3e6ddffe267526cc36fca03a764dfc8cd1da9c60fe12b17c2881fb7eebc"
"2026-06-09 03:55:12","Round3","CORE_STILL_READY","Invoke-VeritasNexusCore.ps1","OK","LOW","READY","exists_non_empty","2911","File exists and is non-empty.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\Invoke-VeritasNexusCore.ps1","d8741599a121f33a31a57c372ba86aa328d74f1c9be5817aeb7682c1fffc267c"
"2026-06-09 03:55:12","Round3","CORE_STILL_READY","VDF Root","OK","LOW","READY","directory","exists","Directory exists.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VDF",""
"2026-06-09 03:55:12","Round3","CORE_STILL_READY","VRN SSOT Root","OK","LOW","READY","directory","exists","Directory exists.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VRN\_ssot",""
"2026-06-09 03:55:12","Round3","CORE_STILL_READY","VDF_NexusCore_ModuleRegistry.json","OK","LOW","READY","exists_non_empty","9870","File exists and is non-empty.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\_nexus_registry\VDF_NexusCore_ModuleRegistry.json","47d9a19a11091517efc576d9dd113f7f4e1b463ca7d0ca57e35490707eeda4bf"
"2026-06-09 03:55:12","Round3","CORE_STILL_READY","VDF_NexusCore_ModuleRegistry.json","OK","LOW","READY","json_parse","ok","JSON parse OK.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\_nexus_registry\VDF_NexusCore_ModuleRegistry.json","47d9a19a11091517efc576d9dd113f7f4e1b463ca7d0ca57e35490707eeda4bf"
