"Round","Severity","RiskRank","FixMode","Category","Target","Issue","RecommendedAction","HydraRisk","CreatedAt"
"1","INFO","4","FINALIZE","MASTER_COCKPIT","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\COCKPIT\VAP_Master_Cockpit.html","Master cockpit exists","PASS_MASTER_EXISTS","LOW","2026-06-09T13:37:49+08:00"
"1","INFO","4","FINALIZE","REPORT_COPY","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\REPORT\RUN_20260609_133734_VAP_MASTER_HOTFIX\VAP_Master_Cockpit_Hotfix_ReportCopy_Verify.html","Report copy exists after hotfix","PASS_REPORT_COPY","LOW","2026-06-09T13:37:49+08:00"
"1","INFO","4","FINALIZE","ACTIVE_ENTRY","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\Invoke-VAP.ps1","Invoke-VAP.ps1 exists","PASS_ACTIVE_ENTRY","LOW","2026-06-09T13:37:49+08:00"
"1","INFO","4","PARALLEL","PROJECT_REGISTRY","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\DATABASE\VAP_Project_Link_Registry.json","Project registry exists","PASS_PROJECT_REGISTRY","LOW","2026-06-09T13:37:49+08:00"
"1","INFO","4","PARALLEL","VETF_LINK","C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\supportive_module\_dict\active_etf","VETF root auto-linked","PASS_VETF_AUTO_LINK","LOW","2026-06-09T13:37:49+08:00"
"2","INFO","4","FINALIZE","MASTER_COCKPIT","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\COCKPIT\VAP_Master_Cockpit.html","Master cockpit exists","PASS_MASTER_EXISTS","LOW","2026-06-09T13:37:49+08:00"
"2","INFO","4","FINALIZE","REPORT_COPY","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\REPORT\RUN_20260609_133734_VAP_MASTER_HOTFIX\VAP_Master_Cockpit_Hotfix_ReportCopy_Verify.html","Report copy exists after hotfix","PASS_REPORT_COPY","LOW","2026-06-09T13:37:49+08:00"
"2","INFO","4","FINALIZE","ACTIVE_ENTRY","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\Invoke-VAP.ps1","Invoke-VAP.ps1 exists","PASS_ACTIVE_ENTRY","LOW","2026-06-09T13:37:49+08:00"
"2","INFO","4","PARALLEL","PROJECT_REGISTRY","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\DATABASE\VAP_Project_Link_Registry.json","Project registry exists","PASS_PROJECT_REGISTRY","LOW","2026-06-09T13:37:49+08:00"
"2","INFO","4","PARALLEL","VETF_LINK","C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\supportive_module\_dict\active_etf","VETF root auto-linked","PASS_VETF_AUTO_LINK","LOW","2026-06-09T13:37:49+08:00"
"3","INFO","4","FINALIZE","MASTER_COCKPIT","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\COCKPIT\VAP_Master_Cockpit.html","Master cockpit exists","PASS_MASTER_EXISTS","LOW","2026-06-09T13:37:49+08:00"
"3","INFO","4","FINALIZE","REPORT_COPY","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\REPORT\RUN_20260609_133734_VAP_MASTER_HOTFIX\VAP_Master_Cockpit_Hotfix_ReportCopy_Verify.html","Report copy exists after hotfix","PASS_REPORT_COPY","LOW","2026-06-09T13:37:49+08:00"
"3","INFO","4","FINALIZE","ACTIVE_ENTRY","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\Invoke-VAP.ps1","Invoke-VAP.ps1 exists","PASS_ACTIVE_ENTRY","LOW","2026-06-09T13:37:49+08:00"
"3","INFO","4","PARALLEL","PROJECT_REGISTRY","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\DATABASE\VAP_Project_Link_Registry.json","Project registry exists","PASS_PROJECT_REGISTRY","LOW","2026-06-09T13:37:49+08:00"
"3","INFO","4","PARALLEL","VETF_LINK","C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\supportive_module\_dict\active_etf","VETF root auto-linked","PASS_VETF_AUTO_LINK","LOW","2026-06-09T13:37:49+08:00"
