"def_layer","def_test","def_status","def_risk","def_message","def_path"
"UPSTREAM","v0114H allow v0114I","PASS","LOW","Gate=READY_FOR_v0114I_FINAL_APPLY_PLAN_DRAFT_ONLY",""
"UPSTREAM","v0114H validation fail zero","PASS","LOW","UpstreamFail=0",""
"UPSTREAM","final apply accept still blank","PASS","LOW","Final apply not pre-approved.",""
"PACKAGE","package index rows","PASS","LOW","PackageItems=18",""
"PLAN","apply plan rows","PASS","LOW","PlanRows=19",""
"PLAN","no real apply action in draft","PASS","LOW","RealApplyActionRows=0",""
"PLAN","future gate required on all rows","PASS","LOW","FutureGateMissing=0",""
"COUNT","policy candidate rows","PASS","LOW","Policy=12",""
"COUNT","alias candidate rows","PASS","LOW","Alias=5",""
"COUNT","row patch rows","PASS","LOW","Rows=149",""
"SAFETY","no unsafe flags in plan","PASS","LOW","UnsafeFlags=0",""
"SAFETY","MACRO_CHINA excluded","PASS","LOW","MACRO_CHINA rows=0",""
"SECRET","no raw secret pattern in package","PASS","LOW","No raw secret pattern detected",""
"NOSTALL","no Read-Host in v0114I","PASS","LOW","No interactive input required.",""
