"RowNo","Scope","Category","OriginalStatus","IsBlocker","Priority","FixClass","RepairLane","ErrorType","FileExists","IsRuntimeArtifact","IsSourceFile","AnchorFound","Line","Column","FileSize","AnchorLineText","OriginalMessage","Context","Strategy","Path","RelativePath"
"1","VDF_Dict","JsonRecord","WARN","False","P3","PARALLEL_SAFE_REVIEW","PAR_RUNTIME_FALSE_POSITIVE","LargeTextSkipped","True","True","False","False","0","0","8.05 MB","","Large text-like file; heuristic skipped","SKIP_CONTEXT_RUNTIME_OR_NON_SOURCE","runtime/log/report/staging 紀錄檔，通常不修 source；只標記為 false-positive/review artifact。","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VIA_PANORAMA3ROUND_VDF_VRN_SCRIPT_REPAIR_v02851_20260611_104333\registry\VIA_Panorama_FileInventory_v02851.json","dict\VDF\_active\VIA_PANORAMA3ROUND_VDF_VRN_SCRIPT_REPAIR_v02851_20260611_104333\registry\VIA_Panorama_FileInventory_v02851.json"
"2","VDF_Dict","JsonRecord","WARN","False","P3","PARALLEL_SAFE_REVIEW","PAR_RUNTIME_FALSE_POSITIVE","LargeTextSkipped","True","True","False","False","0","0","5.11 MB","","Large text-like file; heuristic skipped","SKIP_CONTEXT_RUNTIME_OR_NON_SOURCE","runtime/log/report/staging 紀錄檔，通常不修 source；只標記為 false-positive/review artifact。","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_TPEX_SMALL_SCOPE_SEED_v021_20260609_232145\staging\VDF_TPEX_Raw_MainboardDailyCloseQuotes.raw.json","dict\VDF\_active\VDF_TPEX_SMALL_SCOPE_SEED_v021_20260609_232145\staging\VDF_TPEX_Raw_MainboardDailyCloseQuotes.raw.json"
"3","VDF_Dict","JsonRecord","WARN","False","P3","PARALLEL_SAFE_REVIEW","PAR_LARGE_TEXT_REVIEW","LargeTextSkipped","True","False","False","False","0","0","4.74 MB","","Large text-like file; heuristic skipped","SKIP_CONTEXT_RUNTIME_OR_NON_SOURCE","大文字檔跳過，不等於 blocker。","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\DATABASE\VDF_TPEX_Raw_MainboardDailyCloseQuotes.json","dict\VDF\DATABASE\VDF_TPEX_Raw_MainboardDailyCloseQuotes.json"
"4","VDF_Dict","JsonRecord","WARN","False","P3","PARALLEL_SAFE_REVIEW","PAR_RUNTIME_FALSE_POSITIVE","LargeTextSkipped","True","True","False","False","0","0","2.03 MB","","Large text-like file; heuristic skipped","SKIP_CONTEXT_RUNTIME_OR_NON_SOURCE","runtime/log/report/staging 紀錄檔，通常不修 source；只標記為 false-positive/review artifact。","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VIA_REMAINING_PROCESSES_SAFE_PARALLEL_STARTER_v029DUAL0B_20260615_102905\runtime\lanes\VRN-1_ModuleSupportiveConnectionMatrix.json","dict\VDF\_active\VIA_REMAINING_PROCESSES_SAFE_PARALLEL_STARTER_v029DUAL0B_20260615_102905\runtime\lanes\VRN-1_ModuleSupportiveConnectionMatrix.json"
"5","VDF_Dict","TextDocument","FAIL","False","P3","PARALLEL_SAFE_REVIEW","PAR_RUNTIME_FALSE_POSITIVE","RuntimeTextContainsConflictMarker","True","True","False","False","0","0","731.23 KB","","merge conflict marker","SKIP_CONTEXT_RUNTIME_OR_NON_SOURCE","runtime/log/report/staging 紀錄檔，通常不修 source；只標記為 false-positive/review artifact。","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_VRN_SYNC5_ORCHESTRATION_v0280_20260611_000806\runtime\VDF_VRN_Sync5_Transcript_v0280_20260611_000806.txt","dict\VDF\_active\VDF_VRN_SYNC5_ORCHESTRATION_v0280_20260611_000806\runtime\VDF_VRN_Sync5_Transcript_v0280_20260611_000806.txt"
"6","VDF_Dict","TextDocument","FAIL","False","P3","PARALLEL_SAFE_REVIEW","PAR_RUNTIME_FALSE_POSITIVE","RuntimeTextContainsConflictMarker","True","True","False","False","0","0","639.46 KB","","merge conflict marker","SKIP_CONTEXT_RUNTIME_OR_NON_SOURCE","runtime/log/report/staging 紀錄檔，通常不修 source；只標記為 false-positive/review artifact。","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_AKSHARE_RAW_COLUMN_PROFILE_CANONICAL_CONTRACT_v027812_20260611_001630\runtime\VDF_AkShare_RawColumnProfile_CanonicalContract_Transcript_v027812_20260611_001630.txt","dict\VDF\_active\VDF_AKSHARE_RAW_COLUMN_PROFILE_CANONICAL_CONTRACT_v027812_20260611_001630\runtime\VDF_AkShare_RawColumnProfile_CanonicalContract_Transcript_v027812_20260611_001630.txt"
"7","VDF_Dict","HtmlUIOrReport","FAIL","False","P3","PARALLEL_SAFE_REVIEW","PAR_RUNTIME_FALSE_POSITIVE","RuntimeTextContainsConflictMarker","True","True","False","False","0","0","305.74 KB","","merge conflict marker","SKIP_CONTEXT_RUNTIME_OR_NON_SOURCE","runtime/log/report/staging 紀錄檔，通常不修 source；只標記為 false-positive/review artifact。","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VIA_TEST_DEBUG_VDF_VRN_v02863_20260611_113944\report\VIA_TestDebug_VDF_VRN_Report_v02863.html","dict\VDF\_active\VIA_TEST_DEBUG_VDF_VRN_v02863_20260611_113944\report\VIA_TestDebug_VDF_VRN_Report_v02863.html"
"8","VDF_Dict","HtmlUIOrReport","FAIL","False","P3","PARALLEL_SAFE_REVIEW","PAR_RUNTIME_FALSE_POSITIVE","RuntimeTextContainsConflictMarker","True","True","False","False","0","0","252.67 KB","","merge conflict marker","SKIP_CONTEXT_RUNTIME_OR_NON_SOURCE","runtime/log/report/staging 紀錄檔，通常不修 source；只標記為 false-positive/review artifact。","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VIA_SUPPORTIVE_DOCKING_VDF_VRN_v02861_20260611_112018\report\VIA_SupportiveDocking_VDF_VRN_Report_v02861.html","dict\VDF\_active\VIA_SUPPORTIVE_DOCKING_VDF_VRN_v02861_20260611_112018\report\VIA_SupportiveDocking_VDF_VRN_Report_v02861.html"
"9","VDF_Dict","TextDocument","FAIL","False","P3","PARALLEL_SAFE_REVIEW","PAR_RUNTIME_FALSE_POSITIVE","RuntimeTextContainsConflictMarker","True","True","False","False","0","0","160.86 KB","","merge conflict marker","SKIP_CONTEXT_RUNTIME_OR_NON_SOURCE","runtime/log/report/staging 紀錄檔，通常不修 source；只標記為 false-positive/review artifact。","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_AKSHARE_BACKUP_ROLLBACK_STAGING_PLAN_v0283_20260611_024903\runtime\VDF_AkShare_BackupRollbackStagingPlan_Transcript_v0283_20260611_024903.txt","dict\VDF\_active\VDF_AKSHARE_BACKUP_ROLLBACK_STAGING_PLAN_v0283_20260611_024903\runtime\VDF_AkShare_BackupRollbackStagingPlan_Transcript_v0283_20260611_024903.txt"
"10","VDF_Dict","TextDocument","FAIL","False","P3","PARALLEL_SAFE_REVIEW","PAR_RUNTIME_FALSE_POSITIVE","RuntimeTextContainsConflictMarker","True","True","False","False","0","0","141.58 KB","","merge conflict marker","SKIP_CONTEXT_RUNTIME_OR_NON_SOURCE","runtime/log/report/staging 紀錄檔，通常不修 source；只標記為 false-positive/review artifact。","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_AKSHARE_GENERATED_SCRIPT_REVIEW_v0285_20260611_100744\runtime\VDF_AkShare_GeneratedScriptReview_Transcript_v0285_20260611_100744.txt","dict\VDF\_active\VDF_AKSHARE_GENERATED_SCRIPT_REVIEW_v0285_20260611_100744\runtime\VDF_AkShare_GeneratedScriptReview_Transcript_v0285_20260611_100744.txt"
