"def_project","def_flow_id","def_flow_name","def_scope","def_status","def_count","def_risk","def_parallel_policy","def_next_action"
"VDF","FLOW01","Inventory Panorama","Base 檔案全景盤點 / role / size / static metric","READY","6247","HIGH_REVIEW","READ_ONLY_PARALLEL_SAFE","保留來源，先只看矩陣，不直接修"
"VDF","FLOW02","Registry / SSOT Alignment","UnifiedSpec / Governance / Layout / Visual / module registry","READY","265","LOW","INDEPENDENT","每個子系統建立自己的 registry pointer，再由 VIA 統合"
"VDF","FLOW03","Engine / Entry Bridge","Engine modules + Invoke entry scripts + Supportive bridges","READY","339","LOW","BRIDGE_ONLY_NO_CHILD_RUN","先做 static bridge；child execution 預設鎖住"
"VDF","FLOW04","Sandbox Test / Debug / Optimize","test debug upgrade / optimize / consolidate / user-test","READY","177","HIGH_REVIEW_BEFORE_FIX","SANDBOX_ONLY","三輪：分析 → 分類 → 沙盒修正；不超過三輪"
"VDF","FLOW05","One UI / Report / Final Seal","HTML Matrix Report + Active Pointer + Closeout","READY","128","LOW","OUTPUT_ONLY","一頁式多矩陣報告，小字體、不卡版、同高卡片"
"VEF","FLOW01","Inventory Panorama","Base 檔案全景盤點 / role / size / static metric","READY","8769","HIGH_REVIEW","READ_ONLY_PARALLEL_SAFE","保留來源，先只看矩陣，不直接修"
"VEF","FLOW02","Registry / SSOT Alignment","UnifiedSpec / Governance / Layout / Visual / module registry","READY","1172","LOW","INDEPENDENT","每個子系統建立自己的 registry pointer，再由 VIA 統合"
"VEF","FLOW03","Engine / Entry Bridge","Engine modules + Invoke entry scripts + Supportive bridges","READY","354","LOW","BRIDGE_ONLY_NO_CHILD_RUN","先做 static bridge；child execution 預設鎖住"
"VEF","FLOW04","Sandbox Test / Debug / Optimize","test debug upgrade / optimize / consolidate / user-test","READY","260","HIGH_REVIEW_BEFORE_FIX","SANDBOX_ONLY","三輪：分析 → 分類 → 沙盒修正；不超過三輪"
"VEF","FLOW05","One UI / Report / Final Seal","HTML Matrix Report + Active Pointer + Closeout","READY","700","LOW","OUTPUT_ONLY","一頁式多矩陣報告，小字體、不卡版、同高卡片"
"VIA","FLOW01","Inventory Panorama","Base 檔案全景盤點 / role / size / static metric","READY","21755","HIGH_REVIEW","READ_ONLY_PARALLEL_SAFE","保留來源，先只看矩陣，不直接修"
"VIA","FLOW02","Registry / SSOT Alignment","UnifiedSpec / Governance / Layout / Visual / module registry","READY","501","LOW","INDEPENDENT","每個子系統建立自己的 registry pointer，再由 VIA 統合"
"VIA","FLOW03","Engine / Entry Bridge","Engine modules + Invoke entry scripts + Supportive bridges","READY","339","LOW","BRIDGE_ONLY_NO_CHILD_RUN","先做 static bridge；child execution 預設鎖住"
"VIA","FLOW04","Sandbox Test / Debug / Optimize","test debug upgrade / optimize / consolidate / user-test","READY","264","HIGH_REVIEW_BEFORE_FIX","SANDBOX_ONLY","三輪：分析 → 分類 → 沙盒修正；不超過三輪"
"VIA","FLOW05","One UI / Report / Final Seal","HTML Matrix Report + Active Pointer + Closeout","READY","1221","LOW","OUTPUT_ONLY","一頁式多矩陣報告，小字體、不卡版、同高卡片"
"VIS","FLOW01","Inventory Panorama","Base 檔案全景盤點 / role / size / static metric","READY","372","HIGH_REVIEW","READ_ONLY_PARALLEL_SAFE","保留來源，先只看矩陣，不直接修"
"VIS","FLOW02","Registry / SSOT Alignment","UnifiedSpec / Governance / Layout / Visual / module registry","READY","222","LOW","INDEPENDENT","每個子系統建立自己的 registry pointer，再由 VIA 統合"
"VIS","FLOW03","Engine / Entry Bridge","Engine modules + Invoke entry scripts + Supportive bridges","ENGINE_GAP","0","MEDIUM","BRIDGE_ONLY_NO_CHILD_RUN","先做 static bridge；child execution 預設鎖住"
"VIS","FLOW04","Sandbox Test / Debug / Optimize","test debug upgrade / optimize / consolidate / user-test","TEST_GAP","0","HIGH_REVIEW_BEFORE_FIX","SANDBOX_ONLY","三輪：分析 → 分類 → 沙盒修正；不超過三輪"
"VIS","FLOW05","One UI / Report / Final Seal","HTML Matrix Report + Active Pointer + Closeout","READY","22","LOW","OUTPUT_ONLY","一頁式多矩陣報告，小字體、不卡版、同高卡片"
"VRN","FLOW01","Inventory Panorama","Base 檔案全景盤點 / role / size / static metric","READY","6747","HIGH_REVIEW","READ_ONLY_PARALLEL_SAFE","保留來源，先只看矩陣，不直接修"
"VRN","FLOW02","Registry / SSOT Alignment","UnifiedSpec / Governance / Layout / Visual / module registry","READY","1053","LOW","INDEPENDENT","每個子系統建立自己的 registry pointer，再由 VIA 統合"
"VRN","FLOW03","Engine / Entry Bridge","Engine modules + Invoke entry scripts + Supportive bridges","READY","825","LOW","BRIDGE_ONLY_NO_CHILD_RUN","先做 static bridge；child execution 預設鎖住"
"VRN","FLOW04","Sandbox Test / Debug / Optimize","test debug upgrade / optimize / consolidate / user-test","READY","191","HIGH_REVIEW_BEFORE_FIX","SANDBOX_ONLY","三輪：分析 → 分類 → 沙盒修正；不超過三輪"
"VRN","FLOW05","One UI / Report / Final Seal","HTML Matrix Report + Active Pointer + Closeout","READY","37","LOW","OUTPUT_ONLY","一頁式多矩陣報告，小字體、不卡版、同高卡片"
