"Time","Project","Lane","Ext","Bytes","Modified","Path"
"2026-06-11T20:54:37.017+08:00","VDF","VDF-2 Data/Documents Inventory",".html","971501","2026-06-09 03:59:38","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\DecisionStudio_Registry.html"
"2026-06-11T20:54:37.018+08:00","VDF","VDF-2 Data/Documents Inventory",".xlsx","9845","2026-06-10 21:40:04","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\HTML Design.xlsx"
"2026-06-11T20:54:37.018+08:00","VDF","VDF-2 Data/Documents Inventory",".ico","61844","2025-09-16 13:34:26","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\Logo_ico_256x256_1.ico"
"2026-06-11T20:54:37.019+08:00","VDF","VDF-2 Data/Documents Inventory",".json","33312","2026-06-09 04:03:29","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\VIA_UnifiedInput_SSOT.json"
"2026-06-11T20:54:37.020+08:00","VDF","VDF-2 Data/Documents Inventory",".ps1","20693","2026-06-10 20:15:03","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\Invoke-VeritasNexusCore.ps1"
"2026-06-11T20:54:37.020+08:00","VDF","VDF-2 Data/Documents Inventory",".ps1","49218","2026-06-11 11:55:58","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\Invoke-VIA-PolyglotCheckTestRepair-v0101.ps1"
"2026-06-11T20:54:37.020+08:00","VDF","VDF-2 Data/Documents Inventory",".md","11108","2026-06-08 20:22:08","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\Read_Me_VeritasNexusCore.md"
"2026-06-11T20:54:37.021+08:00","VDF","VDF-2 Data/Documents Inventory",".pdf","698089","2025-08-26 00:06:08","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\tw_stock_report_input\20250819兆豐個股報告-泓德能源(6873).pdf"
"2026-06-11T20:54:37.022+08:00","VDF","VDF-2 Data/Documents Inventory",".pdf","397184","2025-12-05 23:10:14","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\tw_stock_report_input\20251128兆豐訪談速報-神達(3706).pdf"
"2026-06-11T20:54:37.022+08:00","VDF","VDF-2 Data/Documents Inventory",".pdf","608844","2025-12-05 23:05:59","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\tw_stock_report_input\20251204兆豐個股報告-志強-KY(6768).pdf"
"2026-06-11T20:54:37.022+08:00","VDF","VDF-2 Data/Documents Inventory",".pdf","327072","2025-12-05 23:05:29","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\tw_stock_report_input\20251205兆豐晨會報告(一)-當日新聞與重要訊息評論.pdf"
"2026-06-11T20:54:37.023+08:00","VDF","VDF-2 Data/Documents Inventory",".pdf","317766","2025-12-05 23:05:33","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\tw_stock_report_input\20251205兆豐晨會報告(二)-公司訪談摘要.pdf"
"2026-06-11T20:54:37.023+08:00","VDF","VDF-2 Data/Documents Inventory",".pdf","928509","2025-12-11 17:45:58","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\tw_stock_report_input\20251208_台新台股盤勢分析.pdf"
"2026-06-11T20:54:37.023+08:00","VDF","VDF-2 Data/Documents Inventory",".pdf","818339","2026-05-25 01:02:39","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\tw_stock_report_input\20260519兆豐個股報告-望隼(4771).pdf"
"2026-06-11T20:54:37.023+08:00","VDF","VDF-2 Data/Documents Inventory",".pdf","1129733","2023-10-21 15:32:21","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\tw_stock_report_input\3014TT-20231005.pdf"
"2026-06-11T20:54:37.024+08:00","VDF","VDF-2 Data/Documents Inventory",".pdf","1109127","2023-10-21 15:32:46","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\tw_stock_report_input\6933_AMAX-KY_個股介紹報告.pdf"
"2026-06-11T20:54:37.024+08:00","VDF","VDF-2 Data/Documents Inventory",".pdf","677991","2025-06-08 05:16:17","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\tw_stock_report_input\Citi-3231 20250604.pdf"
"2026-06-11T20:54:37.024+08:00","VDF","VDF-2 Data/Documents Inventory",".pdf","530185","2025-10-08 23:17:34","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\tw_stock_report_input\CLST-6669 20251001.pdf"
"2026-06-11T20:54:37.024+08:00","VDF","VDF-2 Data/Documents Inventory",".pdf","931065","2023-10-21 15:50:48","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\tw_stock_report_input\Daiwa-1319 20231011.pdf"
"2026-06-11T20:54:37.025+08:00","VDF","VDF-2 Data/Documents Inventory",".pdf","969997","2025-10-08 23:17:20","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\tw_stock_report_input\Daiwa-3653 20251002.pdf"
"2026-06-11T20:54:37.025+08:00","VDF","VDF-2 Data/Documents Inventory",".pdf","1018815","2026-05-25 01:01:40","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\tw_stock_report_input\Daiwa-6278 20260521.pdf"
"2026-06-11T20:54:37.025+08:00","VDF","VDF-2 Data/Documents Inventory",".pdf","278165","2025-12-05 23:05:14","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\tw_stock_report_input\Daiwa-PCB 20251204.pdf"
"2026-06-11T20:54:37.025+08:00","VDF","VDF-2 Data/Documents Inventory",".pdf","226266","2025-12-02 17:52:07","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\tw_stock_report_input\GF-Thoughts on TPU Competition with GPU 20251126.pdf"
"2026-06-11T20:54:37.026+08:00","VDF","VDF-2 Data/Documents Inventory",".pdf","1001187","2023-10-21 15:35:04","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\tw_stock_report_input\GS-1590 20231012.pdf"
"2026-06-11T20:54:37.026+08:00","VDF","VDF-2 Data/Documents Inventory",".pdf","508885","2025-12-05 23:07:52","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\tw_stock_report_input\GS-1590 20251203.pdf"
"2026-06-11T20:54:37.026+08:00","VDF","VDF-2 Data/Documents Inventory",".pdf","536180","2025-12-11 17:45:34","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\tw_stock_report_input\GS-2317 20251205.pdf"
