Date,PrimaryFineGroup,MemberCount,GroupExactNonDayTradeTurnoverAvailableSum,GroupExactNonDayTradeTurnoverAvailableCount,GroupNonDayTradeCoverage,GroupDTR,GroupSNR,GroupForeignNetValueProxyAvailableSum,GroupTrustNetValueProxyAvailableSum,GroupDealerNetValueProxyAvailableSum,GroupMarginBalanceChangeValueProxyAvailableSum,GroupShortBalanceChangeValueProxyAvailableSum,GroupPriceReturn1D,GroupAdjustedPriceReturn1D,GroupPriceUpBreadth,GroupPriceDownBreadth,GroupForeignPositiveBreadth,GroupTrustPositiveBreadth,GroupDealerPositiveBreadth,GroupMarginExpansionBreadth,GroupShortIncreaseBreadth,GroupShortCoverBreadth,GroupDataStatus,NoPredictiveClaim
2026-08-18,ABF載板製造,3,171973930.30994937,3,1.0,0.9979037966977656,0.0280596500796578,12062799105.0,301433515.0,-885564120.0,-1934080.0,11455.0,-0.0201625016887447,-0.0201625016887447,0.3333333333333333,0.6666666666666666,0.6666666666666666,1.0,0.3333333333333333,0.0,0.6666666666666666,0.3333333333333333,GROUP_COMPLETE,True
2026-08-18,AI伺服器管理晶片,1,74280579.54413477,1,1.0,0.9756124622956408,0.0,-84234645.0,287939565.0,2285370.0,-102330.0,0.0,0.0020564042303172,0.0020564042303172,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,GROUP_COMPLETE,True
2026-08-18,AI伺服器與系統代工,8,808163141.3461628,8,1.0,0.9816756367070936,0.0124931443581675,-3493791461.5515976,-3046502953.0677414,-520203026.2422943,-845941.3991317749,-186083.2003479004,-0.0205865521063516,-0.0205865521063516,0.125,0.875,0.25,0.5,0.125,0.375,0.125,0.875,GROUP_COMPLETE,True
2026-08-18,AI光收發模組,6,697991043.4852555,6,1.0,0.9824174438984478,0.0278137919225029,-917527469.0,2982837225.0,-28671216.0,93233.0,68765.0,-0.0078435041871106,-0.0078435041871106,0.3333333333333333,0.6666666666666666,0.5,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.5,GROUP_COMPLETE,True
2026-08-18,AI品牌與代工系統,2,109269707.43307789,2,1.0,0.9840853642442988,0.0292443539368041,80711257.85362244,174245726.32042694,-84360482.9636612,-36451.79859924317,-5563.59977722168,-0.0087291262273847,-0.0087291262273847,0.5,0.5,0.5,0.5,0.0,0.5,0.5,0.5,GROUP_COMPLETE,True
2026-08-18,AI品牌電腦,2,110815040.86246192,2,1.0,0.9763877008281692,0.06101510544142,-643478098.7748337,450047504.90794754,-27271693.92488098,-9948.90000152588,-19629.34998703003,-0.0292338231191605,-0.0292338231191605,0.0,1.0,0.0,1.0,0.5,0.5,0.0,1.0,GROUP_COMPLETE,True
2026-08-18,AI工業電腦,5,,0,0.0,,0.0134633470276691,-282964552.7267761,-1057500.0,-68605915.66641235,-4349.90022277832,-1425.7999725341797,-0.0280044179748846,-0.0207661314813496,0.0,1.0,0.0,0.0,0.2,0.4,0.4,0.4,GROUP_PARTIAL_OR_GAP,True
2026-08-18,AI工業電腦與Edge AI,6,701041302.1592894,6,1.0,0.9040096028535703,0.024349566377585,-1227720564.2251282,849802450.0,-30401956.81861877,32601.000038146973,-7326.400009155273,-0.0223241307744646,-0.0223241307744646,0.3333333333333333,0.6666666666666666,0.0,0.1666666666666666,0.5,0.6666666666666666,0.3333333333333333,0.5,GROUP_COMPLETE,True
2026-08-18,AI散熱材料與精密金屬,1,113515465.75461242,1,1.0,0.9938098129125176,0.0171354671839637,4751132500.0,1575900000.0,-626116400.0,-92700.0,-51500.0,-0.0355805243445692,-0.0355805243445692,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,GROUP_COMPLETE,True
2026-08-18,AI散熱與風扇模組,10,1762510878.8555048,9,0.9,0.7694030788496167,0.0094891419326737,2659265053.3571167,-1702969762.0,-188379311.24111935,-598487.2999572754,-10719.0,-0.0256752350942881,-0.0256752342280132,0.1,0.9,0.5,0.1,0.3,0.2,0.2,0.2,GROUP_PARTIAL_OR_GAP,True
2026-08-18,AI網通與交換器,1,,0,0.0,,0.01036866359447,-318562150.0,-767625000.0,-35875900.0,-293700.0,2225.0,-0.0283842794759825,-0.0283842794759825,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,GROUP_PARTIAL_OR_GAP,True
2026-08-18,AI電源與電力管理,3,533392534.3181299,3,1.0,0.9861666721985444,0.002488490730372,1660573267.4394608,-99168235.00228882,-499359045.9033432,124583.59998703004,1820.0,-0.0049378766260254,-0.0049378666453623,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.0,0.6666666666666666,0.3333333333333333,0.0,GROUP_COMPLETE,True
2026-08-18,AI高速互連線材,1,96487889.62115732,1,1.0,0.98612636645924,0.0071779372874952,552363840.0,-575697920.0,90648320.0,35840.0,6720.0,0.0491803278688525,0.0491803278688525,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,GROUP_COMPLETE,True
