Group,Subgroup,n_members,official_industry_n,top_industry,top_industry_share,official_industry_mix,mixed_industry_flag
低基期原物料,,12,6,塑膠工業,0.5,塑膠工業:6｜造紙工業:2｜水泥工業:1｜油電燃氣業:1｜橡膠工業:1｜玻璃陶瓷:1,True
資金港灣股,,8,6,通信網路業,0.375,通信網路業:3｜油電燃氣業:1｜食品工業:1｜電腦及週邊設備業:1｜鋼鐵工業:1｜水泥工業:1,True
高殖利率股,,7,5,半導體業,0.2857142857142857,半導體業:2｜電子通路業:2｜電子零組件業:1｜其他業:1｜光電業:1,True
AI 散熱,,10,4,電子零組件業,0.4,電子零組件業:4｜電腦及週邊設備業:4｜電機機械:1｜其他電子業:1,True
手機零組件,,7,4,電子零組件業,0.5714285714285714,電子零組件業:4｜通信網路業:1｜其他電子業:1｜半導體業:1,True
軍工航太,,4,4,航運業,0.25,航運業:1｜電機機械:1｜半導體業:1｜其他業:1,True
電動車,,8,3,汽車工業,0.5,汽車工業:4｜電子零組件業:3｜電機機械:1,True
APP 概念股,,7,3,數位雲端,0.42857142857142855,數位雲端:3｜文化創意業:3｜電子零組件業:1,True
PC 零組件,,7,3,半導體業,0.42857142857142855,半導體業:3｜電子零組件業:3｜其他電子業:1,True
機器人,,7,3,電機機械,0.42857142857142855,電機機械:3｜其他電子業:2｜電腦及週邊設備業:2,True
被動元件,,7,3,電子零組件業,0.7142857142857143,電子零組件業:5｜其他業:1｜未匹配:1,True
零售通路,,6,3,貿易百貨業,0.6666666666666666,貿易百貨業:4｜居家生活:1｜數位雲端:1,True
CoWoS 供應鏈,,5,3,電子零組件業,0.6,電子零組件業:3｜電機機械:1｜其他電子業:1,True
ABF 載板,,4,3,電子零組件業,0.5,電子零組件業:2｜電機機械:1｜半導體業:1,True
電源管理,,4,3,電子零組件業,0.5,電子零組件業:2｜電腦及週邊設備業:1｜文化創意業:1,True
AI 高速傳輸,,9,3,通信網路業,0.7777777777777778,通信網路業:7｜其他電子業:1｜半導體業:1,False
PCB,,9,3,電子零組件業,0.7777777777777778,電子零組件業:7｜未匹配:1｜綠能環保:1,False
散裝航運,,10,2,航運業,0.9,航運業:9｜居家生活:1,False
AI OEM/ODM,,8,2,電腦及週邊設備業,0.875,電腦及週邊設備業:7｜其他電子業:1,False
AI 概念股,,7,2,電腦及週邊設備業,0.8571428571428571,電腦及週邊設備業:6｜半導體業:1,False
鋼鐵,,6,2,鋼鐵工業,0.8333333333333334,鋼鐵工業:5｜未匹配:1,False
AI PC,,5,2,電腦及週邊設備業,0.8,電腦及週邊設備業:4｜電子零組件業:1,False
台積電擴廠,,5,2,其他電子業,0.8,其他電子業:4｜半導體業:1,False
生技醫療,,5,2,生技醫療業,0.8,生技醫療業:4｜未匹配:1,False
BBU 備援電池,,4,2,電腦及週邊設備業,0.75,電腦及週邊設備業:3｜電子零組件業:1,False
低軌衛星,,4,2,通信網路業,0.75,通信網路業:3｜半導體業:1,False
CoWoS 先進封裝,,7,1,半導體業,1.0,半導體業:7,False
ASIC 設計服務,,6,1,半導體業,1.0,半導體業:6,False
重電,,6,1,電機機械,1.0,電機機械:6,False
電子通路,,6,1,電子通路業,1.0,電子通路業:6,False
餐飲,,6,1,觀光餐旅,1.0,觀光餐旅:6,False
半導體,,5,1,半導體業,1.0,半導體業:5,False
IC設計,,4,1,半導體業,1.0,半導體業:4,False
光學,,4,1,光電業,1.0,光電業:4,False
條鋼,,4,1,鋼鐵工業,1.0,鋼鐵工業:4,False
記憶體,,4,1,半導體業,1.0,半導體業:4,False
金融,,4,1,金融保險業,1.0,金融保險業:4,False
航空,,3,1,航運業,1.0,航運業:3,False
貨櫃航運,,3,1,航運業,1.0,航運業:3,False
