"def_alias","def_path_value","def_status","def_recommendation","def_source_conflict_key","def_sample_files"
"FUNCTIONAL_MODULES_DOWNLOADS","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules","ACCEPT_CANONICAL_ROOT","Use alias in future generated scripts.","STATIC_ALIAS",""
"PYTHON_ENV_ONEDRIVE","C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\_envs\via_operation_optimizer_2026\Scripts\python.exe","ENV_REVIEW","Use alias in future generated scripts.","STATIC_ALIAS",""
"SUPPORTIVE_MODULES_DOWNLOADS","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules","ACCEPT_CANONICAL_ROOT","Use alias in future generated scripts.","STATIC_ALIAS",""
"USER_DOWNLOADS","C:\Users\tonyk\Downloads","REFERENCE_ONLY","Use alias in future generated scripts.","STATIC_ALIAS",""
"VDF_DIR_DOWNLOADS","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VDF","ACCEPT_CANONICAL_ROOT","Use alias in future generated scripts.","STATIC_ALIAS",""
"VIA_ROOT_DOWNLOADS","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics","ACCEPT_CANONICAL_ROOT","Use alias in future generated scripts.","STATIC_ALIAS",""
"VIA_ROOT_DOWNLOADS","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_AKSHARE_BACKUP_ROLLBACK_STAGING_PLAN_HOTFIX_v02832_20260611_031541","REVIEW_ALIAS","Convert to variable reference before any source mutation.","RunRoot","Invoke-VIA-UltimateEngineForge-AIO-v060.ps1; Invoke-VIA-UltimateEngineForge-AIO-v061-BoolParamHotfix.ps1; Invoke-VIA-UltimateEngineForge-AIO-v062-NullSafeStepSafe.ps1; Invoke-VIA-UltimateEngineForge-AIO-v063-10xCrossNoHangProgress.ps1; VDF_AkShare_BackupRollbackStagingPlan_Hotfix_Transcript_v02831_20260611_031152.txt; VDF_AkShare_BackupRollbackStagingPlan_Hotfix_Report_v02832.html; VDF_AkShare_BackupRollbackStagingPlan_Transcript_v0283_20260611_024903.txt; VDF_AkShare_CollisionResolverGate_Report_v027841.html"
"VIA_ROOT_DOWNLOADS","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_AKSHARE_STAGING_WRITE_SCRIPT_GENERATION_APPROVAL_v0284_20260611_033432","REVIEW_ALIAS","Convert to variable reference before any source mutation.","RunRoot","Invoke-VIA-UltimateEngineForge-AIO-v060.ps1; Invoke-VIA-UltimateEngineForge-AIO-v061-BoolParamHotfix.ps1; Invoke-VIA-UltimateEngineForge-AIO-v062-NullSafeStepSafe.ps1; Invoke-VIA-UltimateEngineForge-AIO-v063-10xCrossNoHangProgress.ps1; VDF_AkShare_BackupRollbackStagingPlan_Hotfix_Transcript_v02831_20260611_031152.txt; VDF_AkShare_BackupRollbackStagingPlan_Hotfix_Report_v02832.html; VDF_AkShare_BackupRollbackStagingPlan_Transcript_v0283_20260611_024903.txt; VDF_AkShare_CollisionResolverGate_Report_v027841.html"
"VIA_ROOT_DOWNLOADS","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VIA_DUAL_PROJECT_SAFE_PARALLEL_GATE_v02872_20260611_205436\launchers\Start-VDF-Lane1-FinalSealHealth.ps1","REVIEW_ALIAS","Convert to variable reference before any source mutation.","file","Invoke-VeritasCodexNexus.ps1; UnifiedSpec.json; via_param_manager (1).py; via_param_manager.py; VDF_VDF-Lane1-FinalSealHealth.stdout.txt; VDF_VDF-Lane2-ReadOnlyInventory.stdout.txt; VDF_VDF-Lane3-EnvSupportiveHardGate.stdout.txt; VRN_VRN-Lane1-EntryHealth.stdout.txt"
"VIA_ROOT_DOWNLOADS","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VIA_DUAL_PROJECT_SAFE_PARALLEL_GATE_v02872_20260611_205436\launchers\Start-VDF-Lane2-ReadOnlyInventory.ps1","REVIEW_ALIAS","Convert to variable reference before any source mutation.","file","Invoke-VeritasCodexNexus.ps1; UnifiedSpec.json; via_param_manager (1).py; via_param_manager.py; VDF_VDF-Lane1-FinalSealHealth.stdout.txt; VDF_VDF-Lane2-ReadOnlyInventory.stdout.txt; VDF_VDF-Lane3-EnvSupportiveHardGate.stdout.txt; VRN_VRN-Lane1-EntryHealth.stdout.txt"
"VIA_ROOT_DOWNLOADS","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VIA_DUAL_PROJECT_SAFE_PARALLEL_GATE_v02872_20260611_205436\launchers\Start-VDF-Lane3-EnvSupportiveHardGate.ps...","REVIEW_ALIAS","Convert to variable reference before any source mutation.","file","Invoke-VeritasCodexNexus.ps1; UnifiedSpec.json; via_param_manager (1).py; via_param_manager.py; VDF_VDF-Lane1-FinalSealHealth.stdout.txt; VDF_VDF-Lane2-ReadOnlyInventory.stdout.txt; VDF_VDF-Lane3-EnvSupportiveHardGate.stdout.txt; VRN_VRN-Lane1-EntryHealth.stdout.txt"
"VIA_ROOT_ONEDRIVE_LEGACY","C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics","LEGACY_REVIEW","Use alias in future generated scripts.","STATIC_ALIAS",""
