"def_priority","def_accept_status","def_alias","def_path_value","def_status","def_scope","def_selected","def_reject_reason","def_mutate_existing_source"
"P1","WAIT_USER_DECISION","FUNCTIONAL_MODULES_DOWNLOADS","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules","ACCEPT_CANONICAL_ROOT","future_generated_scripts_only","","","false"
"P1","WAIT_USER_DECISION","PYTHON_ENV_ONEDRIVE","C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\_envs\via_operation_optimizer_2026\Scripts\python.exe","ENV_REVIEW","future_generated_scripts_only","","","false"
"P1","WAIT_USER_DECISION","SUPPORTIVE_MODULES_DOWNLOADS","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules","ACCEPT_CANONICAL_ROOT","future_generated_scripts_only","","","false"
"P1","WAIT_USER_DECISION","USER_DOWNLOADS","C:\Users\tonyk\Downloads","REFERENCE_ONLY","future_generated_scripts_only","","","false"
"P1","WAIT_USER_DECISION","VDF_DIR_DOWNLOADS","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VDF","ACCEPT_CANONICAL_ROOT","future_generated_scripts_only","","","false"
"P1","WAIT_USER_DECISION","VIA_ROOT_DOWNLOADS","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics","ACCEPT_CANONICAL_ROOT","future_generated_scripts_only","","","false"
"P1","WAIT_USER_DECISION","VIA_ROOT_DOWNLOADS","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_AKSHARE_BACKUP_ROLLBACK_STAGING_PLAN_HOTFIX_v02832_20260611_031541","REVIEW_ALIAS","future_generated_scripts_only","","","false"
"P1","WAIT_USER_DECISION","VIA_ROOT_DOWNLOADS","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_AKSHARE_STAGING_WRITE_SCRIPT_GENERATION_APPROVAL_v0284_20260611_033432","REVIEW_ALIAS","future_generated_scripts_only","","","false"
"P1","WAIT_USER_DECISION","VIA_ROOT_DOWNLOADS","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VIA_DUAL_PROJECT_SAFE_PARALLEL_GATE_v02872_20260611_205436\launchers\Start-VDF-Lane1-FinalSealHealth.ps1","REVIEW_ALIAS","future_generated_scripts_only","","","false"
"P1","WAIT_USER_DECISION","VIA_ROOT_DOWNLOADS","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VIA_DUAL_PROJECT_SAFE_PARALLEL_GATE_v02872_20260611_205436\launchers\Start-VDF-Lane2-ReadOnlyInventory.ps1","REVIEW_ALIAS","future_generated_scripts_only","","","false"
"P1","WAIT_USER_DECISION","VIA_ROOT_DOWNLOADS","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VIA_DUAL_PROJECT_SAFE_PARALLEL_GATE_v02872_20260611_205436\launchers\Start-VDF-Lane3-EnvSupportiveHardGate.ps...","REVIEW_ALIAS","future_generated_scripts_only","","","false"
"P1","WAIT_USER_DECISION","VIA_ROOT_ONEDRIVE_LEGACY","C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics","LEGACY_REVIEW","future_generated_scripts_only","","","false"
