stock_id,name,group,role,market
2330,台積電,半導體,L,上市
2454,聯發科,半導體,P,上市
2303,聯電,半導體,P,上市
5347,世界先進,半導體,G,上櫃
6770,力積電,半導體,G,上市
3711,日月光投控,半導體,L,上市
6488,環球晶,半導體,P,上櫃
2317,鴻海,AI 伺服器,L,上市
2382,廣達,AI 伺服器,P,上市
3231,緯創,AI 伺服器,P,上市
6669,緯穎,AI 伺服器,L,上市
2376,技嘉,AI 伺服器,G,上市
2356,英業達,AI 伺服器,P,上市
8210,勤誠,AI 伺服器,P,上市
2603,長榮,貨櫃航運,L,上市
2609,陽明,貨櫃航運,P,上市
2615,萬海,貨櫃航運,G,上市
2881,富邦金,金融,L,上市
2882,國泰金,金融,P,上市
2886,兆豐金,金融,P,上市
2884,玉山金,金融,G,上市
2327,國巨,被動元件,L,上市
2492,華新科,被動元件,P,上市
3026,禾伸堂,被動元件,G,上櫃
6173,信昌電,被動元件,P,上櫃
3008,大立光,光學,L,上市
3406,玉晶光,光學,P,上市
3019,亞光,光學,G,上市
3362,先進光,光學,P,上市
2049,上銀,機器人,L,上市
2308,台達電,機器人,P,上市
2359,所羅門,機器人,P,上市
1597,直得,機器人,G,上櫃
1590,亞德客-KY,機器人,L,上市
2464,盟立,機器人,P,上市
3324,雙鴻,散熱,L,上市
3017,奇鋐,散熱,L,上市
2421,建準,散熱,P,上市
3338,泰碩,散熱,G,上櫃
6275,元山,散熱,P,上櫃
3483,力致,散熱,P,上市
6591,動力-KY,散熱,P,上市
6125,廣運,散熱,G,上市
4931,新盛力,BBU 備援電池,L,上市
6781,AES-KY,BBU 備援電池,P,上市
3323,加百裕,BBU 備援電池,P,上市
3211,順達,BBU 備援電池,G,上市
3081,聯亞,CPO 共封裝光學,L,上櫃
6442,光聖,CPO 共封裝光學,P,上櫃
3363,上詮,CPO 共封裝光學,P,上市
4979,華星光,CPO 共封裝光學,G,上櫃
3163,波若威,CPO 共封裝光學,P,上櫃
4977,眾達-KY,CPO 共封裝光學,P,上櫃
3491,昇達科,低軌衛星,L,上櫃
2314,台揚,低軌衛星,P,上市
6285,啟碁,低軌衛星,P,上市
6271,同欣電,低軌衛星,G,上市
2637,慧洋-KY,散裝航運,L,上市
2606,裕民,散裝航運,P,上市
2605,新興,散裝航運,P,上市
5608,四維航,散裝航運,G,上市
2612,中航,散裝航運,P,上市
2617,台航,散裝航運,P,上市
2641,正德,散裝航運,G,上市
2618,長榮航,航空,L,上市
2610,華航,航空,P,上市
2646,星宇,航空,G,上市
2002,中鋼,鋼鐵,L,上市
2014,中鴻,鋼鐵,P,上市
2023,燁輝,鋼鐵,P,上市
2017,官田鋼,鋼鐵,G,上市
9957,燁聯,鋼鐵,P,上市
2029,盛餘,鋼鐵,G,上市
2015,豐興,條鋼,L,上市
2006,東和鋼鐵,條鋼,P,上市
2028,威致,條鋼,P,上市
2012,春雨,條鋼,G,上市
1519,華城,重電,L,上市
1503,士電,重電,P,上市
1513,中興電,重電,P,上市
1514,亞力,重電,G,上市
1504,東元,重電,P,上市
2371,大同,重電,P,上市
2634,漢翔,軍工航太,L,上市
8033,雷虎,軍工航太,P,上市
8222,寶一,軍工航太,P,上市
8383,千附,軍工航太,G,上市
3037,欣興,ABF 載板,L,上市
8046,南電,ABF 載板,P,上市
3189,景碩,ABF 載板,P,上市
3167,大量,ABF 載板,G,上櫃
2408,南亞科,記憶體,L,上市
2344,華邦電,記憶體,P,上市
2337,旺宏,記憶體,P,上市
8299,群聯,記憶體,G,上櫃
3260,威剛,記憶體,P,上市
2383,台光電,PCB,L,上市
4958,臻鼎-KY,PCB,L,上市
3044,健鼎,PCB,P,上市
2368,金像電,PCB,P,上市
2367,燿華,PCB,G,上市
6196,帆宣,台積電擴廠,L,上市
2404,漢唐,台積電擴廠,L,上市
6139,亞翔,台積電擴廠,P,上市
6667,信紘科,台積電擴廠,P,上櫃
3413,京鼎,台積電擴廠,P,上櫃
3131,弘塑,台積電擴廠,G,上櫃
6472,保瑞,生技醫療,L,上櫃
6446,藥華藥,生技醫療,L,上市
1795,美時,生技醫療,P,上市
4162,智擎,生技醫療,G,上櫃
6562,聯亞藥,生技醫療,G,上櫃
3034,聯詠,IC設計,L,上市
2379,瑞昱,IC設計,P,上市
6415,矽力-KY,IC設計,P,上市
3545,敦泰,IC設計,G,上市
2308,台達電,電源管理,L,上市
2301,光寶科,電源管理,P,上市
3015,全漢,電源管理,P,上市
5263,僑威,電源管理,G,上櫃
3661,世芯-KY,ASIC 設計服務,L,上市
3443,創意,ASIC 設計服務,L,上市
3035,智原,ASIC 設計服務,P,上市
2569,揚智,ASIC 設計服務,G,上市
3529,力旺,矽智財 IP,L,上櫃
6533,晶心科,矽智財 IP,P,上櫃
6643,M31,矽智財 IP,P,上櫃
2345,智邦,網通設備,L,上市
3596,智易,網通設備,P,上市
5388,中磊,網通設備,P,上市
3380,明泰,網通設備,G,上市
3665,貿聯-KY,電動車,L,上市
1536,和大,電動車,P,上市
2231,為升,電動車,P,上市
8255,朋程,電動車,G,上櫃
2731,雄獅,觀光餐飲,L,上市
2727,王品,觀光餐飲,L,上市
2729,瓦城,觀光餐飲,P,上市
2707,晶華,觀光餐飲,P,上市
5706,鳳凰,觀光餐飲,G,上市
2360,致茂,半導體設備,L,上市
3680,家登,半導體設備,L,上櫃
3583,辛耘,半導體設備,P,上市
6187,萬潤,半導體設備,P,上櫃
2467,志聖,半導體設備,G,上市
6690,安碁資訊,資安/系統整合,L,上櫃
2480,敦陽科,資安/系統整合,P,上市
6214,精誠,資安/系統整合,P,上櫃
3029,零壹,資安/系統整合,G,上市
