"def_priority","def_group_id","def_group_user_accept","def_group_user_accept_draft","def_edge_review_required","def_edge_review_reason","def_apply_to_rows","def_owner_engine","def_domain_family","def_group_risk","def_selected_group_canonical_value","def_selected_group_canonical_value_draft","def_recommended_group_canonical_value","def_recommendation_reason","def_sample_keys","def_source_mutation","def_canonical_merge"
"P0_FORMAL_DRAFT","P0::MARKET_TICKER_IDENTITY::VDF::ACCEPT_GROUP_POLICY_AFTER_REVIEW","","YES","false","Recommended YES with safe policy-level canonical value.","49","VDF","MARKET_TICKER_IDENTITY","LOW_MEDIUM","","TW_TICKER=4_DIGITS; TWSE_YF={TW_TICKER}.TW; TPEX_YF={TW_TICKER}.TWO; OVERSEAS=PROVIDER_NATIVE_TICKER","TW_TICKER=4_DIGITS; TWSE_YF={TW_TICKER}.TW; TPEX_YF={TW_TICKER}.TWO; OVERSEAS=PROVIDER_NATIVE_TICKER","Ticker identity policy is stable and row-level samples map to ticker/schema terms. Source rewrite still forbidden.","ticker; parsed_ticker; tickers; yfinance; YFinanceTickerTPEX; YFinanceTickerTWSE; schema_first_12_json; tw_ticker; yfinance_ticker; tw_yfinance_ticker; TW_YFINANCE_REGEX; TW_TICKER_REGEX; RequiredFields; left_ticker; addFields; right_ticker; EXTRA_TICKERS; vrn_merge_yfinance_ticker","false","false"
"P0_FORMAL_DRAFT","P0::SCHEMA_FIELD_CONTRACT::VRN_VDF::ACCEPT_SCHEMA_OWNER_AFTER_REVIEW","","YES","false","Recommended YES with safe policy-level canonical value.","46","VRN/VDF","SCHEMA_FIELD_CONTRACT","MEDIUM","","OWNER_SCHEMA_REGISTRY; FIELD_ALIAS_MAP; UNIT_NORMALIZATION_TABLE","OWNER_SCHEMA_REGISTRY; FIELD_ALIAS_MAP; UNIT_NORMALIZATION_TABLE","Schema ownership policy is needed for VRN/VDF alignment; accept policy layer only, not raw sample values.","policy; unit; field; schema; field_id; unit_mn_twd; changed_units; unit_x; target_field; schemas; unit_twd; schema_gate; schema_rows; missing_unit; unit_band_yellow; def_PARAM_HARDGATE_DIR; unit_band_green; unit_review_rows","false","false"
"P0_FORMAL_DRAFT","P0::DATA_SOURCE_CONTRACT::VDF::ACCEPT_PROVIDER_CONTRACT_AFTER_REVIEW","","YES","false","Recommended YES with safe policy-level canonical value.","20","VDF","DATA_SOURCE_CONTRACT","MEDIUM","","PROVIDER_REGISTRY_ONLY; API_KEYS_FROM_UI_RUNTIME_SECRET_OR_ENV_NAME_ONLY; RAW_SECRET_FORBIDDEN; FALLBACK_EXPLICIT","PROVIDER_REGISTRY_ONLY; API_KEYS_FROM_UI_RUNTIME_SECRET_OR_ENV_NAME_ONLY; RAW_SECRET_FORBIDDEN; FALLBACK_EXPLICIT","Provider contract policy can be accepted because FRED key policy is runtime UI secret parameter and raw secret is forbidden.","fields; timezone_policy; akshare; alignment_policy; merge_policy_gate; schema_id; recommended_fields; VDF_Global_Commodity_AkShare_Candidate; akshare_import; akshare_version; fred_api_key_sources_checked; fred_id; fred_api_key_value_not_printed; flow_f_fred_akshare_global; Macro; dryrun_policy; primary_source_module; AKSHARE_AVAILABLE","false","false"
"P0_FORMAL_DRAFT","P0::DATA_SOURCE_CONTRACT::VDF::MASK_SECRET_AND_DEFER","","YES","false","Recommended YES with safe policy-level canonical value.","9","VDF","DATA_SOURCE_CONTRACT","MEDIUM","","PROVIDER_REGISTRY_ONLY; API_KEYS_FROM_UI_RUNTIME_SECRET_OR_ENV_NAME_ONLY; RAW_SECRET_FORBIDDEN; FALLBACK_EXPLICIT","PROVIDER_REGISTRY_ONLY; API_KEYS_FROM_UI_RUNTIME_SECRET_OR_ENV_NAME_ONLY; RAW_SECRET_FORBIDDEN; FALLBACK_EXPLICIT","Provider contract policy can be accepted because FRED key policy is runtime UI secret parameter and raw secret is forbidden.","fred; HardGate; mixing_policy; fred_api_key_exists; fred_keys; schema_audit_csv; fred_akshare_capability_seal; schema_gate_json; schema_map","false","false"
"P0_FORMAL_DRAFT","P0::GOVERNANCE_POLICY::VIA::ACCEPT_POLICY_OWNER_AFTER_REVIEW","","YES","false","Recommended YES with safe policy-level canonical value.","8","VIA","GOVERNANCE_POLICY","LOW_MEDIUM","","VIA_GOVERNANCE_POLICY_REGISTRY","VIA_GOVERNANCE_POLICY_REGISTRY","Governance policy should be registry-owned. No source mutation.","calendar_policy; fill_policy; weekend_holiday_policy; policy_id; duplicate_after_collision_policy; dedup_policy_required; coaxis_policy_registry; ConsensusPolicy","false","false"
"P0_FORMAL_DRAFT","P0::MARKET_TICKER_IDENTITY::VDF::MASK_SECRET_AND_DEFER","","YES","false","Recommended YES with safe policy-level canonical value.","6","VDF","MARKET_TICKER_IDENTITY","LOW_MEDIUM","","TW_TICKER=4_DIGITS; TWSE_YF={TW_TICKER}.TW; TPEX_YF={TW_TICKER}.TWO; OVERSEAS=PROVIDER_NATIVE_TICKER","TW_TICKER=4_DIGITS; TWSE_YF={TW_TICKER}.TW; TPEX_YF={TW_TICKER}.TWO; OVERSEAS=PROVIDER_NATIVE_TICKER","Ticker identity policy is stable and row-level samples map to ticker/schema terms. Source rewrite still forbidden.","ticker_regex; ticker_summary_csv; VRN_TickerRegexSSOT; missing_yfinance_csv; yfinance_matrix_csv; source_policy","false","false"
"P0_FORMAL_DRAFT","P0::SCHEMA_FIELD_CONTRACT::VRN_VDF::MASK_SECRET_AND_DEFER","","YES","false","Recommended YES with safe policy-level canonical value.","5","VRN/VDF","SCHEMA_FIELD_CONTRACT","MEDIUM","","OWNER_SCHEMA_REGISTRY; FIELD_ALIAS_MAP; UNIT_NORMALIZATION_TABLE","OWNER_SCHEMA_REGISTRY; FIELD_ALIAS_MAP; UNIT_NORMALIZATION_TABLE","Schema ownership policy is needed for VRN/VDF alignment; accept policy layer only, not raw sample values.","schema_csv; unit_review_csv; schema_run; OUT_SCHEMA_CSV; schema_compare_csv","false","false"
"P0_FORMAL_DRAFT","P0::DATA_SOURCE_CONTRACT::VDF::SECRET_REVIEW_BEFORE_ACCEPT","","YES","false","Recommended YES with safe policy-level canonical value.","2","VDF","DATA_SOURCE_CONTRACT","MEDIUM","","PROVIDER_REGISTRY_ONLY; API_KEYS_FROM_UI_RUNTIME_SECRET_OR_ENV_NAME_ONLY; RAW_SECRET_FORBIDDEN; FALLBACK_EXPLICIT","PROVIDER_REGISTRY_ONLY; API_KEYS_FROM_UI_RUNTIME_SECRET_OR_ENV_NAME_ONLY; RAW_SECRET_FORBIDDEN; FALLBACK_EXPLICIT","Provider contract policy can be accepted because FRED key policy is runtime UI secret parameter and raw secret is forbidden.","FRED_API_KEY; fred_api_key_env","false","false"
"P0_FORMAL_DRAFT","P0::DOMAIN_GENERAL::VIA_REVIEW_BOARD::REVIEW","","DEFER","true","DOMAIN_GENERAL must be reviewed by business owner.","1","VIA_REVIEW_BOARD","DOMAIN_GENERAL","HIGH","","","","DOMAIN_GENERAL row such as MACRO_CHINA needs business-domain owner review; do not batch accept.","MACRO_CHINA","false","false"
"P0_FORMAL_DRAFT","P0::GOVERNANCE_POLICY::VDF::ACCEPT_POLICY_OWNER_AFTER_REVIEW","","YES","false","Recommended YES with safe policy-level canonical value.","1","VDF","GOVERNANCE_POLICY","LOW_MEDIUM","","VIA_GOVERNANCE_POLICY_REGISTRY","VIA_GOVERNANCE_POLICY_REGISTRY","Governance policy should be registry-owned. No source mutation.","_vdf_v027841_collision_policy","false","false"
