"def_package_review_id","def_source_dryrun_id","def_source_execution_candidate_id","def_plan_layer","def_source_file","def_source_path","def_source_exists","def_review_action","def_review_result","def_next_gate_required","def_execution_enabled","def_apply_enabled","def_source_mutation","def_canonical_merge","def_db_write","def_delete","def_stop_process"
"FINAL_APPLY_PACKAGE_REVIEW_0001","PRE_APPLY_DRYRUN_0001","EXEC_CANDIDATE_REVIEW_0001","POLICY_REGISTRY_PLAN","VIA_v0114A_POLICY_REGISTRY_CANDIDATE.csv","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VDF\_integration_v0114F1_hotfix_release_candidate_package\RUN_20260622_213423_VIA_v0114F1_HOTFIX_RELEASE_CANDIDATE_PACKAGE\_release_candidate_package_only\candidate_artifacts\VIA_v0114A_POLICY_REGISTRY_CANDIDATE.csv","True","FINAL_PACKAGE_REVIEW_ONLY","READY_FOR_FINAL_SCRIPT_PREVIEW_REVIEW","v0114O_FINAL_APPLY_SCRIPT_PREVIEW_ONLY","false","false","false","false","false","false","false"
"FINAL_APPLY_PACKAGE_REVIEW_0002","PRE_APPLY_DRYRUN_0002","EXEC_CANDIDATE_REVIEW_0002","ALIAS_REGISTRY_PLAN","VIA_v0114A_ALIAS_REGISTRY_CANDIDATE.csv","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VDF\_integration_v0114F1_hotfix_release_candidate_package\RUN_20260622_213423_VIA_v0114F1_HOTFIX_RELEASE_CANDIDATE_PACKAGE\_release_candidate_package_only\candidate_artifacts\VIA_v0114A_ALIAS_REGISTRY_CANDIDATE.csv","True","FINAL_PACKAGE_REVIEW_ONLY","READY_FOR_FINAL_SCRIPT_PREVIEW_REVIEW","v0114O_FINAL_APPLY_SCRIPT_PREVIEW_ONLY","false","false","false","false","false","false","false"
"FINAL_APPLY_PACKAGE_REVIEW_0003","PRE_APPLY_DRYRUN_0003","EXEC_CANDIDATE_REVIEW_0003","ROW_MAPPING_PLAN","VIA_v0114A_ROW_PATCH_PLAN_CANDIDATE.csv","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VDF\_integration_v0114F1_hotfix_release_candidate_package\RUN_20260622_213423_VIA_v0114F1_HOTFIX_RELEASE_CANDIDATE_PACKAGE\_release_candidate_package_only\candidate_artifacts\VIA_v0114A_ROW_PATCH_PLAN_CANDIDATE.csv","True","FINAL_PACKAGE_REVIEW_ONLY","READY_FOR_FINAL_SCRIPT_PREVIEW_REVIEW","v0114O_FINAL_APPLY_SCRIPT_PREVIEW_ONLY","false","false","false","false","false","false","false"
"FINAL_APPLY_PACKAGE_REVIEW_0004","PRE_APPLY_DRYRUN_0004","EXEC_CANDIDATE_REVIEW_0004","PACKAGE_ARTIFACT_PLAN","VIA_v0114A_SandboxPatchCandidate_Manifest.json","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VDF\_integration_v0114F1_hotfix_release_candidate_package\RUN_20260622_213423_VIA_v0114F1_HOTFIX_RELEASE_CANDIDATE_PACKAGE\_release_candidate_package_only\candidate_artifacts\VIA_v0114A_SandboxPatchCandidate_Manifest.json","True","FINAL_PACKAGE_REVIEW_ONLY","READY_FOR_FINAL_SCRIPT_PREVIEW_REVIEW","v0114O_FINAL_APPLY_SCRIPT_PREVIEW_ONLY","false","false","false","false","false","false","false"
"FINAL_APPLY_PACKAGE_REVIEW_0005","PRE_APPLY_DRYRUN_0005","EXEC_CANDIDATE_REVIEW_0005","DIFF_REVIEW_PLAN","VIA_v0114A_DIFF_PREVIEW.csv","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VDF\_integration_v0114F1_hotfix_release_candidate_package\RUN_20260622_213423_VIA_v0114F1_HOTFIX_RELEASE_CANDIDATE_PACKAGE\_release_candidate_package_only\candidate_artifacts\VIA_v0114A_DIFF_PREVIEW.csv","True","FINAL_PACKAGE_REVIEW_ONLY","READY_FOR_FINAL_SCRIPT_PREVIEW_REVIEW","v0114O_FINAL_APPLY_SCRIPT_PREVIEW_ONLY","false","false","false","false","false","false","false"
"FINAL_APPLY_PACKAGE_REVIEW_0006","PRE_APPLY_DRYRUN_0006","EXEC_CANDIDATE_REVIEW_0006","REVIEW_EVIDENCE_PLAN","VIA_v0114C_SIMULATED_POLICY_REGISTRY.csv","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VDF\_integration_v0114F1_hotfix_release_candidate_package\RUN_20260622_213423_VIA_v0114F1_HOTFIX_RELEASE_CANDIDATE_PACKAGE\_release_candidate_package_only\review_evidence\VIA_v0114C_SIMULATED_POLICY_REGISTRY.csv","True","FINAL_PACKAGE_REVIEW_ONLY","READY_FOR_FINAL_SCRIPT_PREVIEW_REVIEW","v0114O_FINAL_APPLY_SCRIPT_PREVIEW_ONLY","false","false","false","false","false","false","false"
"FINAL_APPLY_PACKAGE_REVIEW_0007","PRE_APPLY_DRYRUN_0007","EXEC_CANDIDATE_REVIEW_0007","REVIEW_EVIDENCE_PLAN","VIA_v0114C_SIMULATED_ALIAS_REGISTRY.csv","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VDF\_integration_v0114F1_hotfix_release_candidate_package\RUN_20260622_213423_VIA_v0114F1_HOTFIX_RELEASE_CANDIDATE_PACKAGE\_release_candidate_package_only\review_evidence\VIA_v0114C_SIMULATED_ALIAS_REGISTRY.csv","True","FINAL_PACKAGE_REVIEW_ONLY","READY_FOR_FINAL_SCRIPT_PREVIEW_REVIEW","v0114O_FINAL_APPLY_SCRIPT_PREVIEW_ONLY","false","false","false","false","false","false","false"
"FINAL_APPLY_PACKAGE_REVIEW_0008","PRE_APPLY_DRYRUN_0008","EXEC_CANDIDATE_REVIEW_0008","REVIEW_EVIDENCE_PLAN","VIA_v0114C_SIMULATED_ROW_MAPPING.csv","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VDF\_integration_v0114F1_hotfix_release_candidate_package\RUN_20260622_213423_VIA_v0114F1_HOTFIX_RELEASE_CANDIDATE_PACKAGE\_release_candidate_package_only\review_evidence\VIA_v0114C_SIMULATED_ROW_MAPPING.csv","True","FINAL_PACKAGE_REVIEW_ONLY","READY_FOR_FINAL_SCRIPT_PREVIEW_REVIEW","v0114O_FINAL_APPLY_SCRIPT_PREVIEW_ONLY","false","false","false","false","false","false","false"
"FINAL_APPLY_PACKAGE_REVIEW_0009","PRE_APPLY_DRYRUN_0009","EXEC_CANDIDATE_REVIEW_0009","REVIEW_EVIDENCE_PLAN","VIA_v0114C_DRYRUN_ACTION_PLAN.csv","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VDF\_integration_v0114F1_hotfix_release_candidate_package\RUN_20260622_213423_VIA_v0114F1_HOTFIX_RELEASE_CANDIDATE_PACKAGE\_release_candidate_package_only\review_evidence\VIA_v0114C_DRYRUN_ACTION_PLAN.csv","True","FINAL_PACKAGE_REVIEW_ONLY","READY_FOR_FINAL_SCRIPT_PREVIEW_REVIEW","v0114O_FINAL_APPLY_SCRIPT_PREVIEW_ONLY","false","false","false","false","false","false","false"
"FINAL_APPLY_PACKAGE_REVIEW_0010","PRE_APPLY_DRYRUN_0010","EXEC_CANDIDATE_REVIEW_0010","REVIEW_EVIDENCE_PLAN","VIA_v0114D_ReviewSeal.json","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VDF\_integration_v0114F1_hotfix_release_candidate_package\RUN_20260622_213423_VIA_v0114F1_HOTFIX_RELEASE_CANDIDATE_PACKAGE\_release_candidate_package_only\review_evidence\VIA_v0114D_ReviewSeal.json","True","FINAL_PACKAGE_REVIEW_ONLY","READY_FOR_FINAL_SCRIPT_PREVIEW_REVIEW","v0114O_FINAL_APPLY_SCRIPT_PREVIEW_ONLY","false","false","false","false","false","false","false"
