id,label,label_zh,nodes,hidden,source
investment,Investment desk,投資研究工作台,140,False,browser DOM .investment-desk subtree
bottom,Bottom grid,端點／活動下方面板,138,False,browser DOM .bottom-grid subtree
content,Content grid,拓撲／建議面板,121,False,browser DOM .content-grid subtree
kpis,KPI grid,KPI 卡片,49,False,browser DOM .kpi-grid subtree
ui-lab,UI Lab,UI Lab（hidden）,22,True,browser DOM #uiLab subtree
topbar,Topbar,Topbar,24,False,browser DOM .topbar subtree
page-head,Page head,頁首標題區,18,False,browser DOM .page-head subtree
footer,Footer,Footer,8,False,browser DOM .app-footer subtree
addon,Add-on slot,Add-on slot,6,False,browser DOM .addon-slot subtree
main-other,Other main nodes,其他主內容節點,1,False,527 main nodes minus measured main subregions
