Date,Open,High,Low,Close,Volume
2021-08-13,507.39,514.26,498.42,503.88,5296720
2021-08-16,504.77,509.06,496.38,502.98,1882206
2021-08-17,509.11,513.22,504.86,508.02,2339461
2021-08-18,520.76,522.86,512.87,519.78,3773609
2021-08-19,516.67,522.14,516.1,518.11,5555607
2021-08-20,516.11,519.29,510.81,516.44,4268509
2021-08-23,533.25,533.16,518.19,528.83,4145104
2021-08-24,532.56,535.1,529.6,535.08,3599978
2021-08-25,535.76,532.38,530.15,531.47,4127872
2021-08-26,535.09,538.38,530.35,535.96,3768368
2021-08-27,535.92,536.1,531.62,532.39,2018225
2021-08-30,525.11,533.88,528.7,528.83,3457038
2021-08-31,532.46,531.38,529.04,530.91,1948581
2021-09-01,513.93,523.45,507.77,515.83,3887663
2021-09-02,499.08,508.38,498.53,502.64,2899375
2021-09-03,499.1,499.52,490.91,498.55,12110180
2021-09-06,493.61,494.65,488.67,491.13,3443066
2021-09-07,491.5,502.8,486.68,493.59,1660517
2021-09-08,483.36,487.42,485.22,487.01,3260488
2021-09-09,476.62,477.42,466.83,476.84,4680905
2021-09-10,487.26,494.85,484.42,487.47,8388092
2021-09-13,487.3,489.03,481.66,485.96,2472126
2021-09-14,488.91,491.59,483.72,486.6,1491554
2021-09-15,476.21,485.18,475.76,476.35,5436174
2021-09-16,476.99,478.37,463.37,472.6,1703636
2021-09-17,474.06,476.29,471.14,473.53,2654305
2021-09-20,464.69,466.55,460.57,465.5,3117705
2021-09-21,464.49,472.75,461.32,468.26,3250855
2021-09-22,463.57,465.91,455.07,464.18,4814816
2021-09-23,461.51,467.32,462.27,462.29,2369892
2021-09-24,460.46,466.89,453.62,458.26,2975249
2021-09-27,472.22,478.4,464.81,471.13,3701549
2021-09-28,468.39,473.48,467.67,471.17,3524631
2021-09-29,464.24,469.03,461.59,463.84,3700068
2021-09-30,471.28,470.36,463.92,469.7,4322210
2021-10-01,464.76,469.4,453.47,461.24,5433833
2021-10-04,464.88,464.32,460.22,462.82,4046391
2021-10-05,451.07,450.02,445.4,449.36,4697835
2021-10-06,440.67,442.59,431.79,440.54,1627381
2021-10-07,442.83,449.02,439.63,441.97,3406675
2021-10-08,449.79,449.3,445.5,447.0,4391053
2021-10-11,445.3,450.67,446.75,448.28,4774124
2021-10-12,446.86,452.88,440.68,447.64,2329053
2021-10-13,444.03,458.56,441.95,445.75,2400875
2021-10-14,436.83,436.12,434.19,436.0,2721678
2021-10-15,434.08,439.07,429.43,431.42,4498992
2021-10-18,427.29,435.69,428.39,428.57,5662941
2021-10-19,430.29,437.49,433.07,435.5,2881889
2021-10-20,436.97,440.51,426.8,437.87,5287664
2021-10-21,428.37,428.42,425.16,426.42,3931775
2021-10-22,429.78,432.9,427.59,428.62,3151332
2021-10-25,427.19,427.56,421.37,426.28,3021672
2021-10-26,421.49,425.31,420.45,422.08,4982286
2021-10-27,423.35,431.3,425.21,426.08,4029192
2021-10-28,433.91,433.23,425.2,432.79,11004173
2021-10-29,437.14,439.86,432.06,438.97,2287118
2021-11-01,438.31,437.38,431.56,433.58,4495909
2021-11-02,432.93,435.26,431.04,431.69,2563434
2021-11-03,432.71,434.95,433.65,433.97,2172437
2021-11-04,439.1,442.07,438.46,440.45,3494064
2021-11-05,437.21,441.41,436.56,437.42,3621991
2021-11-08,435.81,439.83,433.02,436.33,14238137
2021-11-09,431.62,435.63,424.37,429.22,3224385
2021-11-10,422.04,422.79,419.02,421.65,2021701
2021-11-11,425.35,427.0,424.22,426.91,3981116
2021-11-12,439.84,438.98,432.22,435.72,1278133
2021-11-15,435.49,445.94,431.49,435.38,3134294
2021-11-16,443.77,445.98,439.28,442.07,3548280
2021-11-17,443.25,447.88,443.47,444.6,5002863
2021-11-18,441.23,441.67,436.82,440.43,5568460
2021-11-19,443.64,443.25,442.8,442.95,2614068
2021-11-22,449.02,455.64,451.24,453.3,3386161
2021-11-23,457.76,460.28,450.85,453.19,2231368
2021-11-24,466.96,466.42,463.06,463.97,2080811
2021-11-25,444.99,449.42,444.96,445.87,4561114
2021-11-26,449.02,457.17,448.13,451.5,1838455
2021-11-29,453.02,453.56,451.43,452.23,2678273
2021-11-30,450.53,456.45,443.36,450.34,2029140
2021-12-01,451.89,453.2,448.88,451.09,4339148
2021-12-02,438.2,437.93,436.53,437.78,9233601
2021-12-03,437.57,443.52,435.35,436.47,1730758
2021-12-06,442.11,444.05,437.88,438.94,1330920
2021-12-07,450.07,452.1,448.52,448.8,3416148
2021-12-08,443.11,449.05,443.31,445.44,3417903
2021-12-09,443.17,441.06,436.33,440.18,3862341
2021-12-10,440.58,442.01,434.16,437.0,2709660
2021-12-13,450.11,447.63,437.79,443.13,3164431
2021-12-14,442.94,445.72,440.8,445.44,4031202
2021-12-15,442.58,443.93,439.88,442.04,5710029
2021-12-16,440.94,448.66,444.01,445.57,1279131
2021-12-17,447.59,447.14,442.92,446.36,2742204
2021-12-20,451.73,454.64,447.11,452.98,3907594
2021-12-21,452.65,452.05,446.3,448.34,2171438
2021-12-22,444.54,446.66,445.46,446.27,7947732
2021-12-23,440.03,448.54,441.14,443.78,2445648
2021-12-24,433.15,446.86,431.75,434.17,3548899
2021-12-27,431.92,438.14,434.43,436.23,4419085
2021-12-28,439.72,442.03,434.01,438.07,2483594
2021-12-29,433.71,448.59,438.1,438.24,1300936
2021-12-30,436.89,441.24,433.12,436.83,2680834
2021-12-31,423.24,430.33,425.23,427.68,6042034
2022-01-03,424.43,433.86,417.52,425.11,2845240
2022-01-04,426.53,423.14,421.53,423.05,2192818
2022-01-05,418.84,421.13,416.83,418.09,5497754
2022-01-06,415.4,417.97,416.44,417.2,2800065
2022-01-07,419.79,425.63,408.55,419.86,2613571
2022-01-10,431.9,434.65,430.35,431.86,4026277
2022-01-11,434.15,436.58,428.77,433.12,4876132
2022-01-12,431.95,437.03,434.51,434.93,10978609
2022-01-13,435.86,438.71,426.85,434.57,4963854
2022-01-14,416.48,422.71,421.85,422.19,6669518
2022-01-17,420.82,429.01,418.64,422.15,2539569
2022-01-18,421.63,424.03,418.79,422.66,1969056
2022-01-19,439.79,439.51,435.99,438.4,4000608
2022-01-20,437.32,438.55,436.76,437.27,3493550
2022-01-21,436.29,446.25,436.59,439.38,1952406
2022-01-24,437.12,443.16,431.64,439.28,2997998
2022-01-25,432.14,432.05,430.33,431.71,4335289
2022-01-26,439.07,440.04,431.19,439.24,4255883
2022-01-27,443.04,458.52,440.71,444.33,4450045
2022-01-28,448.65,451.08,447.57,449.74,4010921
2022-01-31,445.28,447.07,442.1,443.74,2706235
2022-02-01,452.03,455.14,451.42,453.21,2798071
2022-02-02,443.62,448.91,435.26,443.81,1981048
2022-02-03,452.71,448.36,446.6,447.85,8342691
2022-02-04,459.41,469.36,458.79,462.7,3836684
2022-02-07,451.74,460.16,455.74,455.97,3134049
2022-02-08,454.0,455.25,445.87,452.23,2138807
2022-02-09,451.5,461.53,452.8,453.04,14314202
2022-02-10,449.04,454.61,442.09,449.75,1980687
2022-02-11,437.71,441.39,433.95,439.43,2940972
2022-02-14,439.44,445.65,439.74,440.01,4051260
2022-02-15,436.59,433.43,429.01,433.13,4758172
2022-02-16,438.09,440.06,434.74,436.34,5472886
2022-02-17,432.31,432.54,423.12,430.45,8615584
2022-02-18,437.47,444.32,436.52,440.59,4706203
2022-02-21,433.04,438.35,428.74,435.55,2038347
2022-02-22,427.42,438.04,432.38,433.57,2940026
2022-02-23,437.22,440.46,437.92,438.99,4051321
2022-02-24,433.08,432.76,429.73,431.02,10029466
2022-02-25,433.74,436.75,424.38,432.62,1655289
2022-02-28,440.74,443.1,434.06,441.23,6557868
2022-03-01,430.68,439.61,421.17,430.72,4002570
2022-03-02,430.56,436.66,431.36,432.05,5046200
2022-03-03,434.3,433.97,432.58,433.86,3171694
2022-03-04,440.76,445.28,432.42,439.08,2274297
2022-03-07,427.58,431.41,424.7,431.06,5192779
2022-03-08,423.29,424.57,417.72,422.66,4976719
2022-03-09,428.08,430.62,425.17,426.09,5530948
2022-03-10,427.23,429.95,423.42,428.12,3324544
2022-03-11,431.36,430.66,427.32,429.85,2471097
2022-03-14,438.3,436.48,428.6,432.22,1540656
2022-03-15,427.71,433.02,425.34,427.94,5168030
2022-03-16,430.4,440.68,427.24,429.56,4117212
2022-03-17,429.98,434.08,429.21,431.57,2064332
2022-03-18,427.47,428.47,423.52,427.08,2627330
2022-03-21,440.17,440.01,434.31,439.16,2954692
2022-03-22,442.84,443.98,441.44,442.41,1615048
2022-03-23,432.42,436.11,429.35,434.64,2362804
2022-03-24,439.5,440.35,436.8,439.05,1948520
2022-03-25,435.93,433.49,429.66,432.76,2850241
2022-03-28,438.99,443.77,436.99,438.0,2396263
2022-03-29,447.89,450.23,440.49,445.75,1577262
2022-03-30,439.87,445.41,439.54,440.39,9526731
2022-03-31,448.56,452.77,444.51,446.89,6566099
2022-04-01,450.42,450.32,447.61,449.79,2286272
2022-04-04,453.31,465.14,450.45,455.47,3982622
2022-04-05,469.31,471.41,465.37,468.57,4606842
2022-04-06,464.67,473.04,465.07,466.98,6030290
2022-04-07,460.38,461.95,460.42,461.84,2290468
2022-04-08,456.25,460.37,452.0,455.82,6011763
2022-04-11,451.05,452.65,446.38,450.38,2634014
2022-04-12,447.32,453.77,447.59,449.99,1683427
2022-04-13,454.81,454.9,446.87,452.43,4822458
2022-04-14,455.74,455.53,451.55,454.44,6371764
2022-04-15,458.6,461.91,458.11,460.22,12680250
2022-04-18,456.91,462.25,450.84,460.45,1798762
2022-04-19,470.28,474.96,467.87,470.62,5148849
2022-04-20,467.85,476.47,468.75,468.9,2712231
2022-04-21,488.45,489.74,483.73,488.17,5830330
2022-04-22,492.0,498.9,488.28,492.9,1643016
2022-04-25,481.82,494.11,483.46,486.71,1847806
2022-04-26,478.11,483.82,477.64,479.04,2392687
2022-04-27,481.91,484.73,481.74,482.65,3528822
2022-04-28,482.7,483.12,470.4,481.17,2408714
2022-04-29,484.77,486.59,476.15,486.47,4795149
2022-05-02,494.18,494.5,487.1,490.07,5664744
2022-05-03,485.0,491.27,487.44,489.68,4429260
2022-05-04,486.78,489.31,470.32,483.61,7799394
2022-05-05,472.23,478.38,470.4,472.76,4475710
2022-05-06,471.76,471.92,467.27,469.74,1835888
2022-05-09,476.11,476.87,469.31,475.92,6888391
2022-05-10,480.31,478.94,475.75,477.59,2457921
2022-05-11,467.9,470.02,467.01,468.81,5627390
2022-05-12,467.58,472.92,469.5,470.16,7284444
2022-05-13,476.38,475.27,462.94,473.02,4232442
2022-05-16,466.63,470.96,463.31,466.89,1647381
2022-05-17,468.63,474.41,467.1,468.11,2092435
2022-05-18,471.55,469.25,466.28,468.66,6370705
2022-05-19,458.39,469.7,442.67,460.76,3256951
2022-05-20,464.76,468.01,453.72,463.38,3498087
2022-05-23,466.03,470.58,459.35,467.41,4985523
2022-05-24,474.83,477.59,473.78,475.15,5013505
2022-05-25,482.97,483.67,481.41,482.8,4060661
2022-05-26,469.42,474.63,472.75,472.97,3245025
2022-05-27,464.64,468.74,464.48,466.46,2988364
2022-05-30,473.38,473.18,467.52,470.2,5221487
2022-05-31,476.06,479.22,472.4,473.96,4484054
2022-06-01,477.62,479.73,470.52,477.77,2989732
2022-06-02,506.14,506.74,501.73,505.52,7246657
2022-06-03,509.25,513.43,507.88,510.0,3200590
2022-06-06,522.36,528.7,512.98,518.84,2320479
2022-06-07,525.9,527.12,524.05,526.42,2400097
2022-06-08,532.34,536.91,525.04,531.72,2104855
2022-06-09,532.4,535.23,526.54,529.37,2915927
2022-06-10,533.47,536.2,533.63,535.55,6411744
2022-06-13,533.63,541.01,525.64,529.51,2309121
2022-06-14,523.75,532.26,523.78,527.78,3650477
2022-06-15,528.37,526.91,520.51,524.1,2436230
2022-06-16,523.92,525.38,515.2,524.9,2891994
2022-06-17,542.62,545.09,542.33,543.28,1805471
2022-06-20,523.24,529.24,524.7,528.23,3333328
2022-06-21,532.61,537.61,533.3,533.83,3124427
2022-06-22,518.36,523.34,514.32,521.07,4794522
2022-06-23,515.97,520.2,513.82,517.54,3779013
2022-06-24,525.79,527.51,522.23,526.15,1944853
2022-06-27,529.34,530.71,525.79,526.81,5656977
2022-06-28,518.99,521.65,518.12,518.46,3919571
2022-06-29,513.84,517.85,512.58,513.05,3798171
2022-06-30,515.59,524.06,517.12,518.43,3424782
2022-07-01,510.65,515.66,512.31,512.91,2657849
2022-07-04,519.36,518.89,513.62,514.73,3709768
2022-07-05,513.34,517.13,507.1,515.23,4166971
2022-07-06,514.58,519.73,505.32,510.35,1429498
2022-07-07,526.28,528.1,522.34,526.92,2902307
2022-07-08,532.09,533.94,529.66,532.09,3018907
2022-07-11,518.84,516.18,511.49,516.08,4274520
2022-07-12,520.97,519.25,512.74,517.68,6028573
2022-07-13,512.41,516.8,508.21,512.7,2329445
2022-07-14,518.4,527.8,511.76,519.41,2715264
2022-07-15,513.24,518.8,510.29,513.39,2676594
2022-07-18,513.52,518.13,511.48,512.66,2205172
2022-07-19,519.0,521.61,508.22,516.7,2856265
2022-07-20,523.57,532.52,521.51,523.56,5125400
2022-07-21,515.88,514.83,509.17,514.29,2100956
2022-07-22,516.06,512.73,509.48,511.86,4144202
2022-07-25,509.34,508.73,505.12,508.37,1443527
2022-07-26,504.33,509.39,502.58,503.54,2586295
2022-07-27,513.1,521.82,515.35,517.03,3143748
2022-07-28,513.48,521.56,514.35,520.32,7793542
2022-07-29,511.63,515.62,510.2,510.64,3114520
2022-08-01,517.58,520.42,502.33,517.82,1163978
2022-08-02,533.09,535.47,533.46,534.46,1396592
2022-08-03,543.56,548.33,534.05,542.9,3587582
2022-08-04,530.53,545.03,524.29,530.69,4942850
2022-08-05,529.97,530.57,522.9,526.99,4081409
2022-08-08,537.4,540.68,534.66,537.17,3897808
2022-08-09,529.64,541.36,523.54,531.63,6146657
2022-08-10,537.97,538.06,530.24,535.32,2582838
2022-08-11,541.12,549.15,532.24,541.7,5418580
2022-08-12,535.74,535.07,529.35,534.34,1543863
2022-08-15,532.74,539.11,532.76,534.02,2085430
2022-08-16,506.56,516.41,502.44,508.22,1644383
2022-08-17,500.77,507.14,495.02,500.56,3063915
2022-08-18,498.84,506.99,494.7,498.81,3249987
2022-08-19,490.8,493.26,486.65,489.63,3779636
2022-08-22,501.09,502.14,499.11,501.76,3789610
2022-08-23,486.64,499.02,485.96,491.15,2273331
2022-08-24,487.0,489.26,482.08,488.05,3066038
2022-08-25,491.1,493.28,487.89,489.16,1563627
2022-08-26,499.14,510.73,498.12,499.88,7171389
2022-08-29,488.66,490.12,486.47,489.26,3106814
2022-08-30,500.4,498.56,488.88,497.95,2787276
2022-08-31,496.4,500.92,496.83,498.17,7251617
2022-09-01,487.2,491.2,481.6,490.99,1883247
2022-09-02,494.14,502.92,494.2,494.54,1929412
2022-09-05,494.96,499.25,489.37,496.16,1920672
2022-09-06,489.47,492.8,482.07,491.84,3297451
2022-09-07,492.08,496.16,488.02,492.51,4083758
2022-09-08,491.01,496.27,489.29,489.81,4861548
2022-09-09,490.77,493.79,484.59,490.79,11946652
2022-09-12,496.57,495.99,491.61,495.81,1115906
2022-09-13,512.36,509.94,505.0,507.76,4965871
2022-09-14,497.63,501.93,497.48,498.48,2700202
2022-09-15,515.29,521.82,513.22,514.58,2831976
2022-09-16,498.39,500.08,493.31,499.67,2745399
2022-09-19,496.57,506.18,495.02,498.68,2095809
2022-09-20,501.76,507.05,501.78,503.23,7935651
2022-09-21,504.29,505.92,497.13,505.5,5093480
2022-09-22,501.83,508.23,496.12,500.93,3456643
2022-09-23,505.38,501.06,498.9,499.52,6514352
2022-09-26,494.2,499.7,495.51,495.97,1588968
2022-09-27,490.71,493.31,486.18,491.74,1752341
2022-09-28,497.99,504.83,486.14,498.15,1171971
2022-09-29,501.96,510.36,493.37,500.97,2369469
2022-09-30,496.56,496.48,492.93,495.91,3723167
2022-10-03,505.98,503.56,502.39,502.75,3678901
2022-10-04,499.09,508.61,504.15,505.22,3608930
2022-10-05,505.43,512.62,506.66,511.53,1715238
2022-10-06,515.24,520.4,516.12,516.52,5122482
2022-10-07,513.05,511.88,508.93,510.25,3908713
2022-10-10,502.15,510.14,499.83,506.11,4907334
2022-10-11,504.24,517.45,510.23,511.94,1341865
2022-10-12,518.26,516.89,515.98,516.78,4000538
2022-10-13,517.4,526.6,506.91,516.77,1805205
2022-10-14,515.01,518.15,513.38,517.84,2707632
2022-10-17,525.32,531.66,525.73,527.92,4685849
2022-10-18,520.85,531.31,513.51,523.39,3568019
2022-10-19,528.14,537.36,524.91,527.84,2226369
2022-10-20,524.75,534.74,519.37,526.4,3324096
2022-10-21,526.14,526.24,522.29,524.84,1542553
2022-10-24,526.03,536.36,525.39,533.65,6297775
2022-10-25,538.1,548.96,534.56,540.41,3137180
2022-10-26,544.09,552.07,544.59,547.17,6076333
2022-10-27,557.34,560.75,557.53,558.05,2762118
2022-10-28,556.89,559.21,550.99,558.39,2523815
2022-10-31,566.52,573.37,557.01,564.27,2348327
2022-11-01,556.59,566.85,553.97,561.82,5176415
2022-11-02,564.85,566.23,561.42,564.72,2351983
2022-11-03,565.36,568.81,557.93,563.78,4549484
2022-11-04,570.02,576.93,556.19,564.77,2723722
2022-11-07,568.61,574.08,553.84,569.98,1273299
2022-11-08,564.07,564.35,560.62,563.16,2605111
2022-11-09,575.76,586.74,577.8,581.0,2100131
2022-11-10,565.56,573.16,565.54,572.41,3570784
2022-11-11,564.53,562.59,559.55,562.16,1964157
2022-11-14,572.08,573.38,569.74,572.09,5652779
2022-11-15,582.47,582.82,572.38,579.06,3313633
2022-11-16,580.64,585.64,573.72,584.65,3135754
2022-11-17,591.87,592.95,588.04,590.34,4758422
2022-11-18,595.92,596.84,589.28,590.41,5296383
2022-11-21,583.86,590.86,580.02,582.64,3449261
2022-11-22,584.28,584.05,580.5,583.47,2239043
2022-11-23,577.75,577.83,577.52,577.72,1412859
2022-11-24,581.74,590.5,571.76,586.35,2492894
2022-11-25,589.2,586.59,581.38,585.23,2423875
2022-11-28,576.39,583.67,575.54,578.16,3657120
2022-11-29,577.0,577.2,569.89,575.54,2813047
2022-11-30,574.75,582.83,578.94,579.28,4760771
2022-12-01,571.17,576.63,571.99,574.56,2504195
2022-12-02,571.72,574.14,565.7,567.64,3368255
2022-12-05,568.9,570.51,568.92,569.89,6025899
2022-12-06,576.31,572.34,566.65,572.15,3955391
2022-12-07,567.75,569.16,566.8,567.97,3288200
2022-12-08,558.94,564.86,560.69,564.13,2501237
2022-12-09,568.79,576.92,565.38,566.26,2426866
2022-12-12,552.5,557.18,550.88,554.13,2365365
2022-12-13,544.5,543.11,541.39,542.6,2753795
2022-12-14,536.98,537.78,533.08,536.92,5019748
2022-12-15,531.23,540.86,524.38,535.36,2968181
2022-12-16,538.46,544.83,531.78,538.02,1705942
2022-12-19,556.12,554.85,548.23,550.08,8801047
2022-12-20,558.7,562.73,554.95,557.33,4088673
2022-12-21,556.0,558.53,549.5,556.16,1634698
2022-12-22,559.15,559.76,548.54,556.16,2621217
2022-12-23,548.55,557.7,544.08,547.97,3710006
2022-12-26,548.55,554.52,546.4,547.98,7666782
2022-12-27,542.79,550.79,541.49,545.77,1916273
2022-12-28,549.22,554.07,539.06,548.58,5462403
2022-12-29,544.74,545.57,537.29,541.93,6979749
2022-12-30,544.04,553.93,543.28,546.32,2483866
2023-01-02,563.03,560.44,557.9,559.04,3176854
2023-01-03,558.04,559.91,551.59,558.3,1960049
2023-01-04,559.34,563.29,559.61,561.83,3046207
2023-01-05,570.65,568.58,566.01,567.82,3380708
