Date,Ticker,MainForceNetAmount,BranchConcentration
2025-10-01,1503.TW,1518644.3620689618,0.16554588669543163
2025-10-02,1503.TW,-1318574.6001679518,0.11834072951078901
2025-10-03,1503.TW,504059.1035985558,0.10015758677124055
2025-10-06,1503.TW,-950598.1309380792,0.13726907954775808
2025-10-07,1503.TW,-11037.70413150327,0.14768709806892794
2025-10-08,1503.TW,1424930.9162729587,0.15332317285798458
2025-10-09,1503.TW,-452031.02553724876,0.12433609128024539
2025-10-10,1503.TW,455515.46133736253,0.09265609449084383
2025-10-13,1503.TW,-277178.1116368603,0.11298248985749754
2025-10-14,1503.TW,-235729.10739398393,0.10064419986381273
2025-10-15,1503.TW,-653781.6390751932,0.1263436117216447
2025-10-16,1503.TW,-220175.72523120922,0.09573782547551772
2025-10-17,1503.TW,-544039.3442273488,0.12930231606834028
2025-10-20,1503.TW,-690864.0784390939,0.09882405518271005
2025-10-21,1503.TW,429011.68335106276,0.1350566423109515
2025-10-22,1503.TW,71159.10404493767,0.0865214518018465
2025-10-23,1503.TW,767327.9646853874,0.11350545586252773
2025-10-24,1503.TW,169083.88553318236,0.06383145255253886
2025-10-27,1503.TW,-124637.61765839509,0.07472957866214829
2025-10-28,1503.TW,-824441.5862597275,0.14132972554864778
2025-10-29,1503.TW,-43456.21345218606,0.11360445630730588
2025-10-30,1503.TW,279733.1200208913,0.08847776180740356
2025-10-31,1503.TW,354848.6350906499,0.12839890104988427
2025-11-03,1503.TW,-7624.509352968438,0.05560130000529616
2025-11-04,1503.TW,305004.7840688145,0.13542564463690687
2025-11-05,1503.TW,-77052.42339228783,0.08893041931072843
2025-11-06,1503.TW,-428616.7211309567,0.09082525246816947
2025-11-07,1503.TW,-764199.3702743761,0.09426967693499395
2025-11-10,1503.TW,2599350.1759520867,0.1536831395615056
2025-11-11,1503.TW,-985979.7441356113,0.10370766693525599
2025-11-12,1503.TW,-809359.8029608332,0.09370417457839379
2025-11-13,1503.TW,-1881215.3018400765,0.12520259260478223
2025-11-14,1503.TW,-553493.4056193361,0.11271490257957142
2025-11-17,1503.TW,987947.8367905508,0.11043131175492847
2025-11-18,1503.TW,299160.0805676117,0.13831523719097638
2025-11-19,1503.TW,-1049949.1436346446,0.14794462652196438
2025-11-20,1503.TW,-177224.21542422296,0.10389838963425767
2025-11-21,1503.TW,-392349.11373996723,0.1125351200860241
