Date,Ticker,Adj_Close,Volume,TurnoverValue,DayTradeTurnover,MarketCap
2025-10-01,1503.TW,53.849999999999994,895436.3875375616,48219249.468897685,11659436.45660162,4534169999.999999
2025-10-02,1503.TW,53.46518195528032,1045679.5345709625,55907446.58274935,16605263.37414397,4501768320.6346035
2025-10-03,1503.TW,53.659668741213885,1061629.38548084,56966681.150840335,15237095.041117413,4518144108.010209
2025-10-06,1503.TW,53.619980626730865,1917044.025357936,102791863.50028269,22403760.584367037,4514802368.770739
2025-10-07,1503.TW,54.50132974488374,1022208.2638855638,55711709.65797225,13483814.669270732,4589011964.519211
2025-10-08,1503.TW,55.05267146227885,921599.5195315487,50736515.56856439,6624931.616614073,4635434937.123879
2025-10-09,1503.TW,54.77780546821345,832504.2259501523,45602754.540563054,8554267.1990675,4612291220.423573
2025-10-10,1503.TW,54.59053140788614,938850.3123558854,51252337.46396767,11255128.87982207,4596522744.544013
2025-10-13,1503.TW,54.24355455494992,923589.6280976454,50098784.37810053,11620661.550407996,4567307293.526783
2025-10-14,1503.TW,53.28274117196134,1610313.6213961071,85801923.89453253,12896423.444279853,4486406806.679145
2025-10-15,1503.TW,52.772981972709495,1342040.587935543,70823483.75376686,10090567.379003953,4443485082.102139
2025-10-16,1503.TW,53.18719564153419,711216.9068362637,37827632.767467156,9443290.238663966,4478361873.017179
2025-10-17,1503.TW,53.42549245650229,825129.5754977586,44082953.911392435,11977389.351178853,4498426464.837493
2025-10-20,1503.TW,53.4861142693593,984459.1487578435,52654894.5239782,11251863.471021451,4503530821.480053
2025-10-21,1503.TW,53.421960194424564,609332.6753454325,32551745.92746592,8798200.61697669,4498129048.370548
2025-10-22,1503.TW,54.21099191043056,781366.056104412,42358628.94656131,5442904.0051255515,4564565518.858253
2025-10-23,1503.TW,54.93489383733872,1066886.1086903955,58609275.117438294,12045173.1980161,4625518061.10392
2025-10-24,1503.TW,55.97466068219302,1273065.195967225,71259392.37057497,15770473.838126738,4713066429.440652
2025-10-27,1503.TW,55.60523534696387,711799.0383184135,39579753.04543794,6729052.975584549,4681960816.214358
2025-10-28,1503.TW,55.643610328445256,1182425.768183137,65794438.68709502,13983435.413691439,4685191989.65509
2025-10-29,1503.TW,55.34108324456768,929014.7470795308,51412682.4535593,7414853.912679979,4659719209.192598
2025-10-30,1503.TW,56.60417693247144,1439787.7286156402,81497999.33576088,16097689.942818316,4766071697.714095
2025-10-31,1503.TW,56.252329099778315,750556.6482120275,42220559.58324951,12596492.020850053,4736446110.201334
2025-11-03,1503.TW,55.70287626637323,2106788.669052538,117354188.55163066,22669441.040968068,4690182181.628626
2025-11-04,1503.TW,55.98630900086911,510166.213746483,28562323.284614034,6897456.596472491,4714047217.873179
2025-11-05,1503.TW,57.03129430343306,305648.4157103601,17431524.7497556,4208118.821885283,4802034980.349064
2025-11-06,1503.TW,56.81891141343493,1000341.1148004803,56838293.18506523,14902710.685912184,4784152341.011221
2025-11-07,1503.TW,56.18207329963053,1501452.7206362775,84354726.80671702,21752397.44872586,4730530571.828891
2025-11-10,1503.TW,56.69386172631213,1295322.2237641723,73436819.04510513,20286020.293906696,4773623157.355481
2025-11-11,1503.TW,56.38022202471037,1115578.7555790937,62896577.9255994,10619626.795647623,4747214694.480613
2025-11-12,1503.TW,56.71001726248044,1125204.933547389,63810391.205300584,11414124.792496677,4774983453.500854
2025-11-13,1503.TW,56.52674693768614,2121498.994862046,119921436.81112239,23458451.02866182,4759552092.153173
