CandidateGroupId,GroupName,TickerCode,Ticker,Name,Market,MarketLabel,CandidateRole,SizeTier,SizeBucketPolicy,CapitalControlStyle,SourceReportedMemberScore1,SourceReportedMemberScore2,SourceReportedChange1D,EvidenceTier,CandidateIdPolicy,SourceVersion,CanonicalMutation,VerificationIssue
C49-001,工具機,2049,2049.TW,上銀,TWSE,上市,LEADER,NEEDS_FETCH,ROLLING_MARKET_CAP_P90_P60_QUARTERLY_APPEND_ONLY,NEEDS_FETCH,0.66,0.6,0.92,SOURCE_REPORTED_SOURCED_UNVERIFIED,NONCANONICAL_CANDIDATE_ID,ATTACHED_FLOWROT_V21_2026-08-18,0,
C49-001,工具機,1583,1583.TW,程泰,TWSE,上市,PEER,NEEDS_FETCH,ROLLING_MARKET_CAP_P90_P60_QUARTERLY_APPEND_ONLY,NEEDS_FETCH,0.48,0.43,0.38,SOURCE_REPORTED_SOURCED_UNVERIFIED,NONCANONICAL_CANDIDATE_ID,ATTACHED_FLOWROT_V21_2026-08-18,0,
C49-001,工具機,1530,1530.TW,亞崴,TWSE,上市,PEER,NEEDS_FETCH,ROLLING_MARKET_CAP_P90_P60_QUARTERLY_APPEND_ONLY,NEEDS_FETCH,0.44,0.39,0.28,SOURCE_REPORTED_SOURCED_UNVERIFIED,NONCANONICAL_CANDIDATE_ID,ATTACHED_FLOWROT_V21_2026-08-18,0,
C49-001,工具機,4526,4526.TW,東台,TWSE,上市,LAGGARD,NEEDS_FETCH,ROLLING_MARKET_CAP_P90_P60_QUARTERLY_APPEND_ONLY,NEEDS_FETCH,0.25,0.19,-0.44,SOURCE_REPORTED_SOURCED_UNVERIFIED,NONCANONICAL_CANDIDATE_ID,ATTACHED_FLOWROT_V21_2026-08-18,0,
C49-002,工業電腦,2395,2395.TW,研華,TWSE,上市,LEADER,NEEDS_FETCH,ROLLING_MARKET_CAP_P90_P60_QUARTERLY_APPEND_ONLY,NEEDS_FETCH,0.71,0.65,1.12,SOURCE_REPORTED_SOURCED_UNVERIFIED,NONCANONICAL_CANDIDATE_ID,ATTACHED_FLOWROT_V21_2026-08-18,0,
C49-002,工業電腦,6414,6414.TW,樺漢,TWSE,上市,PEER,NEEDS_FETCH,ROLLING_MARKET_CAP_P90_P60_QUARTERLY_APPEND_ONLY,NEEDS_FETCH,0.54,0.49,0.58,SOURCE_REPORTED_SOURCED_UNVERIFIED,NONCANONICAL_CANDIDATE_ID,ATTACHED_FLOWROT_V21_2026-08-18,0,
C49-002,工業電腦,6166,6166.TW,凌華,TWSE,上市,PEER,NEEDS_FETCH,ROLLING_MARKET_CAP_P90_P60_QUARTERLY_APPEND_ONLY,NEEDS_FETCH,0.48,0.43,0.4,SOURCE_REPORTED_SOURCED_UNVERIFIED,NONCANONICAL_CANDIDATE_ID,ATTACHED_FLOWROT_V21_2026-08-18,0,
C49-002,工業電腦,2397,2397.TW,友通,TWSE,上市,PEER,NEEDS_FETCH,ROLLING_MARKET_CAP_P90_P60_QUARTERLY_APPEND_ONLY,NEEDS_FETCH,0.45,0.4,0.32,SOURCE_REPORTED_SOURCED_UNVERIFIED,NONCANONICAL_CANDIDATE_ID,ATTACHED_FLOWROT_V21_2026-08-18,0,
C49-002,工業電腦,8234,8234.TWO,新漢,TPEX,上櫃,LAGGARD,NEEDS_FETCH,ROLLING_MARKET_CAP_P90_P60_QUARTERLY_APPEND_ONLY,NEEDS_FETCH,0.26,0.2,-0.44,SOURCE_REPORTED_SOURCED_UNVERIFIED,NONCANONICAL_CANDIDATE_ID,ATTACHED_FLOWROT_V21_2026-08-18,0,
C49-003,太陽能與儲能,6443,6443.TW,元晶,TWSE,上市,LEADER,NEEDS_FETCH,ROLLING_MARKET_CAP_P90_P60_QUARTERLY_APPEND_ONLY,NEEDS_FETCH,0.55,0.5,0.58,SOURCE_REPORTED_SOURCED_UNVERIFIED,NONCANONICAL_CANDIDATE_ID,ATTACHED_FLOWROT_V21_2026-08-18,0,
