date,ticker,sector,att_share,size_tier,role,capital_style,foreign_pattern,valid_member,rolling_corr,consistency,momentum_z,vwsp_z,z_foreign,z_sitc,z_dealer,z_margin_buy,z_margin_short,daytrade_ratio
2025-01-02,2600,航運,0.08355151476160108,Mid,PEER,Mixed,Neutral,,,,,,,,,,,0.1467010916782267
2025-01-03,2600,航運,0.10417560142772983,Large,PEER,Mixed,Sudden_Withdrawal,,,,,-0.689428152772479,-0.6929646455628167,-0.6929646455628166,-0.6929646455628166,0.6929646455628158,0.6929646455628167,0.27947569075866924
2025-01-06,2600,航運,0.10562133655043332,Large,PEER,Mixed,Contrarian,,,-0.35640590057004823,-0.6894290992583075,0.5169580178055613,0.7826870020104535,0.7826870020104532,0.7826870020104533,1.0094474774692745,-0.600477208167976,0.09464806330800343
2025-01-07,2600,航運,0.07109049852941907,Mid,PEER,Mixed,Sudden_Withdrawal,,,-0.34915584263861166,-0.9902914677754129,0.3525788659201054,-0.3521820801356198,-0.3521820801356198,-0.35218208013561975,0.7045968412506403,-0.6895428700197785,0.15791045753726224
2025-01-08,2600,航運,0.11088403446949992,Large,PEER,Mixed,Sudden_Withdrawal,,,-0.4007769865366373,0.9669371418355968,-0.41448091007841265,0.035423827720450225,0.03542382772045031,0.03542382772045022,1.6519224319266874,-0.36813563593190074,0.23216759468999495
2025-01-09,2600,航運,0.04869817073929262,Mid,PEER,Mixed,Neutral,,,-1.7150230412774552,-1.0980932231595373,1.5618191653554052,0.4153423577741082,0.4153423577741083,0.41534235777410805,1.682533779459544,-0.0023071350293392533,0.6801436117442302
2025-01-10,2600,航運,0.09620589901140575,Large,PEER,Mixed,Neutral,,,0.14864123975415847,0.30918466786974774,0.4807522985479265,0.9970557043800011,0.9970557043800015,0.9970557043800008,-0.47927488648421357,-0.845180909509127,0.4289645870591221
2025-01-13,2600,航運,0.07616701611873955,Large,PEER,Mixed,Neutral,,,0.43703612694434657,-0.711483417274158,-0.61426045405067,1.2129666678877893,1.2129666678877893,1.2129666678877888,-0.6236658094328585,-0.30468374801990517,0.4952746025924139
2025-01-14,2600,航運,0.08959197022018685,Large,PEER,Mixed,Neutral,,,0.3622275155650987,0.694045651551674,0.5219073338407476,-0.6557507067459191,-0.655750706745919,-0.6557507067459188,0.015458733114111589,1.8113663892774647,0.27303613793215525
2025-01-15,2600,航運,0.04737780232888448,Small,PEER,Mixed,Neutral,false,,2.1753876374462675,-1.149677995169782,-1.8921712397609305,1.0597764279946404,1.0597764279946404,1.0597764279946402,-0.6842701323033207,-0.888713319915854,0.4097096920874254
2025-01-16,2600,航運,0.08332217882319548,Mid,PEER,Mixed,Trend_Following,,,-0.08140359908731458,0.36568455099595565,-0.22260606543428976,0.9264649304023949,0.9264649304023949,0.9264649304023946,-0.03856514371650859,-0.8451798442874824,0.42883973669808084
2025-01-17,2600,航運,0.07799937974442782,Mid,PEER,Mixed,Trend_Following,,,-0.036843839797005576,0.09283594055558356,-0.3968704316077468,1.079698842762191,1.0796988427621912,1.0796988427621907,-0.4459230571335963,-0.5919527614727621,0.3539876607265616
2025-01-20,2600,航運,0.08733212034089617,Large,PEER,Mixed,Neutral,,,0.1789824104111056,0.14338876951783439,1.248231720050043,-1.6120231900792077,-1.6120231900792077,-1.6120231900792072,0.1783106666270019,0.017177333357034523,0.4977966952539551
