group,file,reason
USED,VIA_EnvManager.py,主動式 ETF 資料層依賴（eco守門/並行/取數防護/SSOT 規則）
USED,VIA_SSOT_Unified.py,主動式 ETF 資料層依賴（eco守門/並行/取數防護/SSOT 規則）
USED,VeritasAegisNexus.py,主動式 ETF 資料層依賴（eco守門/並行/取數防護/SSOT 規則）
USED,VeritasCeleritas.py,主動式 ETF 資料層依賴（eco守門/並行/取數防護/SSOT 規則）
OTHER,Invoke-VIA-ALL - 複製.ps1,備份/複本
OTHER,Invoke-VIA-ALL.ps1,VRN/VIA 批次入口腳本
OTHER,Invoke-VIA-FinishProject-SafeFast - 複製.ps1,備份/複本
OTHER,Invoke-VIA-FinishProject-SafeFast.ps1,VRN/VIA 批次入口腳本
OTHER,Invoke-VIA-PanoramaHardGateSafeFix - 複製.ps1,備份/複本
OTHER,Invoke-VIA-PanoramaHardGateSafeFix.ps1,HardGate/封印/防火牆（VRN runtime 治理）
OTHER,Invoke-VIA-SupportiveHardGate - 複製.ps1,備份/複本
OTHER,Invoke-VIA-SupportiveHardGate.ps1,HardGate/封印/防火牆（VRN runtime 治理）
OTHER,Invoke-VRN-Guarded-Entry-v217 - 複製.ps1,備份/複本
OTHER,Invoke-VRN-Guarded-Entry-v217.ps1,VRN 財報管線/政策/指令中心
OTHER,Invoke-VRN-MQ-NoOCR-Staging-v222 - 複製.ps1,備份/複本
OTHER,Invoke-VRN-MQ-NoOCR-Staging-v222.ps1,VRN 財報管線/政策/指令中心
OTHER,Invoke-VRN-PURE-NOHANG-v2192 - 複製.ps1,備份/複本
OTHER,Invoke-VRN-PURE-NOHANG-v2192.ps1,VRN 財報管線/政策/指令中心
OTHER,Invoke-VRN-Resonance-NOHANG-v2191 - 複製.ps1,備份/複本
OTHER,Invoke-VRN-Resonance-NOHANG-v2191.ps1,VRN 財報管線/政策/指令中心
OTHER,Invoke-VRN-SafePrecheck-v216 - 複製.ps1,備份/複本
OTHER,Invoke-VRN-SafePrecheck-v216.ps1,VRN 財報管線/政策/指令中心
OTHER,Invoke-VRN-Supportive-TriPass-v224 - 複製.ps1,備份/複本
OTHER,Invoke-VRN-Supportive-TriPass-v224.ps1,VRN 財報管線/政策/指令中心
OTHER,Invoke-VRN-VisualLock-NOHANG-v2193 - 複製.ps1,備份/複本
OTHER,Invoke-VRN-VisualLock-NOHANG-v2193.ps1,VRN 財報管線/政策/指令中心
OTHER,LL34_entry - 複製.md,備份/複本
OTHER,LL34_entry.md,索引/設定/清單
OTHER,VIA_ENV_PARTITION_v2 - 複製.ps1,備份/複本
OTHER,VIA_ENV_PARTITION_v2.ps1,環境分割/SSOT增補/LL 腳本（非 active-ETF）
OTHER,VIA_HardGate_SealEngine.py,HardGate/封印/防火牆（VRN runtime 治理）
OTHER,VIA_HardGate_SealEngine.py.bak_v139O_20260526_163545,備份/複本
OTHER,VIA_LL34_Append.ps1,環境分割/SSOT增補/LL 腳本（非 active-ETF）
OTHER,VIA_Panorama_AST_RuntimeInjector.py,執行期橋接/登錄/注入（active-ETF 不呼叫）
OTHER,VIA_Panorama_AST_RuntimeInjector.py.bak_v139Q_20260526_164757,備份/複本
OTHER,VIA_RegistryCore_v1.py,執行期橋接/登錄/注入（active-ETF 不呼叫）
OTHER,VIA_RegistryCore_v1.py.bak_v139Q_20260526_164757,備份/複本
OTHER,VIA_RuntimeImportFirewall.py,HardGate/封印/防火牆（VRN runtime 治理）
OTHER,VIA_RuntimeImportFirewall.py.bak_v139O_20260526_163545,備份/複本
OTHER,VIA_Runtime_Bridge_All_in_One.py,執行期橋接/登錄/注入（active-ETF 不呼叫）
OTHER,VIA_Runtime_Bridge_All_in_One.py.bak_v139Q_20260526_164758,備份/複本
OTHER,VIA_SSOT_PanoramicAugmenter_v2 - 複製.ps1,備份/複本
OTHER,VIA_SSOT_PanoramicAugmenter_v2.ps1,環境分割/SSOT增補/LL 腳本（非 active-ETF）
OTHER,VIA_SSOT_Unified.py - 複製.bak_v139Q_20260526_164758,備份/複本
OTHER,VIA_SSOT_Unified.py.bak_v139Q_20260526_164758,備份/複本
OTHER,VIA_Supportive_HardGate_Seal - 複製.json,備份/複本
OTHER,VIA_Supportive_HardGate_Seal - 複製.ps1,備份/複本
