"Path","Name","Extension","Bytes","Size","LastWriteTime","Attributes","Action","Risk","Message"
"C:\Users\tonyk\OneDrive\桌面\tw_stock\TAData.parquet","TAData.parquet",".parquet","1119621457","1.04 GB","2025/1/23 下午 05:38:31","4199968","REVIEW_ONEDRIVE_FREE_UP_SPACE","MEDIUM","Candidate for OneDrive online-only review. Cloud copy should remain if synced, but user should review first."
"C:\Users\tonyk\OneDrive\Documents\VeritasIntelligenceAnalytics\VIA_VRN_FINAL_ARCHIVE_TURBO_20260602_055208.zip","VIA_VRN_FINAL_ARCHIVE_TURBO_20260602_055208.zip",".zip","298128383","284.32 MB","2026/6/2 上午 06:07:36","Archive","REVIEW_ONEDRIVE_FREE_UP_SPACE","MEDIUM","Candidate for OneDrive online-only review. Cloud copy should remain if synced, but user should review first."
"C:\Users\tonyk\OneDrive\Documents\VeritasIntelligenceAnalytics\VIA_VRN_FINAL_ARCHIVE_20260602_052456.zip","VIA_VRN_FINAL_ARCHIVE_20260602_052456.zip",".zip","297906965","284.11 MB","2026/6/2 上午 05:35:18","Archive","REVIEW_ONEDRIVE_FREE_UP_SPACE","MEDIUM","Candidate for OneDrive online-only review. Cloud copy should remain if synced, but user should review first."
"C:\Users\tonyk\OneDrive\桌面\tw_stock_output\ta_analysis\technical_analysis\technical_analysis_20250117_205033.parquet","technical_analysis_20250117_205033.parquet",".parquet","182867396","174.40 MB","2025/1/17 下午 08:51:14","4199968","REVIEW_ONEDRIVE_FREE_UP_SPACE","MEDIUM","Candidate for OneDrive online-only review. Cloud copy should remain if synced, but user should review first."
"C:\Users\tonyk\OneDrive\Documents\VeritasIntelligenceAnalytics\VIA_VRN_FINAL_ARCHIVE_TURBO_20260602_054737\ARCHIVE\module\VDF\_fx_rates_beta_runs\latest_adj_tw\rolling_beta.parquet","rolling_beta.parquet",".parquet","133171946","127.00 MB","2026/5/1 上午 01:39:19","Archive","REVIEW_ONEDRIVE_FREE_UP_SPACE","MEDIUM","Candidate for OneDrive online-only review. Cloud copy should remain if synced, but user should review first."
"C:\Users\tonyk\OneDrive\Documents\VeritasIntelligenceAnalytics\VIA_VRN_FINAL_ARCHIVE_TURBO_20260602_091358\ARCHIVE\module\VDF\_fx_rates_beta_runs\latest_adj_tw\rolling_beta.parquet","rolling_beta.parquet",".parquet","133171946","127.00 MB","2026/5/1 上午 01:39:19","Archive","REVIEW_ONEDRIVE_FREE_UP_SPACE","MEDIUM","Candidate for OneDrive online-only review. Cloud copy should remain if synced, but user should review first."
"C:\Users\tonyk\OneDrive\Documents\VeritasIntelligenceAnalytics\VIA_VRN_FINAL_ARCHIVE_TURBO_20260602_061318\ARCHIVE\module\VDF\_fx_rates_beta_runs\latest_adj_tw\rolling_beta.parquet","rolling_beta.parquet",".parquet","133171946","127.00 MB","2026/5/1 上午 01:39:19","Archive","REVIEW_ONEDRIVE_FREE_UP_SPACE","MEDIUM","Candidate for OneDrive online-only review. Cloud copy should remain if synced, but user should review first."
"C:\Users\tonyk\OneDrive\Documents\VeritasIntelligenceAnalytics\VIA_VRN_FINAL_ARCHIVE_TURBO_20260602_055208\ARCHIVE\module\VDF\_fx_rates_beta_runs\latest_adj_tw\rolling_beta.parquet","rolling_beta.parquet",".parquet","133171946","127.00 MB","2026/5/1 上午 01:39:19","Archive","REVIEW_ONEDRIVE_FREE_UP_SPACE","MEDIUM","Candidate for OneDrive online-only review. Cloud copy should remain if synced, but user should review first."
"C:\Users\tonyk\OneDrive\Documents\VeritasIntelligenceAnalytics\VIA_VRN_FINAL_ARCHIVE_TURBO_20260602_092700\ARCHIVE\module\VDF\_fx_rates_beta_runs\latest_adj_tw\rolling_beta.parquet","rolling_beta.parquet",".parquet","133171946","127.00 MB","2026/5/1 上午 01:39:19","Archive","REVIEW_ONEDRIVE_FREE_UP_SPACE","MEDIUM","Candidate for OneDrive online-only review. Cloud copy should remain if synced, but user should review first."
"C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VDF\_fx_rates_beta_runs\latest_adj_tw\rolling_beta.parquet","rolling_beta.parquet",".parquet","133171946","127.00 MB","2026/5/1 上午 01:39:19","Archive","REVIEW_ONEDRIVE_FREE_UP_SPACE","MEDIUM","Candidate for OneDrive online-only review. Cloud copy should remain if synced, but user should review first."
