"category","mode","risk","priority","path","reason","action"
"PowerShell Parse Error","SEQUENTIAL_REQUIRED","HIGH","P0","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_AKSHARE_STAGING_WRITE_SCRIPT_GENERATION_APPROVAL_v0284_20260611_033432\generated_script\Invoke-VDF-AkShare-StagingWrite-GENERATED-NOT-RUN-v0285.ps1","L22:28 The assignment expression is not valid. The input to an assignment operator must be an object that is able to accept assignments, such as a variable or a property. | L23:30 The assignment expression is not valid. The input to an assignment operator must be an object that is able to accept assignments, such as a variable or a property.","Fix one file at a time; do not mix with DB/canonical changes."
"PowerShell Parse Error","SEQUENTIAL_REQUIRED","HIGH","P0","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VIA_PANORAMA3ROUND_VDF_VRN_SCRIPT_REPAIR_v02851_20260611_104333\backup\Original_Invoke-VDF-AkShare-StagingWrite-GENERATED-NOT-RUN-v0285.ps1","L22:28 The assignment expression is not valid. The input to an assignment operator must be an object that is able to accept assignments, such as a variable or a property. | L23:30 The assignment expression is not valid. The input to an assignment operator must be an object that is able to accept assignments, such as a variable or a property.","Fix one file at a time; do not mix with DB/canonical changes."
"PowerShell Parse Error","SEQUENTIAL_REQUIRED","HIGH","P0","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VIA_PANORAMA3ROUND_VDF_VRN_SCRIPT_REPAIR_v02851_20260611_104333\repair\Invoke-VDF-AkShare-StagingWrite-REPAIRED-NOT-RUN-v02851.ps1","L22:28 The assignment expression is not valid. The input to an assignment operator must be an object that is able to accept assignments, such as a variable or a property. | L23:30 The assignment expression is not valid. The input to an assignment operator must be an object that is able to accept assignments, such as a variable or a property.","Fix one file at a time; do not mix with DB/canonical changes."
"Risk Signal","SEQUENTIAL_GATED","MEDIUM","P1","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\Read_Me_VeritasNexusCore.md","Signal: canonical","Review before execution. Keep read-only until approved."
"Risk Signal","SEQUENTIAL_GATED","HIGH","P1","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\Read_Me_VeritasNexusCore.md","Signal: Stop-Process","Review before execution. Keep read-only until approved."
"Risk Signal","SEQUENTIAL_GATED","HIGH","P1","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\_active\VIA_ACTIVE_ONCE_POINTER.json","Signal: Stop-Process","Review before execution. Keep read-only until approved."
"Risk Signal","SEQUENTIAL_GATED","MEDIUM","P1","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\_oneclick\Invoke-VIA-SupportiveDocking-VDFVRN-v02861.ps1","Signal: DATABASE","Review before execution. Keep read-only until approved."
"Risk Signal","SEQUENTIAL_GATED","MEDIUM","P1","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\_oneclick\Invoke-VIA-SupportiveDocking-VDFVRN-v02861.ps1","Signal: canonical","Review before execution. Keep read-only until approved."
"Risk Signal","SEQUENTIAL_GATED","HIGH","P1","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\_oneclick\Invoke-VIA-SupportiveDocking-VDFVRN-v02861.ps1","Signal: Stop-Process","Review before execution. Keep read-only until approved."
"Risk Signal","SEQUENTIAL_GATED","HIGH","P1","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\_oneclick\Invoke-VIA-SupportiveDocking-VDFVRN-v02861.ps1","Signal: Remove-Item","Review before execution. Keep read-only until approved."
"Risk Signal","SEQUENTIAL_GATED","HIGH","P1","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\_oneclick\Invoke-VIA-SupportiveDocking-VDFVRN-v02861.ps1","Signal: Invoke-Expression","Review before execution. Keep read-only until approved."
"Risk Signal","SEQUENTIAL_GATED","MEDIUM","P1","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\_oneclick\Invoke-VIA-TestDebug-VDFVRN-v02863.ps1","Signal: DATABASE","Review before execution. Keep read-only until approved."
"Risk Signal","SEQUENTIAL_GATED","MEDIUM","P1","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\_oneclick\Invoke-VIA-TestDebug-VDFVRN-v02863.ps1","Signal: canonical","Review before execution. Keep read-only until approved."
"Risk Signal","SEQUENTIAL_GATED","HIGH","P1","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\_oneclick\Invoke-VIA-TestDebug-VDFVRN-v02863.ps1","Signal: Stop-Process","Review before execution. Keep read-only until approved."
"Risk Signal","SEQUENTIAL_GATED","HIGH","P1","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\_oneclick\Invoke-VIA-TestDebug-VDFVRN-v02863.ps1","Signal: Remove-Item","Review before execution. Keep read-only until approved."
"Risk Signal","SEQUENTIAL_GATED","HIGH","P1","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\_oneclick\Invoke-VIA-TestDebug-VDFVRN-v02863.ps1","Signal: Invoke-Expression","Review before execution. Keep read-only until approved."
"Risk Signal","SEQUENTIAL_GATED","HIGH","P1","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\Invoke-VAP.ps1","Signal: Stop-Process","Review before execution. Keep read-only until approved."
