file_id,report_id,issue_type,severity,message,path
482e52f26cf4,20e610218fae9c70,DATE_MISSING,MEDIUM,Report date not found,C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\input\6933_AMAX-KY_個股介紹報告.pdf
482e52f26cf4,20e610218fae9c70,BROKER_MISSING,LOW,Broker not found,C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\input\6933_AMAX-KY_個股介紹報告.pdf
e6270450a0cb,3d74d4a63b622a51,BROKER_MISSING,LOW,Broker not found,"C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\input\晶心科(6533,N,中立)-CTBC251208.pdf"
d7fc40eba962,22b7951d4862a6af,BROKER_MISSING,LOW,Broker not found,C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\input\MQ-1560 20260520.pdf
4c4bcf631547,7dcf3246e506ffbb,BROKER_MISSING,LOW,Broker not found,C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\output\_route_lock_runs\RUN_20260525_194320_VRN_GO_M01_10PDF_SMOKE_V118\smoke_output_10pdf\m01_pdf_temp\3014TT-20231005__COVER_FIN.pdf
482e52f26cf4,20e610218fae9c70,DATE_MISSING,MEDIUM,Report date not found,C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\output\_route_lock_runs\RUN_20260525_194320_VRN_GO_M01_10PDF_SMOKE_V118\smoke_input_10pdf\6933_AMAX-KY_個股介紹報告.pdf
482e52f26cf4,20e610218fae9c70,BROKER_MISSING,LOW,Broker not found,C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\output\_route_lock_runs\RUN_20260525_194320_VRN_GO_M01_10PDF_SMOKE_V118\smoke_input_10pdf\6933_AMAX-KY_個股介紹報告.pdf
482e52f26cf4,20e610218fae9c70,DATE_MISSING,MEDIUM,Report date not found,C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\output\_route_lock_runs\RUN_20260525_194703_VRN_GO_M01_30PDF_SMOKE_V119\smoke_input_30pdf\6933_AMAX-KY_個股介紹報告.pdf
482e52f26cf4,20e610218fae9c70,BROKER_MISSING,LOW,Broker not found,C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\output\_route_lock_runs\RUN_20260525_194703_VRN_GO_M01_30PDF_SMOKE_V119\smoke_input_30pdf\6933_AMAX-KY_個股介紹報告.pdf
e6270450a0cb,3d74d4a63b622a51,BROKER_MISSING,LOW,Broker not found,"C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\output\_route_lock_runs\RUN_20260525_194703_VRN_GO_M01_30PDF_SMOKE_V119\smoke_input_30pdf\晶心科(6533,N,中立)-CTBC251208.pdf"
4c4bcf631547,7dcf3246e506ffbb,BROKER_MISSING,LOW,Broker not found,C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\output\_route_lock_runs\RUN_20260525_194703_VRN_GO_M01_30PDF_SMOKE_V119\smoke_output_30pdf\m01_pdf_temp\3014TT-20231005__COVER_FIN.pdf
e6270450a0cb,3d74d4a63b622a51,BROKER_MISSING,LOW,Broker not found,"C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\output\_route_lock_runs\RUN_20260525_195119_VRN_GO_M01_60PDF_FULL_V120\full_input_60pdf\晶心科(6533,N,中立)-CTBC251208.pdf"
482e52f26cf4,20e610218fae9c70,DATE_MISSING,MEDIUM,Report date not found,C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\output\_route_lock_runs\RUN_20260525_195119_VRN_GO_M01_60PDF_FULL_V120\full_input_60pdf\6933_AMAX-KY_個股介紹報告.pdf
482e52f26cf4,20e610218fae9c70,BROKER_MISSING,LOW,Broker not found,C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\output\_route_lock_runs\RUN_20260525_195119_VRN_GO_M01_60PDF_FULL_V120\full_input_60pdf\6933_AMAX-KY_個股介紹報告.pdf
d7fc40eba962,22b7951d4862a6af,BROKER_MISSING,LOW,Broker not found,C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\output\_route_lock_runs\RUN_20260525_195119_VRN_GO_M01_60PDF_FULL_V120\full_input_60pdf\MQ-1560 20260520.pdf
4c4bcf631547,7dcf3246e506ffbb,BROKER_MISSING,LOW,Broker not found,C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\output\_route_lock_runs\RUN_20260525_195119_VRN_GO_M01_60PDF_FULL_V120\full_output_60pdf\m01_pdf_temp\3014TT-20231005__COVER_FIN.pdf
099ded919098,07e66364f6e37935,BROKER_MISSING,LOW,Broker not found,C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\output\_route_lock_runs\RUN_20260525_195119_VRN_GO_M01_60PDF_FULL_V120\full_output_60pdf\m01_pdf_temp\CLST-6669 20251001__COVER_FIN.pdf
c1254c68f553,44d7f8cba190e55e,BROKER_MISSING,LOW,Broker not found,C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\output\_route_lock_runs\RUN_20260525_195119_VRN_GO_M01_60PDF_FULL_V120\full_output_60pdf\m01_pdf_temp\JP-2330 20250718__COVER_FIN.pdf
6453e5de5809,38b90fd82f838b39,BROKER_MISSING,LOW,Broker not found,C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\output\_route_lock_runs\RUN_20260525_195119_VRN_GO_M01_60PDF_FULL_V120\full_output_60pdf\m01_pdf_temp\JP-3653 20251003__COVER_FIN.pdf
e6270450a0cb,3d74d4a63b622a51,BROKER_MISSING,LOW,Broker not found,"C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\_vrn_real_dualset_pipeline_runs\VRN_REAL_DUALSET_20260510_031038\SET_A_CLEAN_INPUT\晶心科(6533,N,中立)-CTBC251208.pdf"
482e52f26cf4,20e610218fae9c70,DATE_MISSING,MEDIUM,Report date not found,C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\_vrn_real_dualset_pipeline_runs\VRN_REAL_DUALSET_20260510_031038\SET_A_CLEAN_INPUT\6933_AMAX-KY_個股介紹報告.pdf
482e52f26cf4,20e610218fae9c70,BROKER_MISSING,LOW,Broker not found,C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\_vrn_real_dualset_pipeline_runs\VRN_REAL_DUALSET_20260510_031038\SET_A_CLEAN_INPUT\6933_AMAX-KY_個股介紹報告.pdf
191e050f585d,77ab9731d9f0c0ea,DATE_MISSING,MEDIUM,Report date not found,C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\_vrn_real_dualset_pipeline_runs\VRN_REAL_DUALSET_20260510_031038\SET_A_CLEAN_INPUT\晶豪科(3006)評估報告.pdf
191e050f585d,77ab9731d9f0c0ea,BROKER_MISSING,LOW,Broker not found,C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\_vrn_real_dualset_pipeline_runs\VRN_REAL_DUALSET_20260510_031038\SET_A_CLEAN_INPUT\晶豪科(3006)評估報告.pdf
482e52f26cf4,950607c316b5bb0a,DATE_MISSING,MEDIUM,Report date not found,C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\_vrn_real_dualset_pipeline_runs\VRN_REAL_DUALSET_20260510_031038\SET_B_NOISY_INPUT\NOISY_測試_OCR錯字_日期干擾_2021_2030_6933_AMAX-KY_個股介紹報告_TT雜訊.pdf
482e52f26cf4,950607c316b5bb0a,BROKER_MISSING,LOW,Broker not found,C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\_vrn_real_dualset_pipeline_runs\VRN_REAL_DUALSET_20260510_031038\SET_B_NOISY_INPUT\NOISY_測試_OCR錯字_日期干擾_2021_2030_6933_AMAX-KY_個股介紹報告_TT雜訊.pdf
e6270450a0cb,36fb2a5e2b886691,BROKER_MISSING,LOW,Broker not found,"C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\_vrn_real_dualset_pipeline_runs\VRN_REAL_DUALSET_20260510_031038\SET_B_NOISY_INPUT\NOISY_測試_OCR錯字_日期干擾_2021_2030_晶心科(6533,N,中立)-CTBC251208_TT雜訊.pdf"
191e050f585d,edc8a30efb3db568,DATE_MISSING,MEDIUM,Report date not found,C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\_vrn_real_dualset_pipeline_runs\VRN_REAL_DUALSET_20260510_031038\SET_B_NOISY_INPUT\NOISY_測試_OCR錯字_日期干擾_2021_2030_晶豪科(3006)評估報告_TT雜訊.pdf
191e050f585d,edc8a30efb3db568,BROKER_MISSING,LOW,Broker not found,C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\_vrn_real_dualset_pipeline_runs\VRN_REAL_DUALSET_20260510_031038\SET_B_NOISY_INPUT\NOISY_測試_OCR錯字_日期干擾_2021_2030_晶豪科(3006)評估報告_TT雜訊.pdf
482e52f26cf4,20e610218fae9c70,DATE_MISSING,MEDIUM,Report date not found,C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\_vrn_real_dualset_pipeline_runs\VRN_REAL_DUALSET_20260510_065301\SET_A_CLEAN_INPUT\6933_AMAX-KY_個股介紹報告.pdf
482e52f26cf4,20e610218fae9c70,BROKER_MISSING,LOW,Broker not found,C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\_vrn_real_dualset_pipeline_runs\VRN_REAL_DUALSET_20260510_065301\SET_A_CLEAN_INPUT\6933_AMAX-KY_個股介紹報告.pdf
