"Round","Category","Severity","RiskRank","FixMode","Target","Issue","Optimization","RecommendedAction","HydraRisk","CreatedAt"
"1","SOURCE","INFO","4","PARALLEL","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\icon base","Source files: 5104","Source registry available","KEEP","LOW","2026-06-09T09:23:57+08:00"
"1","TARGET","INFO","4","PARALLEL","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\ICON_BASE_MANAGED","Managed target files: 1077","Target ready","KEEP","LOW","2026-06-09T09:23:57+08:00"
"1","MAPPING","INFO","4","PARALLEL","Mapping","Copied: 1077; skipped existing: 4027","No failed mapping","KEEP","LOW","2026-06-09T09:23:57+08:00"
"1","VERIFY","INFO","4","FINALIZE","Verification","Verification passed","Delete allowed only after backup","ALLOW_DELETE_AFTER_BACKUP","LOW","2026-06-09T09:23:57+08:00"
"1","DELETE","INFO","4","FINALIZE","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\icon base","Delete status: DELETED_AFTER_VERIFY_AND_BACKUP","Guarded delete only","KEEP_RESULT","LOW","2026-06-09T09:23:57+08:00"
"2","SOURCE","INFO","4","PARALLEL","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\icon base","Source files: 5104","Source registry available","KEEP","LOW","2026-06-09T09:23:58+08:00"
"2","TARGET","INFO","4","PARALLEL","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\ICON_BASE_MANAGED","Managed target files: 1077","Target ready","KEEP","LOW","2026-06-09T09:23:58+08:00"
"2","MAPPING","INFO","4","PARALLEL","Mapping","Copied: 1077; skipped existing: 4027","No failed mapping","KEEP","LOW","2026-06-09T09:23:58+08:00"
"2","VERIFY","INFO","4","FINALIZE","Verification","Verification passed","Delete allowed only after backup","ALLOW_DELETE_AFTER_BACKUP","LOW","2026-06-09T09:23:58+08:00"
"2","DELETE","INFO","4","FINALIZE","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\icon base","Delete status: DELETED_AFTER_VERIFY_AND_BACKUP","Guarded delete only","KEEP_RESULT","LOW","2026-06-09T09:23:58+08:00"
"3","SOURCE","INFO","4","PARALLEL","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\icon base","Source files: 5104","Source registry available","KEEP","LOW","2026-06-09T09:23:59+08:00"
"3","TARGET","INFO","4","PARALLEL","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\ICON_BASE_MANAGED","Managed target files: 1077","Target ready","KEEP","LOW","2026-06-09T09:23:59+08:00"
"3","MAPPING","INFO","4","PARALLEL","Mapping","Copied: 1077; skipped existing: 4027","No failed mapping","KEEP","LOW","2026-06-09T09:23:59+08:00"
"3","VERIFY","INFO","4","FINALIZE","Verification","Verification passed","Delete allowed only after backup","ALLOW_DELETE_AFTER_BACKUP","LOW","2026-06-09T09:23:59+08:00"
"3","DELETE","INFO","4","FINALIZE","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\icon base","Delete status: DELETED_AFTER_VERIFY_AND_BACKUP","Guarded delete only","KEEP_RESULT","LOW","2026-06-09T09:23:59+08:00"
