ticker,date,open,high,low,close,adj_close,volume,turnover,return_1d,return_5d,return_20d,return_60d
2330.TW,"Ticker
   ",2310.0,2330.0,2290.0,2300.0,2300.0,31986652,,,,,
2330.TW,"Ticker
   ",2350.0,2360.0,2270.0,2295.0,2295.0,36889432,,,,,
2330.TW,"Ticker
   ",2340.0,2375.0,2330.0,2355.0,2355.0,86132863,,,,,
2330.TW,"Ticker
   ",2355.0,2415.0,2350.0,2355.0,2355.0,35023445,,,,,
2330.TW,"Ticker
   ",2390.0,2400.0,2360.0,2380.0,2380.0,29610654,,,,,
2330.TW,"Ticker
   ",2425.0,2440.0,2410.0,2425.0,2425.0,22536554,,,,,
2330.TW,"Ticker
   ",2385.0,2415.0,2385.0,2385.0,2385.0,25054494,,,,,
2330.TW,"Ticker
   ",2395.0,2405.0,2350.0,2365.0,2365.0,32795780,,,,,
2330.TW,"Ticker
   ",2230.0,2320.0,2230.0,2295.0,2295.0,44721632,,,,,
2330.TW,"Ticker
   ",2305.0,2320.0,2295.0,2305.0,2305.0,36137311,,,,,
