ticker,yyyymm,revenue,mom,yoy,cum_revenue,cum_yoy,name,market,industry,report_date,source,updated_at
1101,11504,12213195.0,-1.6083510965301486,-3.6914380666110573,45472613.0,,台泥,L,水泥工業,1150517,TWSE_OpenAPI_MOPS_MonthlyRevenue,2026-06-09 23:33:57
1102,11504,5694459.0,6.450285050286882,-9.269997828327625,20523945.0,,亞泥,L,水泥工業,1150517,TWSE_OpenAPI_MOPS_MonthlyRevenue,2026-06-09 23:33:57
1103,11504,207622.0,-14.458521311002617,-23.55455733721166,895991.0,,嘉泥,L,水泥工業,1150517,TWSE_OpenAPI_MOPS_MonthlyRevenue,2026-06-09 23:33:57
1104,11504,635959.0,9.504803197195395,-8.975507680328855,2395006.0,,環泥,L,水泥工業,1150517,TWSE_OpenAPI_MOPS_MonthlyRevenue,2026-06-09 23:33:57
1108,11504,322871.0,-6.92275538002508,-21.38289894031479,1303577.0,,幸福,L,水泥工業,1150517,TWSE_OpenAPI_MOPS_MonthlyRevenue,2026-06-09 23:33:57
1109,11504,340192.0,8.336570980911679,-21.616733216439215,1195533.0,,信大,L,水泥工業,1150517,TWSE_OpenAPI_MOPS_MonthlyRevenue,2026-06-09 23:33:57
1110,11504,237552.0,5.79731444986305,-10.212720922848979,820195.0,,東泥,L,水泥工業,1150517,TWSE_OpenAPI_MOPS_MonthlyRevenue,2026-06-09 23:33:57
1201,11504,1793562.0,6.46395190500669,-3.415895034720072,6794629.0,,味全,L,食品工業,1150517,TWSE_OpenAPI_MOPS_MonthlyRevenue,2026-06-09 23:33:57
1203,11504,437702.0,-5.834491482761143,-12.21203794701057,1750554.0,,味王,L,食品工業,1150517,TWSE_OpenAPI_MOPS_MonthlyRevenue,2026-06-09 23:33:57
1210,11504,9098458.0,-1.2104637803868668,4.315830145046509,35663435.0,,大成,L,食品工業,1150517,TWSE_OpenAPI_MOPS_MonthlyRevenue,2026-06-09 23:33:57
1213,11504,25400.0,8.924053347056049,0.9659339348888977,102483.0,,大飲,L,食品工業,1150517,TWSE_OpenAPI_MOPS_MonthlyRevenue,2026-06-09 23:33:57
1215,11504,2316768.0,-7.752144171119588,-2.916281317034598,9493087.0,,卜蜂,L,食品工業,1150517,TWSE_OpenAPI_MOPS_MonthlyRevenue,2026-06-09 23:33:57
1216,11504,57480106.0,0.17592973086273364,2.261852590309476,232496543.0,,統一,L,食品工業,1150517,TWSE_OpenAPI_MOPS_MonthlyRevenue,2026-06-09 23:33:57
1217,11504,396666.0,3.1549875953751814,5.273969330721827,1562880.0,,愛之味,L,食品工業,1150517,TWSE_OpenAPI_MOPS_MonthlyRevenue,2026-06-09 23:33:57
1218,11504,844393.0,-3.2024614566293224,6.365882016534464,3497515.0,,泰山,L,食品工業,1150517,TWSE_OpenAPI_MOPS_MonthlyRevenue,2026-06-09 23:33:57
1219,11504,1221789.0,-6.295685866074791,1.205145621417448,4857167.0,,福壽,L,食品工業,1150517,TWSE_OpenAPI_MOPS_MonthlyRevenue,2026-06-09 23:33:57
1220,11504,300795.0,15.499809929001762,12.859774651903603,1000312.0,,台榮,L,食品工業,1150517,TWSE_OpenAPI_MOPS_MonthlyRevenue,2026-06-09 23:33:57
1225,11504,1110177.0,2.919385252056669,8.992296160450351,4391360.0,,福懋油,L,食品工業,1150517,TWSE_OpenAPI_MOPS_MonthlyRevenue,2026-06-09 23:33:57
1227,11504,1931499.0,-8.108922026466928,-4.844109790691419,9702002.0,,佳格,L,食品工業,1150517,TWSE_OpenAPI_MOPS_MonthlyRevenue,2026-06-09 23:33:57
1229,11504,604369.0,-35.175867539184466,-45.40074332516049,3220582.0,,聯華,L,食品工業,1150517,TWSE_OpenAPI_MOPS_MonthlyRevenue,2026-06-09 23:33:57
1231,11504,1007987.0,3.51737686870274,1.000498996995998,4356525.0,,聯華食,L,食品工業,1150517,TWSE_OpenAPI_MOPS_MonthlyRevenue,2026-06-09 23:33:57
1232,11504,1890202.0,-6.4129027466610555,3.1180324345202277,7784261.0,,大統益,L,食品工業,1150517,TWSE_OpenAPI_MOPS_MonthlyRevenue,2026-06-09 23:33:57
1233,11504,173250.0,-1.3708456204670438,2.593103611632548,747054.0,,天仁,L,食品工業,1150517,TWSE_OpenAPI_MOPS_MonthlyRevenue,2026-06-09 23:33:57
