"Layer","Class","Risk","Metric","Value","Reason","Action","Path"
"ManualReview","REVIEW_BUT_NOT_BLOCKER","MEDIUM","pattern","pip install","Active script path; review required, but not blocker unless execution risk confirmed.","Manual review required; not auto-fix. Confirm whether pattern is guarded/commented/non-executing.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\Invoke-VeritasNexusCore.ps1"
"ManualReview","REVIEW_BUT_NOT_BLOCKER","MEDIUM","pattern","Stop-Process","Active script path; review required, but not blocker unless execution risk confirmed.","Manual review required; not auto-fix. Confirm whether pattern is guarded/commented/non-executing.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\Invoke-VIA-PolyglotCheckTestRepair-v0101.ps1"
"ManualReview","REVIEW_BUT_NOT_BLOCKER","MEDIUM","pattern","Stop-Process","Active script path; review required, but not blocker unless execution risk confirmed.","Manual review required; not auto-fix. Confirm whether pattern is guarded/commented/non-executing.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\20_Registry_SSOT\VIA_SSOT_Unified.py"
"ManualReview","REVIEW_BUT_NOT_BLOCKER","MEDIUM","pattern","pip install","Active script path; review required, but not blocker unless execution risk confirmed.","Manual review required; not auto-fix. Confirm whether pattern is guarded/commented/non-executing.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\40_Environment_Health\VIA_EnvManager.py"
"ManualReview","REVIEW_BUT_NOT_BLOCKER","MEDIUM","pattern","pip install","Active script path; review required, but not blocker unless execution risk confirmed.","Manual review required; not auto-fix. Confirm whether pattern is guarded/commented/non-executing.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\50_Protection_Acceleration\VeritasAegisNexus.py"
"ManualReview","REVIEW_BUT_NOT_BLOCKER","MEDIUM","pattern","Stop-Process","Active script path; review required, but not blocker unless execution risk confirmed.","Manual review required; not auto-fix. Confirm whether pattern is guarded/commented/non-executing.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\60_PowerShell_Entry_Internal\Invoke-VIA-FinishProject-SafeFast.ps1"
"ManualReview","REVIEW_BUT_NOT_BLOCKER","MEDIUM","pattern","pip install","Active script path; review required, but not blocker unless execution risk confirmed.","Manual review required; not auto-fix. Confirm whether pattern is guarded/commented/non-executing.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\60_PowerShell_Entry_Internal\Invoke-VIA-FinishProject-SafeFast.ps1"
"ManualReview","REVIEW_BUT_NOT_BLOCKER","MEDIUM","pattern","Stop-Process","Active script path; review required, but not blocker unless execution risk confirmed.","Manual review required; not auto-fix. Confirm whether pattern is guarded/commented/non-executing.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\60_PowerShell_Entry_Internal\Invoke-VIA-PanoramaHardGateSafeFix.ps1"
"ManualReview","REVIEW_BUT_NOT_BLOCKER","MEDIUM","pattern","pip install","Active script path; review required, but not blocker unless execution risk confirmed.","Manual review required; not auto-fix. Confirm whether pattern is guarded/commented/non-executing.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\60_PowerShell_Entry_Internal\Invoke-VIA-PanoramaHardGateSafeFix.ps1"
"ManualReview","REVIEW_BUT_NOT_BLOCKER","MEDIUM","pattern","Stop-Process","Active script path; review required, but not blocker unless execution risk confirmed.","Manual review required; not auto-fix. Confirm whether pattern is guarded/commented/non-executing.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\80_VETF_Supportive_Sort\VETF_VIA_SSOT_Unified.py"
