"def_severity","def_normalized_key","def_occurrences","def_distinct_values","def_groups","def_sample_values","def_sample_files"
"P0_DOMAIN_REVIEW","ticker","2812","459","SCHEMA_FIELD;PATH_IO","""All TW_TICKER"" || ""TW_Index_Ticker"" || ""ProviderTicker"" || ""CN_HK_Ticker"" || ""MacroIndicatorCode"" || ticker, ""term"": term, ""utc"": _utc()","VDF_VRN_SourceFallback_AllDataRegistry_v0100.json; VIA_DataTransformEngine (1).py; VIA_DataTransformEngine (2).py; VDF_TW_EquityUniverse.json; VDF_TW_MonthlyRevenue.json; VDF_TW_PriceDaily.json; VDF_TW_TradingStats.json; vdf_mops_monthly_revenue_seed_v022.py"
"P0_DOMAIN_REVIEW","policy","685","128","GOVERNANCE_POLICY;PATH_IO;SCHEMA_FIELD","policy = $def_PARAM_POLICY || policy = [ordered]@{type=""object""} || { || ""Fed"" || ""ECB"" || ""PBOC/LPR/RRR""","Invoke-VIA-UltimateEngineForge-AIO-v060.ps1; Invoke-VIA-UltimateEngineForge-AIO-v061-BoolParamHotfix.ps1; Invoke-VIA-UltimateEngineForge-AIO-v062-NullSafeStepSafe.ps1; Invoke-VIA-UltimateEngineForge-AIO-v063-10xCrossNoHangProgress.ps1; params.example (1).json; params.example (2).json; SSOT_VIA_VisualDesignOps_20260617 (1).json; SSOT_VIA_VisualDesignOps_20260617.json"
"P0_DOMAIN_REVIEW","unit","1587","83","SCHEMA_FIELD","""days"" || ""exact"" || ""opinion_preserved"" || ""指數"" || ""美元"" || ""美元/桶""","VDF_VRN_SourceFallback_AllDataRegistry_v0100.json; VIA_data_manifest (1).json; VIA_data_manifest (2).json; VIA_data_manifest.json; VRN_IO_Summary_v0100 (1).json; VRN_IO_Summary_v0100 (2).html; VRN_IO_Summary_v0100.html; VRN_IO_Summary_v0100.json"
"P0_DOMAIN_REVIEW","field","56","48","SCHEMA_FIELD;PATH_IO","""Adj Open"" || ""Adj Low"" || ""Adj High"" || c || ""report_date"" || ""broker""","VDF_VRN_SourceFallback_AllDataRegistry_v0100.json; vdf_akshare_execution_readiness_review_v0279.py; vrn_parquet_unified_stage_repair.py; vrn_staging_identity_repair_rekey_hotfix.py; vrn_staging_identity_repair_rekey.py; VRN_BasicInfoDefinitionSSOT_v029SSOT1B.json; VRN_MDL018_VRN_MDL_SummaryPipelineBridge_AIO_v01__CORE__v01.py; VRN_MDL223_VRN_HeaderOrder_ConsensusData_AnchorPreview__MODULE__v0_0.json"
"P0_DOMAIN_REVIEW","parsed_ticker","128","37","SCHEMA_FIELD","""6415"" || """" || ""2383"" || ""3675"" || ""4771"" || ""3665""","VRN_MDL050_VRN_v141E2_FalseRedCrush_D8_SourceGate__MODULE__v141E2.json; VRN_MDL051_VRN_ProjectState_SSOT_v141E2__SUPPORT_RULE__v141E2.json"
"P0_DOMAIN_REVIEW","schema","87","36","SCHEMA_FIELD;PATH_IO","""VPNS_NORMALIZED_EXTRACTION_BLOCK"" || ""VIA.CodexNexus.GovernanceRegistry"" || schema    = 'VIA.CodexNexus.RunLog' || schema = ""VIA.EngineForge.Config"" || schema = ""VIA.Engine.Manifest"" || schema = ""VIA.Engine.RuntimeConfig""","engine (1).py; engine (2).py; engine.py; GovernanceRegistry.json; Invoke-VeritasCodexNexus.ps1; Invoke-VIA-UltimateEngineForge-AIO-v060.ps1; Invoke-VIA-UltimateEngineForge-AIO-v061-BoolParamHotfix.ps1; Invoke-VIA-UltimateEngineForge-AIO-v062-NullSafeStepSafe.ps1"
"P0_DOMAIN_REVIEW","field_id","134","36","SCHEMA_FIELD","""BAS_01"" || ""BAS_02"" || ""BAS_03"" || ""BAS_04"" || ""BAS_05"" || ""BAS_06""","VDF_VRN_SourceFallback_AllDataRegistry_v0100.json; VRN_IO_Summary_v0100 (1).json; VRN_IO_Summary_v0100 (2).html; VRN_IO_Summary_v0100.html; VRN_IO_Summary_v0100.json; VRN_S05_FieldRegistry_v0101.json; VRN_S05_FieldRegistry_v0102.json"
"P0_DOMAIN_REVIEW","fields","174","24","SCHEMA_FIELD;PATH_IO","[""source_id"", ""source_type"", ""block_id"", ""extracted_text"" || [ || fields=sorted(set(str(k) for row in rows for k in row.keys() if k is not None)) || fields=[str(s) for s in (schema_fields or [""_empty""])] || fields = sorted(set(k for r in rows for k in r.keys())) || fields = text_fields","engine (1).py; engine (2).py; engine.py; SSOT_VPNS (1).json; SSOT_VPNS.json; VDF_VRN_SourceFallback_AllDataRegistry_v0100.json; VRN_IO_Summary_v0100 (1).json; VRN_IO_Summary_v0100 (2).html"
"P0_DOMAIN_REVIEW","tickers","45","23","SCHEMA_FIELD","[""NVDA"", ""AAPL"", ""MSFT""] || [""GOOGL"", ""AAPL""] || [""WMT"", ""NVDA"", ""AMZN""] || [""UNH"", ""CVS"", ""MCK"", ""COR""] || [""SNDK"", ""WDC"", ""MU"", ""STX""] || [""PLTR"", ""APP"", ""CRWD""]","app.js; vap_v8_master_orchestrator.py; vap_warehouse_v6_all_builder.py; vap_warehouse_v7_quant_builder.py; VRN_MDL197_vrn_financialdata_business_validation_report_v061574__FINANCIALDATA__v061574.json; VRN_MDL198_vrn_financialdata_business_validation_report_v061574__FINANCIALDATA__v061574.json; VRN_MDL199_vrn_financialdata_business_validation_report_v061574__FINANCIALDATA__v061574.json; VRN_MDL200_vrn_financialdata_business_validation_report_v061574__FINANCIALDATA__v061574.json"
"P0_DOMAIN_REVIEW","yfinance","29","21","DATA_SOURCE;SCHEMA_FIELD","{ || ""無需金鑰"" || {""enabled"": True,  ""auto_adjust"": False, ""timeout_sec"": 30, ""retries"": 3} || False || true || 0","params.example (1).json; params.example (2).json; VDF_VRN_SourceFallback_AllDataRegistry_v0100.json; VIA_data_manifest (1).json; VIA_data_manifest (2).json; VIA_data_manifest.json; via_param_manager (1).py; vdf_production_fetch_controller_v016.py"
"P0_DOMAIN_REVIEW","YFinanceTickerTPEX","66","17","SCHEMA_FIELD","""1319.TWO"" || ""1560.TWO"" || ""1590.TWO"" || ""2308.TWO"" || ""2383.TWO"" || ""3231.TWO""","VRN_MDL100_VRN_Complete_ProjectDryRun__MODULE__v0_0.json; VRN_MDL126_VRN_AliasHygiene_FalsePositiveFix_v0102__SUPPORT_RULE__v0102.json; VRN_MDL127_VRN_AliasHygiene_SingleFileRerunManifest__SUPPORT_RULE__v0_0.json"
"P0_DOMAIN_REVIEW","YFinanceTickerTWSE","66","17","SCHEMA_FIELD","""1319.TW"" || ""1560.TW"" || ""1590.TW"" || ""2308.TW"" || ""2383.TW"" || ""3231.TW""","VRN_MDL100_VRN_Complete_ProjectDryRun__MODULE__v0_0.json; VRN_MDL126_VRN_AliasHygiene_FalsePositiveFix_v0102__SUPPORT_RULE__v0102.json; VRN_MDL127_VRN_AliasHygiene_SingleFileRerunManifest__SUPPORT_RULE__v0_0.json"
"P0_DOMAIN_REVIEW","schema_first_12_json","22","16","SCHEMA_FIELD","""[{\""Ordinal\"": 1, \""ColumnName\"": \""date\"", \""DataType\"": \""DATE\""}, {\""Ordinal\"": 2, \""ColumnName\"": \""ak_key\"", \""DataType\"": \""VARCHAR\""}, {\""Ordinal\"": 3, \""ColumnName\"": \""ak... || ""[{\""Ordinal\"": 1, \""ColumnName\"": \""date\"", \""DataType\"": \""DATE\""}, {\""Ordinal\"": 2, \""ColumnName\"": \""ticker\"", \""DataType\"": \""VARCHAR\""}, {\""Ordinal\"": 3, \""ColumnName\"": \""cl... || ""[{\""Ordinal\"": 1, \""ColumnName\"": \""date\"", \""DataType\"": \""DATE\""}, {\""Ordinal\"": 2, \""ColumnName\"": \""ticker\"", \""DataType\"": \""VARCHAR\""}, {\""Ordinal\"": 3, \""ColumnName\"": \""fi... || ""[{\""Ordinal\"": 1, \""ColumnName\"": \""date\"", \""DataType\"": \""DATE\""}, {\""Ordinal\"": 2, \""ColumnName\"": \""via_code\"", \""DataType\"": \""VARCHAR\""}, {\""Ordinal\"": 3, \""ColumnName\"": \""... || ""[{\""Ordinal\"": 1, \""ColumnName\"": \""date\"", \""DataType\"": \""DATE\""}]"" || ""[{\""Ordinal\"": 1, \""ColumnName\"": \""date\"", \""DataType\"": \""DATE\""}, {\""Ordinal\"": 2, \""ColumnName\"": \""ticker\"", \""DataType\"": \""VARCHAR\""}, {\""Ordinal\"": 3, \""ColumnName\"": \""ma...","VRN_MDL272_VRN_v140K_BasicInfo_FinancialData_Sidecar_Sync__BASICINFO__v140K.json"
"P0_DOMAIN_REVIEW","tw_ticker","32","15","SCHEMA_FIELD","{ || r.get(bt,"""") if bt else """" || bi.get(""tw_ticker"","""") || r.get(""tw_ticker"","""") || """" || r.get(basic_ticker_col, """") if basic_ticker_col else """"","SSOT_VIA_VisualDesignOps_20260617 (1).json; SSOT_VIA_VisualDesignOps_20260617.json; via_dual_sixlane_worker_v029dual1b.py; vrn_financialdata_staging_extraction_store_v029vrn1d.py; VRN_MDL273_VRN_v140H_ReadOnly_Production_Verify__MODULE__v140H.json; VRN_MDL274_SOURCE_VRN_v140G_Production_DuckDB_Commit_Final_Seal__BASICINFO__v140G.json; VRN_MDL275_VRN_v140G_Production_DuckDB_Commit_Final_Seal__GOVERNANCE__v140G.json; VRN_MDL276_VRN_v140D_Sandbox_DuckDB_Writer_Gate__MODULE__v140D.json"
