"tool","found","path"
"pwsh","True","C:\Program Files\PowerShell\7\pwsh.exe"
"powershell","True","C:\WINDOWS\System32\WindowsPowerShell\v1.0\powershell.exe"
"python","True","C:\Python313\python.exe"
"py","True","C:\WINDOWS\py.exe"
"node","True","C:\Program Files\nodejs\node.exe"
"npm","True","C:\Program Files\nodejs\npm.ps1"
"pnpm","True","C:\Users\tonyk\AppData\Roaming\npm\pnpm.ps1"
"git","True","C:\Program Files\Git\cmd\git.exe"
"dotnet","True","C:\Program Files\dotnet\dotnet.exe"
"uv","True","C:\Users\tonyk\.local\bin\uv.exe"
"ruff","True","C:\Python313\Scripts\ruff.exe"
"pytest","True","C:\Python313\Scripts\pytest.exe"
