"def_severity","def_normalized_key","def_occurrences","def_distinct_values","def_groups","def_sample_values","def_sample_files"
"P1_PATH_REVIEW","Path","8812","2215","PATH_IO","Path     = $Path || Path = $t.Path || Path=$p; Exists=$exists; Bytes=$bytes; Fatal=$fatal; Fail=$fail; Warn=$warn; High=$high; Ready=$ready; Signal=$signal; Status=$status; Risk=$risk; Priority=$priority || $path = [string]$cmd.CommandPath || path=os.path.join(HERE,ps) || path = a.file","Invoke-VIA-UltimateEngineForge-AIO-v060.ps1; Invoke-VIA-UltimateEngineForge-AIO-v061-BoolParamHotfix.ps1; Invoke-VIA-UltimateEngineForge-AIO-v062-NullSafeStepSafe.ps1; Invoke-VIA-UltimateEngineForge-AIO-v063-10xCrossNoHangProgress.ps1; test_via_system (1).py; test_via_system.py; via_param_manager (1).py; via_param_manager.py"
"P1_PATH_REVIEW","FullPath","1432","539","PATH_IO","""C:\\Users\\tonyk\\Downloads\\VeritasIntelligenceAnalytics\\DecisionStudio_Registry.html"" || ""C:\\Users\\tonyk\\Downloads\\VeritasIntelligenceAnalytics\\Logo_ico_256x256_1.ico"" || ""C:\\Users\\tonyk\\Downloads\\VeritasIntelligenceAnalytics\\VIA_UnifiedInput_SSOT.json"" || ""C:\\Users\\tonyk\\Downloads\\VeritasIntelligenceAnalytics\\supportive modules\\Invoke-VeritasNexusCore.ps1"" || ""C:\\Users\\tonyk\\Downloads\\VeritasIntelligenceAnalytics\\supportive modules\\Read_Me_VeritasNexusCore.md"" || ""C:\\Users\\tonyk\\Downloads\\VeritasIntelligenceAnalytics\\tw_stock_report_input\\20250819兆豐個股報告-泓德能源(6873).pdf""","VDF_Audit_FileInventory.json; VRN_Audit_FileInventory.json; VRN_MDL001_VRN_CANONICAL_ACTIVE_SEAL_PREVIEW__GOVERNANCE__v0_0.json; VRN_MDL010_VRN_BasicFinancial_Confidence_Method_Review__FINANCIALDATA__v0_0.json; VRN_MDL011_VRN_BasicFinancial_Confidence_Method_Review__FINANCIALDATA__v0_0.json; VRN_MDL012_VRN_BasicFinancial_Confidence_Method_Review__FINANCIALDATA__v0_0.json; VRN_MDL033_VRN_Hydra_Containment_Registry__SUPPORT_RULE__v0_0.json; VRN_MDL038_VRN_HYDRA_CONTAINMENT_POLICY__SUPPORT_RULE__v0_0.json"
"P1_PATH_REVIEW","RelPath","1061","411","PATH_IO","""modules\\VRN_MDL_SummaryPipelineBridge_AIO_v01.py"" || ""ACTIVATE_AND_CROSS_VALIDATE_FAST_WRAPPER.py"" || ""VRN_MDL001_StockReportPipeline.py"" || ""ACTIVATE_AND_CROSS_VALIDATE.py"" || ""VRN_Bridge_Resolver_v2.ps1"" || ""VRN_M01_Smart_Launcher_v2.ps1""","VRN_MDL001_VRN_CANONICAL_ACTIVE_SEAL_PREVIEW__GOVERNANCE__v0_0.json; VRN_MDL010_VRN_BasicFinancial_Confidence_Method_Review__FINANCIALDATA__v0_0.json; VRN_MDL011_VRN_BasicFinancial_Confidence_Method_Review__FINANCIALDATA__v0_0.json; VRN_MDL012_VRN_BasicFinancial_Confidence_Method_Review__FINANCIALDATA__v0_0.json; VRN_MDL033_VRN_Hydra_Containment_Registry__SUPPORT_RULE__v0_0.json; VRN_MDL038_VRN_HYDRA_CONTAINMENT_POLICY__SUPPORT_RULE__v0_0.json; VRN_MDL039_VRN_Base_Review_Confirm__MODULE__v0_0.json; VRN_MDL082_VRN_TwoWeek_Panorama_AST_Anchor_SyncPlan__GOVERNANCE__v0_0.json"
"P1_PATH_REVIEW","SourcePath","347","253","PATH_IO","SourcePath = $path || ""C:\\Users\\tonyk\\Downloads\\VeritasIntelligenceAnalytics\\icon base\\00_registry_identity_anchor\\account_circle_36dp_0000F5_FILL0_wght400_GRAD0_opsz40_(1).svg"" || ""C:\\Users\\tonyk\\Downloads\\account_circle_36dp_0000F5_FILL0_wght400_GRAD0_opsz40 (1).svg"" || ""C:\\Users\\tonyk\\Downloads\\account_circle_36dp_0000F5_FILL0_wght400_GRAD0_opsz40.svg"" || ""C:\\Users\\tonyk\\Downloads\\VeritasIntelligenceAnalytics\\icon base\\01_registry_identity_anchor\\account_circle_36dp_0000F5_FILL0_wght400_GRAD0_opsz40_(1).svg"" || ""C:\\Users\\tonyk\\Downloads\\VeritasIntelligenceAnalytics\\icon base\\managed_icons\\MATERIAL_SYMBOL_0000F5_36DP\\01_registry_identity_anchor\\account_circle_36dp_0000F5_FILL0_wgh...","Invoke-VIA-UltimateEngineForge-AIO-v060.ps1; Invoke-VIA-UltimateEngineForge-AIO-v061-BoolParamHotfix.ps1; Invoke-VIA-UltimateEngineForge-AIO-v062-NullSafeStepSafe.ps1; Invoke-VIA-UltimateEngineForge-AIO-v063-10xCrossNoHangProgress.ps1; icon_asset_registry.json; StockReportBasicInfo.json; VRN_Verified_Module_Registry.json; vrn_incremental_database_builder.py"
"P1_PATH_REVIEW","FileName","1755","231","PATH_IO","""account_circle_36dp_0000F5_FILL0_wght400_GRAD0_opsz40_(1).svg"" || ""account_circle_36dp_0000F5_FILL0_wght400_GRAD0_opsz40 (1).svg"" || ""account_circle_36dp_0000F5_FILL0_wght400_GRAD0_opsz40.svg"" || ""account_circle_36dp_0000F5_FILL0_wght400_GRAD0_opsz40_(1)__4E8CEB16E4.svg"" || ""anchor_36dp_0000F5_FILL0_wght400_GRAD0_opsz40 (1).svg"" || ""anchor_36dp_0000F5_FILL0_wght400_GRAD0_opsz40_(1).svg""","icon_asset_registry.json; icon_suffix_duplicate_deletion_plan.json; vap_export.py; VIA_AutoPlot_Ultimate_v3_1.html; VIA_AutoPlot_Ultimate_v3.html; VRN_MDL006_VRN_v141D6C_Source_Hygiene_NoHang__BRIDGE__v141D6C.json; VRN_MDL018_VRN_MDL_SummaryPipelineBridge_AIO_v01__CORE__v01.py; VRN_MDL019_VRN_v141D6B_NoHang_Accelerator__BRIDGE__v141D6B.json"
"P1_PATH_REVIEW","file_name","1179","227","PATH_IO","""VDF_Global_Commodity_AkShare_Candidate_v0274.csv"" || Path(file_path).name || Path(fp).name || ""VDF_AkShare_CandidateToCanonicalDryRunPlan_v0278.json"" || ""VDF_AkShare_CandidateToCanonicalDryRunPreview_v0278.csv"" || ""VDF_AkShare_CandidateToCanonicalDryRunPreview_v0278.json""","VDF_AkShare_NarrowSource_InputInventory_Hotfix_v027821.json; vdf_akshare_narrow_source_contract_dryrun_hotfix_v027821.py; VDF_AkShare_NarrowSource_InputInventory_v02782.json; vdf_akshare_narrow_source_contract_dryrun_v02782.py; vdf_akshare_narrow_source_filelist_canonicalizer_v027822.py; VDF_AkShare_RawColumnProfile_Hotfix_v0278121.json; VDF_AkShare_RawColumnProfile_InputInventory_Hotfix_v0278121.json; VDF_AkShare_RawColumnSelection_Hotfix_v0278121.json"
"P1_PATH_REVIEW","RelativePath","390","195","PATH_IO","""DecisionStudio_Registry.html"" || ""Logo_ico_256x256_1.ico"" || ""VIA_UnifiedInput_SSOT.json"" || ""supportive modules\\Invoke-VeritasNexusCore.ps1"" || ""supportive modules\\Read_Me_VeritasNexusCore.md"" || ""tw_stock_report_input\\20250819兆豐個股報告-泓德能源(6873).pdf""","VDF_Audit_FileInventory.json; VRN_Audit_FileInventory.json; VRN_MDL131_VRN_v140Q2_Freeze_Evidence_Repair_ReSeal__REPORT__v140Q2.json; VRN_MDL132_VRN_v140Q2_Freeze_Evidence_Repair_ReSeal__GOVERNANCE__v140Q2.json"
"P1_PATH_REVIEW","TargetPath","120","120","PATH_IO","$TargetPath = ""C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VIA_DUAL_PROJECT_SAFE_PARALLEL_GATE_v02872_20260611_205436\launchers\Start-VDF-Lane1-FinalSeal... || $TargetPath = ""C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VIA_DUAL_PROJECT_SAFE_PARALLEL_GATE_v02872_20260611_205436\launchers\Start-VDF-Lane2-ReadOnlyI... || $TargetPath = ""C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VIA_DUAL_PROJECT_SAFE_PARALLEL_GATE_v02872_20260611_205436\launchers\Start-VDF-Lane3-EnvSuppor... || $TargetPath = ""C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VIA_DUAL_PROJECT_SAFE_PARALLEL_GATE_v02872_20260611_205436\launchers\Start-VRN-Lane1-EntryHeal... || $TargetPath = ""C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VIA_DUAL_PROJECT_SAFE_PARALLEL_GATE_v02872_20260611_205436\launchers\Start-VRN-Lane2-IOInvento... || $TargetPath = ""C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VIA_DUAL_PROJECT_SAFE_PARALLEL_GATE_v02872_20260611_205436\launchers\Start-VRN-Lane3-EngineCap...","UserTest-Start-VDF-Lane1-FinalSealHealth.ps1; UserTest-Start-VDF-Lane2-ReadOnlyInventory.ps1; UserTest-Start-VDF-Lane3-EnvSupportiveHardGate.ps1; UserTest-Start-VRN-Lane1-EntryHealth.ps1; UserTest-Start-VRN-Lane2-IOInventory.ps1; UserTest-Start-VRN-Lane3-EngineCapability.ps1; VRN_Verified_Module_Registry.json"
"P1_PATH_REVIEW","source_file","876","68","PATH_IO","""C:\\Users\\tonyk\\Downloads\\VeritasIntelligenceAnalytics\\dict\\VDF\\_active\\VDF_AKSHARE_SMALL_SCOPE_CANDIDATE_SEED_STAGING_v0274_20260610_145643\\staging\\VDF_Global_Commodity_... || fp || ""C:\\Users\\tonyk\\Downloads\\VeritasIntelligenceAnalytics\\dict\\VDF\\_active\\VDF_AKSHARE_CANDIDATE_TO_CANONICAL_DRYRUN_v0278_20260610_220705\\plan\\VDF_AkShare_CandidateToCanoni... || ""C:\\Users\\tonyk\\Downloads\\VeritasIntelligenceAnalytics\\dict\\VDF\\_active\\VDF_AKSHARE_CANDIDATE_TO_CANONICAL_DRYRUN_v0278_20260610_220705\\preview\\VDF_AkShare_CandidateToCan... || source_file     = $FilePath || ""20250819兆豐個股報告-泓德能源(6873).pdf""","VDF_AkShare_CollisionResolver_FinalValidRows_v027841.json; VDF_AkShare_DedupGate_DedupedValidRows_v02783.json; VDF_AkShare_DuplicateRepair_UniqueFinalRows_v027842.json; VDF_AkShare_v0279_ReadinessFinalRows.json; VDF_AkShare_InvalidRepair_CombinedCandidatePreview_v02784.json; vdf_akshare_narrow_source_contract_dryrun_hotfix_v027821.py; vdf_akshare_narrow_source_contract_dryrun_v02782.py; VDF_AkShare_NarrowSource_ContractDryRunPreview_Canonicalizer_v027822.json"
"P1_PATH_REVIEW","run_root","291","66","PATH_IO","run_root = $def_RUN_ROOT || ""C:\\Users\\tonyk\\Downloads\\VeritasIntelligenceAnalytics\\dict\\VDF\\_active\\VIA_FINAL_LONGRUN_SEAL_v02867_20260611_123639"" || ""C:\\Users\\tonyk\\Downloads\\VeritasIntelligenceAnalytics\\dict\\VDF\\_active\\VIA_FINAL_PROMOTE_ACTIVE_POINTER_LOCK_v02868_20260611_123905"" || ""C:\\Users\\tonyk\\Downloads\\VeritasIntelligenceAnalytics\\dict\\VDF\\_active\\VDF_AKSHARE_RAW_COLUMN_PROFILE_CANONICAL_CONTRACT_HOTFIX_v0278121_20260611_001912"" || ""C:\\Users\\tonyk\\Downloads\\VeritasIntelligenceAnalytics\\dict\\VDF\\_active\\VDF_AKSHARE_NARROW_SOURCE_CONTRACT_DRYRUN_v02782_20260611_002315"" || ""C:\\Users\\tonyk\\Downloads\\VeritasIntelligenceAnalytics\\dict\\VDF\\_active\\VDF_AKSHARE_NARROW_SOURCE_CONTRACT_DRYRUN_HOTFIX_v027821_20260611_002618""","Invoke-VIA-UltimateEngineForge-AIO-v060.ps1; Invoke-VIA-UltimateEngineForge-AIO-v061-BoolParamHotfix.ps1; Invoke-VIA-UltimateEngineForge-AIO-v062-NullSafeStepSafe.ps1; Invoke-VIA-UltimateEngineForge-AIO-v063-10xCrossNoHangProgress.ps1; VDF_ACTIVE_POINTER.json; VDF_ACTIVE_POINTER_before_v02831_20260611_031152.json; VDF_AkShare_BackupRollbackStagingPlan_Hotfix_Transcript_v02831_20260611_031152.txt; VDF_ACTIVE_POINTER_before_v02832_20260611_031541.json"
