"Layer","Class","Risk","Metric","Value","Reason","Action","Path"
"Hash","OK_HASH_MATCH","LOW","sha256","runtime_v0322","Expected=6FE4A9C83EBA72758BD3563351379F2D0DAB6FB08C50B4530D1706712282C7E1 / Actual=6FE4A9C83EBA72758BD3563351379F2D0DAB6FB08C50B4530D1706712282C7E1","Verify locked file integrity.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\_vrn_vdf_user_review_final_lock_runs\RUN_20260615_174654_v03231_USER_REVIEW_FINAL_LOCK_HOTFIX\review_lock_package\runtime_v0322.json"
"Hash","OK_HASH_MATCH","LOW","sha256","matrix_json_v0322","Expected=975EF2A7E2C8FF3FC364F44640B22BF27EE17F629B1AF7A331E098816A999497 / Actual=975EF2A7E2C8FF3FC364F44640B22BF27EE17F629B1AF7A331E098816A999497","Verify locked file integrity.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\_vrn_vdf_user_review_final_lock_runs\RUN_20260615_174654_v03231_USER_REVIEW_FINAL_LOCK_HOTFIX\review_lock_package\matrix_json_v0322.json"
"Hash","OK_HASH_MATCH","LOW","sha256","matrix_csv_v0322","Expected=7D4D4449563174AABF183A91A14667F5F07102B3F9CB61A59FFCECA715FBA9FA / Actual=7D4D4449563174AABF183A91A14667F5F07102B3F9CB61A59FFCECA715FBA9FA","Verify locked file integrity.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\_vrn_vdf_user_review_final_lock_runs\RUN_20260615_174654_v03231_USER_REVIEW_FINAL_LOCK_HOTFIX\review_lock_package\matrix_csv_v0322.csv"
"Hash","OK_HASH_MATCH","LOW","sha256","candidate_package_v0322","Expected=7A1138ECB3711785F4D4DA947800443022082E77B914DD239D023D40F7777FF7 / Actual=7A1138ECB3711785F4D4DA947800443022082E77B914DD239D023D40F7777FF7","Verify locked file integrity.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\_vrn_vdf_user_review_final_lock_runs\RUN_20260615_174654_v03231_USER_REVIEW_FINAL_LOCK_HOTFIX\review_lock_package\candidate_package_v0322.json"
"Hash","OK_HASH_MATCH","LOW","sha256","pointer_candidate_v0322","Expected=969A70181F6B6E88FE2D7EF1A116DFF558715A0CBA77116BB517E379845E8DAF / Actual=969A70181F6B6E88FE2D7EF1A116DFF558715A0CBA77116BB517E379845E8DAF","Verify locked file integrity.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\_vrn_vdf_user_review_final_lock_runs\RUN_20260615_174654_v03231_USER_REVIEW_FINAL_LOCK_HOTFIX\review_lock_package\pointer_candidate_v0322.json"
"ManualReview","REVIEW_BUT_NOT_BLOCKER","MEDIUM","pattern","pip install","Active script path; review required, but not blocker unless execution risk confirmed.","Manual review required; not auto-fix. Confirm whether pattern is guarded/commented/non-executing.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\Invoke-VeritasNexusCore.ps1"
"ManualReview","REVIEW_BUT_NOT_BLOCKER","MEDIUM","pattern","Stop-Process","Active script path; review required, but not blocker unless execution risk confirmed.","Manual review required; not auto-fix. Confirm whether pattern is guarded/commented/non-executing.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\Invoke-VIA-PolyglotCheckTestRepair-v0101.ps1"
"ManualReview","REVIEW_BUT_NOT_BLOCKER","MEDIUM","pattern","Stop-Process","Active script path; review required, but not blocker unless execution risk confirmed.","Manual review required; not auto-fix. Confirm whether pattern is guarded/commented/non-executing.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\20_Registry_SSOT\VIA_SSOT_Unified.py"
"ManualReview","REVIEW_BUT_NOT_BLOCKER","MEDIUM","pattern","pip install","Active script path; review required, but not blocker unless execution risk confirmed.","Manual review required; not auto-fix. Confirm whether pattern is guarded/commented/non-executing.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\40_Environment_Health\VIA_EnvManager.py"
"ManualReview","REVIEW_BUT_NOT_BLOCKER","MEDIUM","pattern","pip install","Active script path; review required, but not blocker unless execution risk confirmed.","Manual review required; not auto-fix. Confirm whether pattern is guarded/commented/non-executing.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\50_Protection_Acceleration\VeritasAegisNexus.py"
"ManualReview","REVIEW_BUT_NOT_BLOCKER","MEDIUM","pattern","Stop-Process","Active script path; review required, but not blocker unless execution risk confirmed.","Manual review required; not auto-fix. Confirm whether pattern is guarded/commented/non-executing.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\60_PowerShell_Entry_Internal\Invoke-VIA-FinishProject-SafeFast.ps1"
"ManualReview","REVIEW_BUT_NOT_BLOCKER","MEDIUM","pattern","pip install","Active script path; review required, but not blocker unless execution risk confirmed.","Manual review required; not auto-fix. Confirm whether pattern is guarded/commented/non-executing.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\60_PowerShell_Entry_Internal\Invoke-VIA-FinishProject-SafeFast.ps1"
"ManualReview","REVIEW_BUT_NOT_BLOCKER","MEDIUM","pattern","Stop-Process","Active script path; review required, but not blocker unless execution risk confirmed.","Manual review required; not auto-fix. Confirm whether pattern is guarded/commented/non-executing.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\60_PowerShell_Entry_Internal\Invoke-VIA-PanoramaHardGateSafeFix.ps1"
