"Kind","Status","Risk","GeneratedAt","Path"
"JSON_RECORD","","","","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VIA_DAILY_HEALTH_LAUNCHER_CONSOLE_v02870_20260611_195255\registry\VIA_DailyHealthLauncherConsole_Matrix_v02870.json"
"RUNTIME","DAILY_HEALTH_LAUNCHER_READY","LOW","06/11/2026 19:52:55","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VIA_DAILY_HEALTH_LAUNCHER_CONSOLE_v02870_20260611_195255\runtime\VIA_DailyHealthLauncherConsole_Runtime_v02870.json"
"RUNTIME","DAILY_HEALTH_LAUNCHER_READY","LOW","06/11/2026 13:03:15","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VIA_DAILY_HEALTH_LAUNCHER_CONSOLE_v02870_20260611_130315\runtime\VIA_DailyHealthLauncherConsole_Runtime_v02870.json"
"JSON_RECORD","","","","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VIA_DAILY_HEALTH_LAUNCHER_CONSOLE_v02870_20260611_130315\registry\VIA_DailyHealthLauncherConsole_Matrix_v02870.json"
"RUNTIME","POST_PROMOTE_INTEGRITY_VERIFIED","LOW","06/11/2026 12:40:53","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VIA_POST_PROMOTE_INTEGRITY_AUDIT_v02869_20260611_124053\runtime\VIA_PostPromoteIntegrityAudit_Runtime_v02869.json"
"AUDIT","POST_PROMOTE_INTEGRITY_VERIFIED","LOW","06/11/2026 12:40:53","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VIA_POST_PROMOTE_INTEGRITY_AUDIT_v02869_20260611_124053\registry\VIA_PostPromoteIntegrityAudit_v02869.json"
"AUDIT","","","","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VIA_POST_PROMOTE_INTEGRITY_AUDIT_v02869_20260611_124053\registry\VIA_PostPromoteIntegrityAudit_Matrix_v02869.json"
"RUNTIME","FINAL_PROMOTED_ACTIVE_POINTER_LOCKED","LOW","06/11/2026 12:39:05","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VIA_FINAL_PROMOTE_ACTIVE_POINTER_LOCK_v02868_20260611_123905\runtime\VIA_FinalPromote_Runtime_v02868.json"
"PROMOTE","","","","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VIA_FINAL_PROMOTE_ACTIVE_POINTER_LOCK_v02868_20260611_123905\registry\VIA_FinalPromote_Matrix_v02868.json"
"POINTER","FINAL_PROMOTED_ACTIVE_POINTER_LOCKED","LOW","06/11/2026 12:39:05","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_ACTIVE_POINTER.json"
"POINTER","FINAL_PROMOTED_ACTIVE_POINTER_LOCKED","LOW","06/11/2026 12:39:05","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VIA_FINAL_PROMOTE_ACTIVE_POINTER_LOCK_v02868_20260611_123905\registry\VIA_FinalPromote_ActivePointerLock_v02868.json"
"RUNTIME","FINAL_ACTIVATION_SEAL_READY_WITH_LONGRUN_REVIEW","LOW","06/11/2026 12:36:41","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VIA_FINAL_LONGRUN_SEAL_v02867_20260611_123639\runtime\VIA_FinalLongRunSeal_Runtime_v02867.json"
"POINTER","FINAL_ACTIVATION_SEAL_READY_WITH_LONGRUN_REVIEW","LOW","06/11/2026 12:36:41","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VIA_FINAL_PROMOTE_ACTIVE_POINTER_LOCK_v02868_20260611_123905\backup\VDF_ACTIVE_POINTER.before_v02868_20260611_123905.json"
"SEAL","FINAL_ACTIVATION_SEAL_READY_WITH_LONGRUN_REVIEW","LOW","06/11/2026 12:36:41","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VIA_FINAL_LONGRUN_SEAL_v02867_20260611_123639\registry\VIA_FinalLongRunSeal_v02867.json"
"SEAL","","","","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VIA_FINAL_LONGRUN_SEAL_v02867_20260611_123639\registry\VIA_FinalLongRunSeal_Matrix_v02867.json"
"JSON_RECORD","","","06/11/2026 12:36:41","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VIA_FINAL_LONGRUN_SEAL_v02867_20260611_123639\registry\VIA_HardGateIntegrationPlan_v02867.json"
"AUDIT","","","","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VIA_FINAL_LONGRUN_SEAL_v02867_20260611_123639\runtime\py_audit_VeritasAegisNexus.json"
"AUDIT","","","","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VIA_FINAL_LONGRUN_SEAL_v02867_20260611_123639\runtime\py_audit_VeritasCeleritas.json"
"RUNTIME","","","","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VIA_FINAL_LONGRUN_SEAL_v02867_20260611_123639\runtime\py_audit_VIA_Panorama_AST_RuntimeInjector.json"
"AUDIT","","","","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VIA_FINAL_LONGRUN_SEAL_v02867_20260611_123639\runtime\py_audit_VIA_EnvManager.json"
"RUNTIME","","","","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VIA_FINAL_LONGRUN_SEAL_v02867_20260611_123639\runtime\py_audit_VIA_Runtime_Bridge_All_in_One.json"
"AUDIT","","","","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VIA_FINAL_LONGRUN_SEAL_v02867_20260611_123639\runtime\py_audit_VIA_RegistryCore_v1.json"
"AUDIT","","","","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VIA_FINAL_LONGRUN_SEAL_v02867_20260611_123639\runtime\py_audit_VIA_SSOT_Unified.json"
