"Time","Role","Required","Exists","Kind","Bytes","Path"
"2026-06-11T23:00:29.430+08:00","ACTIVE_PATH_FILTER","true","True","FILE","2299","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VIA_ACTIVE_PATH_DEPENDENCY_FILTER_v028712_20260611_203308\runtime\VIA_ActivePathDependencyFilter_Runtime_v028712.json"
"2026-06-11T23:00:29.432+08:00","DUAL_PROJECT_GATE","true","True","FILE","2572","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VIA_DUAL_PROJECT_SAFE_PARALLEL_GATE_v02872_20260611_205436\runtime\VIA_DualProjectSafeParallelGate_Runtime_v02872.json"
"2026-06-11T23:00:29.433+08:00","USER_TEST_CONSOLE","true","True","FILE","2915","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VIA_DUAL_PROJECT_USERTEST_CONSOLE_HOTFIX_v028731_20260611_210904\runtime\VIA_DualProjectUserTestConsoleHotfix_Runtime_v028731.json"
"2026-06-11T23:00:29.434+08:00","READONLY_LANE_SMOKE","true","True","FILE","2563","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VIA_READONLY_LANE_EXECUTION_SMOKE_TEST_v02874_20260611_211312\runtime\VIA_ReadOnlyLaneSmoke_Runtime_v02874.json"
"2026-06-11T23:00:29.434+08:00","DAILY_HEALTH_MONITOR","true","True","FILE","2582","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VIA_DAILY_HEALTH_NONTHROWING_MONITOR_v028754_20260611_225535\runtime\VIA_DailyHealthNonThrowingMonitor_Runtime_v028754.json"
"2026-06-11T23:00:29.881+08:00","ACTIVE_POINTER","true","True","FILE","2051","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_ACTIVE_POINTER.json"
"2026-06-11T23:00:29.882+08:00","FROZEN_POINTER","true","True","FILE","2051","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_freeze\VDF_FINAL_ACTIVATION_SEAL_POINTER_v02868.json"
"2026-06-11T23:00:29.883+08:00","DAILY_HEALTH_SCRIPT","true","True","FILE","8722","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\tools\VIA_DualProjectDailyHealth\Invoke-VIA-DualProjectDailyHealth.ps1"
"2026-06-11T23:00:29.884+08:00","DAILY_HEALTH_LAUNCHER","true","True","FILE","850","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\tools\VIA_DualProjectDailyHealth\Start-VIA-DualProjectDailyHealth.ps1"
"2026-06-11T23:00:29.884+08:00","DAILY_HEALTH_SHORTCUT","false","True","FILE","1344","C:\Users\tonyk\OneDrive\Desktop\VIA Dual Project Daily Health.lnk"
"2026-06-11T23:00:29.885+08:00","USER_TEST_CONSOLE_SHORTCUT","false","True","FILE","1378","C:\Users\tonyk\OneDrive\Desktop\VIA Dual Project User-Test Console.lnk"
"2026-06-11T23:00:29.923+08:00","FINAL_SEAL_JSON","true","True","FILE","4274","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VIA_FINAL_OPERATIONS_SEAL_v02876_20260611_230029\seal\VIA_FinalOperationsSeal_v02876.json"
"2026-06-11T23:00:29.924+08:00","FINAL_SEAL_POINTER","true","True","FILE","987","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_freeze\VIA_FINAL_OPERATIONS_SEAL_POINTER_v02876.json"
"2026-06-11T23:00:29.927+08:00","FINAL_RUNTIME_JSON","true","True","FILE","4274","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VIA_FINAL_OPERATIONS_SEAL_v02876_20260611_230029\runtime\VIA_FinalOperationsSeal_Runtime_v02876.json"
"2026-06-11T23:00:29.928+08:00","FINAL_MATRIX_CSV","true","True","FILE","6392","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VIA_FINAL_OPERATIONS_SEAL_v02876_20260611_230029\registry\VIA_FinalOperationsSeal_Matrix_v02876.csv"
"2026-06-11T23:00:29.961+08:00","FINAL_HTML_REPORT","true","True","FILE","16478","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VIA_FINAL_OPERATIONS_SEAL_v02876_20260611_230029\report\VIA_FinalOperationsSeal_Report_v02876.html"
