"Subsystem","Extension","FileCount","TotalBytes"
"VDF",".html","1","46875"
"VDF",".json","3","227533"
"VDF",".md","1","5606"
"VDF",".py","17","725492"
"VIA",".backup_20260609_040329","1","32695"
"VIA",".csv","16","4234035"
"VIA",".docx","4","1014689"
"VIA",".html","19","18629891"
"VIA",".ico","16","891461"
"VIA",".jpeg","8","1731804"
"VIA",".jpg","251","19844704"
"VIA",".js","2","18014"
"VIA",".json","86","4719095"
"VIA",".log","4","10274"
"VIA",".md","3","14197"
"VIA",".pdf","60","63406497"
"VIA",".png","4012","417150145"
"VIA",".ps1","15","104536"
"VIA",".py","39","1655390"
"VIA",".svg","762","42589515"
"VIA",".txt","8","3411"
"VIA",".webp","37","2242074"
"VRN",".csv","5","804396"
"VRN",".duckdb","1","1060864"
"VRN",".html","2","209284"
"VRN",".json","219","415255875"
"VRN",".log","1","1763"
"VRN",".ps1","8","50096"
"VRN",".py","97","2588547"
