SourceFile,SourcePath,FileHash,Ticker,CompanyName,Broker,ReportDate,FileSizeBytes,ModifiedTime,InputStatus,ValidationStatus,ValidationRisk,IncrementalAction
【國泰證期研究部】神達(3706 TT)-初次評等買進(+30.4_)-大顯神威，營運騰達-20250822.pdf,,,3706,,國泰證期,2025-08-22,,,,BASICINFO_TEMP_PREVIEW,GREEN,
3014TT-20231005.pdf,,,3014,,,2023-10-05,,,,BASICINFO_TEMP_PREVIEW,YELLOW,
凱基投顧_3665 貿聯-KY_李承泰_20260519.pdf,,,3665,,凱基投顧,2026-05-19,,,,BASICINFO_TEMP_PREVIEW,GREEN,
凱基投顧_6147 頎邦_劉宇程_20260519.pdf,,,6147,,凱基投顧,2026-05-19,,,,BASICINFO_TEMP_PREVIEW,GREEN,
"瑞基(4171,NR_未評等)-CTBC251208.pdf",,,4171,,中信投顧,2025-12-08,,,,BASICINFO_TEMP_PREVIEW,YELLOW,
Citi-3231 20250604.pdf,,,3231,,Citi,2025-06-04,,,,BASICINFO_TEMP_PREVIEW,GREEN,
GS-1590 20231012.pdf,,,1590,,Goldman Sachs,2023-10-12,,,,BASICINFO_TEMP_PREVIEW,GREEN,
GS-1590 20251203.pdf,,,1590,,Goldman Sachs,2025-12-03,,,,BASICINFO_TEMP_PREVIEW,GREEN,
GS-2383 20260519.pdf,,,2383,,Goldman Sachs,2026-05-19,,,,BASICINFO_TEMP_PREVIEW,YELLOW,
GS-3706 20251130.pdf,,,3706,,Goldman Sachs,2025-11-30,,,,BASICINFO_TEMP_PREVIEW,GREEN,
GS-6415 20260517.pdf,,,6415,,Goldman Sachs,2026-05-17,,,,BASICINFO_TEMP_PREVIEW,GREEN,
JP-3653 20251003.pdf,,,3653,,J.P. Morgan,2025-10-03,,,,BASICINFO_TEMP_PREVIEW,GREEN,
MS-2308 20251128.pdf,,,2308,,Morgan Stanley,2025-11-28,,,,BASICINFO_TEMP_PREVIEW,YELLOW,
MS-3661 20251203.pdf,,,3661,,Morgan Stanley,2025-12-03,,,,BASICINFO_TEMP_PREVIEW,GREEN,
6933_AMAX-KY_個股介紹報告.pdf,,,6933,,,,,,,BASICINFO_TEMP_PREVIEW,GREEN,
凱基投顧_1476 儒鴻_劉昃恩_20260519.pdf,,,1476,,凱基投顧,2026-05-19,,,,BASICINFO_TEMP_PREVIEW,GREEN,
20250819兆豐個股報告-泓德能源(6873).pdf,C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\tw_stock_report_input\20250819兆豐個股報告-泓德能源(6873).pdf,ddf87efd95c580868adf4531448119f223b9bccd5a02f8083f8750f5e07e222b,6873,,,2025-08-19,698089,2025-08-26 00:06:08,DISCOVERED,VALID_BASICINFO_CANDIDATE,GREEN,NEW_OR_CHANGED
20251128兆豐訪談速報-神達(3706).pdf,C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\tw_stock_report_input\20251128兆豐訪談速報-神達(3706).pdf,3a25580e795142e9257567ceb3658188061ee45c715545080596e23a36a4f29d,3706,,,2025-11-28,397184,2025-12-05 23:10:14,DISCOVERED,VALID_BASICINFO_CANDIDATE,GREEN,NEW_OR_CHANGED
20251204兆豐個股報告-志強-KY(6768).pdf,C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\tw_stock_report_input\20251204兆豐個股報告-志強-KY(6768).pdf,4286631c7b2e51b3d04869d675b07c3598039360e029c35a6a305c72c6ab8a0c,6768,,,2025-12-04,608844,2025-12-05 23:05:59,DISCOVERED,VALID_BASICINFO_CANDIDATE,GREEN,NEW_OR_CHANGED
20251205兆豐晨會報告(一)-當日新聞與重要訊息評論.pdf,C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\tw_stock_report_input\20251205兆豐晨會報告(一)-當日新聞與重要訊息評論.pdf,b68dc8638cc9db062d9fdbba1c608b046faf4371f777a29a5a373e0194dd8f32,,,,2025-12-05,327072,2025-12-05 23:05:29,DISCOVERED,VALID_BASICINFO_CANDIDATE,GREEN,NEW_OR_CHANGED
